stage	sb	ID	Fa	trans	dnds	dn	ds
G31	unbias	31_unbias	RBH_pair_3112.fa	TRINITY_DN118922_c1_g1_i10	0.0048	0.0031	0.6361
G31	unbias	31_unbias	RBH_pair_6991.fa	TRINITY_DN128844_c7_g1_i2	0.0218	0.0139	0.6383
G31	unbias	31_unbias	RBH_pair_2654.fa	TRINITY_DN138306_c0_g2_i2	0.2999	0.1931	0.6438
G31	unbias	31_unbias	RBH_pair_10217.fa	TRINITY_DN140086_c2_g1_i1	0.001	0.0006	0.6446
G31	unbias	31_unbias	RBH_pair_8501.fa	TRINITY_DN117412_c8_g1_i3	0.001	0.0006	0.6447
G31	unbias	31_unbias	RBH_pair_9112.fa	TRINITY_DN133144_c2_g1_i1	0.0094	0.006	0.6447
G31	unbias	31_unbias	RBH_pair_7737.fa	TRINITY_DN127651_c1_g1_i2	0.1244	0.0806	0.648
G31	unbias	31_unbias	RBH_pair_3053.fa	TRINITY_DN121412_c2_g3_i3	0.0353	0.0229	0.6484
G31	unbias	31_unbias	RBH_pair_2371.fa	TRINITY_DN139486_c8_g1_i1	0.0714	0.0468	0.6547
G31	unbias	31_unbias	RBH_pair_2797.fa	TRINITY_DN119800_c0_g3_i3	0.2114	0.1385	0.6549
G31	unbias	31_unbias	RBH_pair_2714.fa	TRINITY_DN116092_c3_g1_i3	0.0306	0.0201	0.6566
G31	unbias	31_unbias	RBH_pair_7760.fa	TRINITY_DN142306_c1_g1_i3	0.0337	0.0222	0.6576
G31	unbias	31_unbias	RBH_pair_6145.fa	TRINITY_DN139335_c2_g5_i1	0.0405	0.0268	0.66
G31	unbias	31_unbias	RBH_pair_9261.fa	TRINITY_DN107672_c0_g2_i1	0.0355	0.0234	0.661
G31	unbias	31_unbias	RBH_pair_6013.fa	TRINITY_DN142159_c3_g7_i2	0.0541	0.0358	0.6623
G31	unbias	31_unbias	RBH_pair_9391.fa	TRINITY_DN118988_c1_g1_i9	0.0527	0.0349	0.6637
G31	unbias	31_unbias	RBH_pair_4366.fa	TRINITY_DN119882_c5_g1_i5	0.0801	0.0537	0.6701
G31	unbias	31_unbias	RBH_pair_6928.fa	TRINITY_DN120925_c5_g2_i2	0.0823	0.0552	0.6708
G31	unbias	31_unbias	RBH_pair_10445.fa	TRINITY_DN123376_c4_g1_i1	0.0886	0.0598	0.6745
G31	unbias	31_unbias	RBH_pair_10223.fa	TRINITY_DN116315_c1_g2_i1	0.0563	0.0382	0.6786
G31	unbias	31_unbias	RBH_pair_9534.fa	TRINITY_DN125202_c0_g1_i6	0.0348	0.0237	0.6814
G31	unbias	31_unbias	RBH_pair_3461.fa	TRINITY_DN117512_c4_g1_i2	0.0039	0.0026	0.6816
G31	unbias	31_unbias	RBH_pair_3778.fa	TRINITY_DN139165_c5_g4_i2	0.1272	0.0869	0.683
G31	unbias	31_unbias	RBH_pair_10701.fa	TRINITY_DN130420_c0_g3_i1	0.0424	0.0294	0.6924
G31	unbias	31_unbias	RBH_pair_8196.fa	TRINITY_DN124077_c3_g1_i16	0.0653	0.0453	0.6937
G31	unbias	31_unbias	RBH_pair_4247.fa	TRINITY_DN116081_c5_g1_i3	0.0092	0.0064	0.694
G31	unbias	31_unbias	RBH_pair_3765.fa	TRINITY_DN126955_c8_g1_i1	0.0571	0.0397	0.6942
G31	unbias	31_unbias	RBH_pair_5331.fa	TRINITY_DN136778_c1_g2_i3	0.0926	0.0644	0.6947
G31	unbias	31_unbias	RBH_pair_4861.fa	TRINITY_DN114829_c3_g1_i5	0.0641	0.0447	0.6968
G31	unbias	31_unbias	RBH_pair_7036.fa	TRINITY_DN131446_c0_g1_i15	0.0047	0.0033	0.7021
G31	unbias	31_unbias	RBH_pair_3999.fa	TRINITY_DN115193_c0_g2_i1	0.0288	0.0205	0.7093
G31	unbias	31_unbias	RBH_pair_6741.fa	TRINITY_DN113558_c0_g1_i6	0.0163	0.0116	0.7102
G31	unbias	31_unbias	RBH_pair_10117.fa	TRINITY_DN123159_c2_g2_i2	0.2611	0.1866	0.7147
G31	unbias	31_unbias	RBH_pair_6851.fa	TRINITY_DN122509_c0_g1_i5	0.0843	0.0603	0.7153
G31	unbias	31_unbias	RBH_pair_10580.fa	TRINITY_DN119260_c4_g1_i6	0.1689	0.1212	0.718
G31	unbias	31_unbias	RBH_pair_4767.fa	TRINITY_DN140418_c1_g1_i4	0.0326	0.0235	0.7221
G31	unbias	31_unbias	RBH_pair_8080.fa	TRINITY_DN114640_c0_g1_i3	0.0457	0.0331	0.7248
G31	unbias	31_unbias	RBH_pair_2740.fa	TRINITY_DN134085_c4_g1_i1	0.1251	0.0909	0.7271
G31	unbias	31_unbias	RBH_pair_8406.fa	TRINITY_DN118286_c5_g1_i1	0.0455	0.0332	0.7289
G31	unbias	31_unbias	RBH_pair_6387.fa	TRINITY_DN129755_c2_g1_i2	0.1287	0.0938	0.7293
G31	unbias	31_unbias	RBH_pair_5443.fa	TRINITY_DN116738_c1_g1_i3	0.1107	0.0811	0.7324
G31	unbias	31_unbias	RBH_pair_3763.fa	TRINITY_DN131360_c2_g3_i8	0.0418	0.0307	0.733
G31	unbias	31_unbias	RBH_pair_3792.fa	TRINITY_DN134851_c5_g1_i3	0.001	0.0007	0.734
G31	unbias	31_unbias	RBH_pair_7381.fa	TRINITY_DN117121_c1_g3_i1	0.0559	0.0412	0.7369
G31	unbias	31_unbias	RBH_pair_6379.fa	TRINITY_DN114629_c2_g1_i7	0.0199	0.0147	0.738
G31	unbias	31_unbias	RBH_pair_8498.fa	TRINITY_DN133932_c3_g1_i5	0.0679	0.0502	0.7395
G31	unbias	31_unbias	RBH_pair_10366.fa	TRINITY_DN137383_c0_g1_i1	0.1422	0.1052	0.7401
G31	unbias	31_unbias	RBH_pair_7778.fa	TRINITY_DN118495_c0_g1_i8	0.1623	0.1205	0.7424
G31	unbias	31_unbias	RBH_pair_8063.fa	TRINITY_DN132594_c4_g1_i13	0.0482	0.0358	0.7431
G31	unbias	31_unbias	RBH_pair_4648.fa	TRINITY_DN115561_c4_g1_i1	0.0959	0.0718	0.7489
G31	unbias	31_unbias	RBH_pair_7803.fa	TRINITY_DN126224_c6_g1_i3	0.0049	0.0036	0.749
G31	unbias	31_unbias	RBH_pair_8157.fa	TRINITY_DN129702_c0_g1_i2	0.0032	0.0024	0.7491
G31	unbias	31_unbias	RBH_pair_8158.fa	TRINITY_DN117340_c5_g1_i1	0.001	0.0008	0.752
G31	unbias	31_unbias	RBH_pair_8447.fa	TRINITY_DN126444_c0_g2_i1	0.0366	0.0275	0.7531
G31	unbias	31_unbias	RBH_pair_1453.fa	TRINITY_DN137630_c6_g1_i2	0.0534	0.0402	0.7539
G31	unbias	31_unbias	RBH_pair_7367.fa	TRINITY_DN115174_c3_g1_i6	0.021	0.0159	0.7551
G31	unbias	31_unbias	RBH_pair_8600.fa	TRINITY_DN142139_c1_g1_i2	0.1042	0.0788	0.7561
G31	unbias	31_unbias	RBH_pair_9167.fa	TRINITY_DN134995_c6_g1_i5	0.1	0.0757	0.7567
G31	unbias	31_unbias	RBH_pair_9255.fa	TRINITY_DN118428_c1_g2_i1	0.161	0.122	0.7578
G31	unbias	31_unbias	RBH_pair_6955.fa	TRINITY_DN133999_c3_g2_i3	0.0998	0.076	0.7619
G31	unbias	31_unbias	RBH_pair_9297.fa	TRINITY_DN125608_c0_g1_i2	0.0086	0.0065	0.7621
G31	unbias	31_unbias	RBH_pair_9598.fa	TRINITY_DN123913_c1_g1_i7	0.0777	0.0592	0.7627
G31	unbias	31_unbias	RBH_pair_10325.fa	TRINITY_DN129070_c3_g1_i14	0.0139	0.0107	0.7684
G31	unbias	31_unbias	RBH_pair_9745.fa	TRINITY_DN116240_c2_g1_i7	0.0135	0.0104	0.77
G31	unbias	31_unbias	RBH_pair_7383.fa	TRINITY_DN129176_c1_g2_i1	0.1252	0.0965	0.7713
G31	unbias	31_unbias	RBH_pair_6364.fa	TRINITY_DN116035_c0_g1_i2	0.1613	0.1245	0.7718
G31	unbias	31_unbias	RBH_pair_2975.fa	TRINITY_DN136105_c5_g1_i2	0.0896	0.0695	0.7749
G31	unbias	31_unbias	RBH_pair_5624.fa	TRINITY_DN134243_c5_g1_i4	0.0544	0.0422	0.7754
G31	unbias	31_unbias	RBH_pair_9308.fa	TRINITY_DN128675_c3_g3_i5	0.0128	0.0099	0.7767
G31	unbias	31_unbias	RBH_pair_10213.fa	TRINITY_DN119860_c3_g2_i3	0.001	0.0008	0.7774
G31	unbias	31_unbias	RBH_pair_1385.fa	TRINITY_DN133202_c5_g3_i2	0.001	0.0008	0.7794
G31	unbias	31_unbias	RBH_pair_4739.fa	TRINITY_DN118300_c2_g1_i1	0.0283	0.0221	0.7825
G31	unbias	31_unbias	RBH_pair_5141.fa	TRINITY_DN141230_c1_g2_i4	0.0158	0.0124	0.7832
G31	unbias	31_unbias	RBH_pair_8495.fa	TRINITY_DN129222_c2_g1_i15	0.0086	0.0068	0.7843
G31	unbias	31_unbias	RBH_pair_1698.fa	TRINITY_DN112926_c0_g1_i1	0.1554	0.1219	0.7844
G31	unbias	31_unbias	RBH_pair_4455.fa	TRINITY_DN119221_c8_g1_i1	0.0795	0.0625	0.7861
G31	unbias	31_unbias	RBH_pair_2949.fa	TRINITY_DN120118_c2_g2_i6	0.0265	0.0209	0.7886
G31	unbias	31_unbias	RBH_pair_10036.fa	TRINITY_DN116069_c1_g1_i4	0.0398	0.0314	0.7887
G31	unbias	31_unbias	RBH_pair_10538.fa	TRINITY_DN141800_c8_g1_i3	0.0566	0.0447	0.7892
G31	unbias	31_unbias	RBH_pair_4370.fa	TRINITY_DN142759_c3_g2_i1	0.1414	0.1118	0.7903
G31	unbias	31_unbias	RBH_pair_7217.fa	TRINITY_DN119720_c7_g2_i1	0.131	0.1042	0.7953
G31	unbias	31_unbias	RBH_pair_8475.fa	TRINITY_DN119106_c0_g1_i2	0.0069	0.0055	0.7967
G31	unbias	31_unbias	RBH_pair_5411.fa	TRINITY_DN124161_c0_g1_i2	0.0319	0.0254	0.797
G31	unbias	31_unbias	RBH_pair_1502.fa	TRINITY_DN117864_c5_g1_i10	0.2021	0.1611	0.797
G31	unbias	31_unbias	RBH_pair_9476.fa	TRINITY_DN142524_c0_g1_i5	0.0185	0.0148	0.7972
G31	unbias	31_unbias	RBH_pair_1874.fa	TRINITY_DN138769_c1_g2_i11	0.0031	0.0024	0.7996
G31	unbias	31_unbias	RBH_pair_9121.fa	TRINITY_DN125001_c2_g2_i4	0.0233	0.0187	0.8017
G31	unbias	31_unbias	RBH_pair_9102.fa	TRINITY_DN139956_c9_g2_i7	0.0943	0.076	0.8058
G31	unbias	31_unbias	RBH_pair_1275.fa	TRINITY_DN117082_c0_g1_i1	0.001	0.0008	0.8085
G31	unbias	31_unbias	RBH_pair_3923.fa	TRINITY_DN115809_c2_g2_i4	0.0912	0.0739	0.8101
G31	unbias	31_unbias	RBH_pair_3087.fa	TRINITY_DN126901_c0_g1_i3	0.1242	0.1007	0.8107
G31	unbias	31_unbias	RBH_pair_7347.fa	TRINITY_DN120337_c3_g2_i4	0.0686	0.0556	0.8109
G31	unbias	31_unbias	RBH_pair_6381.fa	TRINITY_DN121699_c2_g1_i11	0.028	0.0228	0.8125
G31	unbias	31_unbias	RBH_pair_544.fa	TRINITY_DN116856_c2_g1_i1	0.0454	0.037	0.8139
G31	unbias	31_unbias	RBH_pair_10672.fa	TRINITY_DN120339_c4_g1_i6	0.0714	0.0581	0.8141
G31	unbias	31_unbias	RBH_pair_3043.fa	TRINITY_DN129360_c1_g3_i11	0.0881	0.0718	0.815
G31	unbias	31_unbias	RBH_pair_2567.fa	TRINITY_DN112886_c0_g1_i1	0.0056	0.0046	0.8152
G31	unbias	31_unbias	RBH_pair_3518.fa	TRINITY_DN124924_c3_g3_i1	0.0764	0.0624	0.8161
G31	unbias	31_unbias	RBH_pair_9190.fa	TRINITY_DN139472_c1_g2_i1	0.0375	0.0306	0.817
G31	unbias	31_unbias	RBH_pair_3598.fa	TRINITY_DN125758_c3_g3_i3	0.0035	0.0029	0.8186
G31	unbias	31_unbias	RBH_pair_8587.fa	TRINITY_DN114741_c6_g1_i1	0.0894	0.0734	0.8204
G31	unbias	31_unbias	RBH_pair_9200.fa	TRINITY_DN119071_c2_g1_i10	0.072	0.0592	0.8217
G31	unbias	31_unbias	RBH_pair_425.fa	TRINITY_DN134338_c1_g2_i2	0.0982	0.0808	0.8221
G31	unbias	31_unbias	RBH_pair_9684.fa	TRINITY_DN132024_c6_g1_i5	0.0569	0.0468	0.8228
G31	unbias	31_unbias	RBH_pair_3777.fa	TRINITY_DN120678_c5_g2_i2	0.0296	0.0244	0.8229
G31	unbias	31_unbias	RBH_pair_2256.fa	TRINITY_DN123263_c1_g1_i4	0.1186	0.0977	0.8242
G31	unbias	31_unbias	RBH_pair_3102.fa	TRINITY_DN143937_c1_g1_i1	0.0779	0.0642	0.8246
G31	unbias	31_unbias	RBH_pair_9849.fa	TRINITY_DN134691_c2_g3_i1	0.1009	0.0835	0.8277
G31	unbias	31_unbias	RBH_pair_8871.fa	TRINITY_DN118164_c8_g2_i1	0.0209	0.0173	0.8295
G31	unbias	31_unbias	RBH_pair_1467.fa	TRINITY_DN120764_c6_g1_i4	0.0944	0.0783	0.8297
G31	unbias	31_unbias	RBH_pair_8786.fa	TRINITY_DN134144_c0_g2_i1	0.0425	0.0353	0.8301
G31	unbias	31_unbias	RBH_pair_10656.fa	TRINITY_DN139784_c4_g2_i4	0.0417	0.0347	0.8312
G31	unbias	31_unbias	RBH_pair_5571.fa	TRINITY_DN131047_c1_g4_i1	0.0171	0.0143	0.834
G31	unbias	31_unbias	RBH_pair_9414.fa	TRINITY_DN130824_c2_g1_i1	0.0423	0.0353	0.8343
G31	unbias	31_unbias	RBH_pair_7806.fa	TRINITY_DN117492_c1_g1_i3	0.0355	0.0297	0.8352
G31	unbias	31_unbias	RBH_pair_10648.fa	TRINITY_DN115074_c3_g1_i2	0.1502	0.1255	0.8352
G31	unbias	31_unbias	RBH_pair_10230.fa	TRINITY_DN124590_c6_g2_i1	0.085	0.071	0.8353
G31	unbias	31_unbias	RBH_pair_3257.fa	TRINITY_DN117731_c8_g4_i2	0.0526	0.0439	0.836
G31	unbias	31_unbias	RBH_pair_4513.fa	TRINITY_DN139675_c0_g1_i1	0.0135	0.0113	0.8374
G31	unbias	31_unbias	RBH_pair_9442.fa	TRINITY_DN116211_c0_g1_i2	0.1114	0.0933	0.8376
G31	unbias	31_unbias	RBH_pair_6168.fa	TRINITY_DN126277_c0_g2_i1	0.0827	0.0693	0.8381
G31	unbias	31_unbias	RBH_pair_6265.fa	TRINITY_DN140380_c1_g1_i1	0.0131	0.011	0.8388
G31	unbias	31_unbias	RBH_pair_7856.fa	TRINITY_DN142208_c1_g2_i1	0.0438	0.0367	0.8391
G31	unbias	31_unbias	RBH_pair_2605.fa	TRINITY_DN136802_c1_g1_i3	0.0517	0.0434	0.8398
G31	unbias	31_unbias	RBH_pair_5441.fa	TRINITY_DN114341_c0_g3_i1	0.1323	0.1111	0.8402
G31	unbias	31_unbias	RBH_pair_4369.fa	TRINITY_DN117101_c2_g1_i5	0.0648	0.0546	0.8428
G31	unbias	31_unbias	RBH_pair_7074.fa	TRINITY_DN115534_c2_g3_i6	0.0382	0.0322	0.843
G31	unbias	31_unbias	RBH_pair_6642.fa	TRINITY_DN136729_c7_g2_i14	0.0079	0.0066	0.8434
G31	unbias	31_unbias	RBH_pair_10699.fa	TRINITY_DN114709_c0_g1_i10	0.0285	0.024	0.8443
G31	unbias	31_unbias	RBH_pair_4858.fa	TRINITY_DN131774_c2_g1_i3	0.1024	0.0865	0.8449
G31	unbias	31_unbias	RBH_pair_286.fa	TRINITY_DN134366_c9_g1_i2	0.1203	0.1016	0.8449
G31	unbias	31_unbias	RBH_pair_8031.fa	TRINITY_DN116752_c2_g3_i2	0.0184	0.0156	0.8482
G31	unbias	31_unbias	RBH_pair_6517.fa	TRINITY_DN125582_c1_g1_i1	0.0948	0.0808	0.8522
G31	unbias	31_unbias	RBH_pair_10071.fa	TRINITY_DN115006_c4_g2_i1	0.0457	0.0391	0.854
G31	unbias	31_unbias	RBH_pair_10472.fa	TRINITY_DN127713_c4_g1_i1	0.0115	0.0098	0.8542
G31	unbias	31_unbias	RBH_pair_2459.fa	TRINITY_DN115919_c1_g1_i9	0.001	0.0009	0.855
G31	unbias	31_unbias	RBH_pair_4987.fa	TRINITY_DN107984_c0_g1_i2	0.1515	0.1297	0.8562
G31	unbias	31_unbias	RBH_pair_5111.fa	TRINITY_DN123604_c2_g2_i1	0.0124	0.0106	0.8566
G31	unbias	31_unbias	RBH_pair_8705.fa	TRINITY_DN116841_c3_g4_i4	0.0419	0.0359	0.8567
G31	unbias	31_unbias	RBH_pair_1750.fa	TRINITY_DN131466_c2_g1_i3	0.0396	0.0341	0.8591
G31	unbias	31_unbias	RBH_pair_2692.fa	TRINITY_DN120134_c0_g3_i5	0.0389	0.0334	0.8597
G31	unbias	31_unbias	RBH_pair_4905.fa	TRINITY_DN135081_c2_g1_i6	0.0067	0.0058	0.8641
G31	unbias	31_unbias	RBH_pair_9665.fa	TRINITY_DN121215_c1_g1_i2	0.0361	0.0313	0.8651
G31	unbias	31_unbias	RBH_pair_9544.fa	TRINITY_DN137553_c0_g1_i4	0.0467	0.0405	0.866
G31	unbias	31_unbias	RBH_pair_4549.fa	TRINITY_DN115214_c0_g1_i2	0.0408	0.0353	0.8674
G31	unbias	31_unbias	RBH_pair_4094.fa	TRINITY_DN127942_c3_g1_i9	0.0148	0.0129	0.8676
G31	unbias	31_unbias	RBH_pair_8505.fa	TRINITY_DN128806_c4_g1_i13	0.0166	0.0144	0.8688
G31	unbias	31_unbias	RBH_pair_3796.fa	TRINITY_DN123634_c3_g1_i2	0.0046	0.004	0.8693
G31	unbias	31_unbias	RBH_pair_8819.fa	TRINITY_DN132345_c3_g1_i2	0.1038	0.0902	0.8698
G31	unbias	31_unbias	RBH_pair_8006.fa	TRINITY_DN109970_c0_g2_i2	0.1054	0.0917	0.8704
G31	unbias	31_unbias	RBH_pair_6932.fa	TRINITY_DN120867_c6_g2_i2	0.0791	0.0689	0.8712
G31	unbias	31_unbias	RBH_pair_9114.fa	TRINITY_DN138574_c2_g1_i5	0.0972	0.0847	0.8717
G31	unbias	31_unbias	RBH_pair_6227.fa	TRINITY_DN127844_c5_g1_i3	0.0484	0.0422	0.8731
G31	unbias	31_unbias	RBH_pair_6081.fa	TRINITY_DN122147_c0_g1_i1	0.0061	0.0053	0.8755
G31	unbias	31_unbias	RBH_pair_10550.fa	TRINITY_DN139271_c1_g1_i1	0.0431	0.0378	0.8769
G31	unbias	31_unbias	RBH_pair_3682.fa	TRINITY_DN132132_c5_g1_i5	0.0344	0.0302	0.8784
G31	unbias	31_unbias	RBH_pair_6658.fa	TRINITY_DN130743_c2_g1_i1	0.1042	0.0917	0.88
G31	unbias	31_unbias	RBH_pair_6304.fa	TRINITY_DN129896_c1_g2_i2	0.0896	0.0788	0.8803
G31	unbias	31_unbias	RBH_pair_96.fa	TRINITY_DN114153_c0_g1_i1	0.0454	0.04	0.8823
G31	unbias	31_unbias	RBH_pair_3114.fa	TRINITY_DN117781_c1_g1_i20	0.0089	0.0079	0.8826
G31	unbias	31_unbias	RBH_pair_9437.fa	TRINITY_DN142278_c8_g1_i1	0.0413	0.0365	0.8835
G31	unbias	31_unbias	RBH_pair_116.fa	TRINITY_DN137475_c5_g1_i5	0.1602	0.1416	0.8835
G31	unbias	31_unbias	RBH_pair_8304.fa	TRINITY_DN122071_c2_g3_i2	0.0185	0.0164	0.8858
G31	unbias	31_unbias	RBH_pair_6042.fa	TRINITY_DN140169_c4_g3_i4	0.0152	0.0135	0.8885
G31	unbias	31_unbias	RBH_pair_6496.fa	TRINITY_DN141238_c7_g2_i5	0.1541	0.137	0.8889
G31	unbias	31_unbias	RBH_pair_10380.fa	TRINITY_DN122276_c5_g1_i11	0.0345	0.031	0.8977
G31	unbias	31_unbias	RBH_pair_10225.fa	TRINITY_DN136174_c0_g4_i1	0.0066	0.006	0.8988
G31	unbias	31_unbias	RBH_pair_8315.fa	TRINITY_DN132419_c7_g1_i1	0.0645	0.058	0.8996
G31	unbias	31_unbias	RBH_pair_6264.fa	TRINITY_DN131189_c0_g3_i1	0.0041	0.0037	0.9022
G31	unbias	31_unbias	RBH_pair_2699.fa	TRINITY_DN130434_c0_g1_i3	0.0357	0.0323	0.9033
