gid	gname	chr	start	end
TRINITY_DN131018_c2_g1_i2	ID=Xetrov90000260mgName=exoc6b-like]EXC6B_MOUSEEXC6B_MOUSEQ	Chr01	8355256	8425791
TRINITY_DN124326_c2_g1_i2	ID=Xetrov90000264mgName=cyp26b1]CP26B_XENTRCP26B_XENTRQ	Chr01	8565908	8587456
TRINITY_DN142280_c0_g1_i2	ID=Xetrov90000265mgName=dysf-like]DYSF_HUMANDYSF_HUMANQ	Chr01	9051421	9246318
TRINITY_DN140661_c2_g1_i1	ID=Xetrov90000269mgName=cdc25b]MPIP2_MOUSEMPIP2_MOUSEQ	Chr01	9356036	9369850
TRINITY_DN112885_c0_g1_i2	ID=Xetrov90000270mgName=spef1]SPEF1_XENLASPEF1_XENLAQ	Chr01	9437248	9448685
TRINITY_DN128663_c4_g1_i2	ID=Xetrov90000271mgName=c20orf27]CT027_XENTRCT027_XENTRQ	Chr01	9469931	9487447
TRINITY_DN137845_c6_g2_i2	ID=Xetrov90000272mgName=hspa12b]HS12B_HUMANHS12B_HUMANQ	Chr01	9492898	9519025
TRINITY_DN130220_c0_g1_i5	ID=Xetrov90000276mgName=LOC100127651]RN145_XENTRRN145_XENTRQ	Chr01	9648232	9657782
TRINITY_DN129545_c2_g1_i4	ID=Xetrov90000288mgName=LOC100145252]CMLO_XENLACMLO_XENLAQ	Chr01	9931810	9932813
TRINITY_DN139652_c0_g1_i4	ID=Xetrov90000295mgName=adam33]ADA19_HUMANADA19_HUMANQ	Chr01	9999783	10064881
TRINITY_DN140849_c1_g1_i10	ID=Xetrov90000298mgName=dctn1]DCTN1_XENLADCTN1_XENLAQ	Chr01	10068970	10112648
TRINITY_DN123347_c11_g2_i1	ID=Xetrov90000302mgName=LOC100495180]SMYD5_XENLASMYD5_XENLAQ	Chr01	10131517	10141376
TRINITY_DN116490_c2_g3_i1	ID=Xetrov90000310mgName=egr4]EGR4_MOUSEEGR4_MOUSEQ	Chr01	10343294	10345591
TRINITY_DN127408_c0_g1_i2	ID=Xetrov90000313mgName=cct7]TCPH_CHICKTCPH_CHICKQ	Chr01	10430696	10441144
TRINITY_DN126771_c10_g4_i2	ID=Xetrov90000321mgName=spr]SPRE_XENTRSPRE_XENTRQ	Chr01	10753033	10779327
TRINITY_DN123185_c1_g1_i1	ID=Xetrov90000338mgName=ptcd3]PTCD3_XENLAPTCD3_XENLAQ	Chr01	11285961	11300692
TRINITY_DN140350_c0_g1_i10	ID=Xetrov90000339mgName=immt-like]MIC60_MOUSEMIC60_MOUSEQ	Chr01	11303415	11316679
TRINITY_DN135952_c2_g1_i4	ID=Xetrov90000340mgName=kdm3a-like]KD3AB_XENLAKD3AB_XENLAQ	Chr01	11385032	11407329
TRINITY_DN139645_c1_g2_i4	ID=Xetrov90000342mgName=chmp3]CHMP3_XENLACHMP3_XENLAQ	Chr01	11413724	11420772
TRINITY_DN135417_c0_g1_i1	ID=Xetrov90000343mgName=rnf103]RN103_RATRN103_RATQ	Chr01	11428540	11444433
TRINITY_DN143269_c3_g2_i2	ID=Xetrov90000344mgName=rmnd5a]RMD5A_XENTRRMD5A_XENTRQ	Chr01	11449164	11460516
TRINITY_DN113933_c1_g1_i4	ID=Xetrov90000350mgName=vim2]VIME_PANTRVIME_PANTRQ	Chr01	11588720	11594898
TRINITY_DN131674_c6_g1_i1	ID=Xetrov90000351mgName=mfsd10-like]MFS10_MOUSEMFS10_MOUSEQ	Chr01	11600662	11627026
TRINITY_DN142004_c0_g2_i2	ID=Xetrov90000358mgName=Xetrov90000358mg]ADDA_HUMANADDA_HUMANQ	Chr01	11628433	11677143
TRINITY_DN118620_c4_g3_i1	ID=Xetrov90000374mgName=tnip2]TNIP2_MOUSETNIP2_MOUSEQ	Chr01	11849553	11857974
TRINITY_DN117348_c1_g1_i6	ID=Xetrov90000375mgName=fam193a-like]F193A_HUMANF193A_HUMANQ	Chr01	11919166	11967497
TRINITY_DN115594_c0_g1_i7	ID=Xetrov90000376mgName=rnf4]RNF4_MOUSERNF4_MOUSEQ	Chr01	11979280	11992871
TRINITY_DN123127_c5_g4_i1	ID=Xetrov90000379mgName=mxd4]MAD4_HUMANMAD4_HUMANQ	Chr01	12228237	12265756
TRINITY_DN129461_c3_g1_i1	ID=Xetrov90000383mgName=LOC100491954]CD048_CHICKCD048_CHICKQ	Chr01	12489946	12508734
TRINITY_DN126884_c5_g1_i1	ID=Xetrov90000385mgName=nelfa]NELFA_HUMANNELFA_HUMANQ	Chr01	12542971	12555972
TRINITY_DN134259_c2_g2_i1	ID=Xetrov90000386mgName=LOC100492954]SCUB2_HUMANSCUB2_HUMANQ	Chr01	12568075	12588033
TRINITY_DN132043_c2_g3_i4	ID=Xetrov90000389mgName=letm1]LETM1_XENTRLETM1_XENTRQ	Chr01	12657347	12687414
TRINITY_DN121193_c1_g2_i1	ID=Xetrov90000390mgName=fgfr3]FGFR3_CHICKFGFR3_CHICKQ	Chr01	12768111	12837235
TRINITY_DN120032_c0_g2_i2	ID=Xetrov90000392mgName=tacc3]TACC3_XENLATACC3_XENLAQ	Chr01	13278231	13294263
TRINITY_DN136911_c5_g2_i2	ID=Xetrov90000393mgName=tmem129]TM129_XENLATM129_XENLAQ	Chr01	13302596	13310201
TRINITY_DN141856_c0_g1_i8	ID=Xetrov90000394mgName=slbp]SLBP1_XENLASLBP1_XENLAQ	Chr01	13321554	13332876
TRINITY_DN122091_c5_g3_i2	ID=Xetrov90000395mgName=fam53a]FA53A_CHICKFA53A_CHICKQ	Chr01	13456936	13507012
TRINITY_DN128473_c3_g1_i1	ID=Xetrov90000400mgName=uvssa]UVSSA_XENTRUVSSA_XENTRQ	Chr01	13985998	14024044
TRINITY_DN143112_c3_g1_i1	ID=Xetrov90000401mgName=maea]MAEA_CHICKMAEA_CHICKQ	Chr01	14027089	14083215
TRINITY_DN119518_c0_g1_i10	ID=Xetrov90000404mgName=ctbp1]CTBP1_XENLACTBP1_XENLAQ	Chr01	14365424	14412853
TRINITY_DN136790_c2_g3_i2	ID=Xetrov90000405mgName=spon2]SPON2_MOUSESPON2_MOUSEQ	Chr01	14487640	14499433
TRINITY_DN111719_c0_g1_i1	ID=Xetrov90000406mgName=LOC100489853]TMD11_CANLFTMD11_CANLFQ	Chr01	14502547	14514034
TRINITY_DN128047_c1_g1_i2	ID=Xetrov90000408mgName=fgfrl1]FGRL1_CHICKFGRL1_CHICKQ	Chr01	14724047	14773338
TRINITY_DN140031_c2_g1_i3	ID=Xetrov90000414mgName=polr1a]RPA1_MOUSERPA1_MOUSEQ	Chr01	15112002	15164000
TRINITY_DN122085_c3_g3_i8	ID=Xetrov90000415mgName=mrpl35]RM35_HUMANRM35_HUMANQ	Chr01	15165528	15168554
TRINITY_DN116493_c6_g1_i1	ID=Xetrov90000416mgName=krcc1]ZMAT1_XENTRZMAT1_XENTRQ	Chr01	15174033	15195080
TRINITY_DN127836_c2_g1_i2	ID=Xetrov90000418mgName=smyd1]SMYD1_HUMANSMYD1_HUMANQ	Chr01	15203364	15225513
TRINITY_DN119620_c2_g1_i7	ID=Xetrov90000420mgName=fabp1]FABP1_AMBMEFABP1_AMBMEQ	Chr01	15230089	15232367
TRINITY_DN131965_c0_g1_i2	ID=Xetrov90000421mgName=thnsl2]THNS2_XENLATHNS2_XENLAQ	Chr01	15242191	15255923
TRINITY_DN115302_c0_g1_i2	ID=Xetrov90000428mgName=lrpap1]AMRP_RATAMRP_RATQ	Chr01	15735464	15756685
TRINITY_DN118097_c2_g1_i5	ID=Xetrov90000429mgName=dok7-like]DOK7_MOUSEDOK7_MOUSEQ	Chr01	15769619	15833075
TRINITY_DN140444_c5_g1_i2	ID=Xetrov90000430mgName=hgfac]HGFA_MOUSEHGFA_MOUSEQ	Chr01	15854605	15880481
TRINITY_DN143225_c1_g1_i2	ID=Xetrov90000434mgName=htt]HD_HUMANHD_HUMANQ	Chr01	16029872	16112308
TRINITY_DN141054_c1_g1_i1	ID=Xetrov90000435mgName=grk4]GRK4_HUMANGRK4_HUMANQ	Chr01	16126243	16203873
TRINITY_DN114891_c0_g2_i1	ID=Xetrov90000440mgName=nop14]NOP14_HUMANNOP14_HUMANQ	Chr01	16332469	16351556
TRINITY_DN137188_c0_g2_i2	ID=Xetrov90000447mgName=med28]MED28_XENTRMED28_XENTRQ	Chr01	16439407	16443013
TRINITY_DN140776_c1_g1_i1	ID=Xetrov90000449mgName=lap3]AMPL_XENTRAMPL_XENTRQ	Chr01	16446315	16456683
TRINITY_DN123311_c0_g1_i2	ID=Xetrov90000450mgName=clrn2]CLRN2_HUMANCLRN2_HUMANQ	Chr01	16463294	16470538
TRINITY_DN113585_c0_g1_i1	ID=Xetrov90000451mgName=qdpr]DHPR_BOVINDHPR_BOVINQ	Chr01	16477747	16488129
TRINITY_DN136893_c1_g1_i1	ID=Xetrov90000454mgName=tapt1]TAPT1_XENLATAPT1_XENLAQ	Chr01	16782031	16815169
TRINITY_DN129005_c0_g1_i6	ID=Xetrov90000456mgName=prom1]PRM1A_DANREPRM1A_DANREQ	Chr01	16833401	16902042
TRINITY_DN129482_c0_g1_i3	ID=Xetrov90000457mgName=fgfbp2]FGFP2_CHICKFGFP2_CHICKQ	Chr01	16906025	16910204
TRINITY_DN121670_c2_g1_i2	ID=Xetrov90000458mgName=fgfbp1]FGFP1_RATFGFP1_RATQ	Chr01	16917640	16921240
TRINITY_DN139312_c0_g1_i6	ID=Xetrov90000459mgName=cd38]CD38_RATCD38_RATQ	Chr01	16945176	16954597
TRINITY_DN127391_c4_g1_i2	ID=Xetrov90000461mgName=fbxl5]FBXL5_XENLAFBXL5_XENLAQ	Chr01	16988064	17003500
TRINITY_DN132428_c2_g1_i4	ID=Xetrov90000472mgName=rab28]RAB28_MOUSERAB28_MOUSEQ	Chr01	17543756	17603559
TRINITY_DN112120_c0_g1_i2	ID=Xetrov90000473mgName=hs3st1]HS3S1_HUMANHS3S1_HUMANQ	Chr01	17966463	17979397
TRINITY_DN119288_c3_g1_i1	ID=Xetrov90000477mgName=wdr1]WDR1_XENTRWDR1_XENTRQ	Chr01	18158616	18189648
TRINITY_DN118073_c0_g1_i1	ID=Xetrov90000489mgName=LOC100493887]TM128_BOVINTM128_BOVINQ	Chr01	18549030	18553527
TRINITY_DN130682_c0_g1_i3	ID=Xetrov90000490mgName=lyar]LYAR_HUMANLYAR_HUMANQ	Chr01	18580305	18594141
TRINITY_DN121013_c7_g2_i1	ID=Xetrov90000494mgName=nsg1]NSG1_CHICKNSG1_CHICKQ	Chr01	18625008	18650810
TRINITY_DN133111_c0_g1_i10	ID=Xetrov90000495mgName=stx18]STX18_RATSTX18_RATQ	Chr01	18652963	18757449
TRINITY_DN122394_c1_g3_i1	ID=Xetrov90000496mgName=msx1]HOX71_XENLAHOX71_XENLAQ	Chr01	18950075	18953357
TRINITY_DN113599_c0_g1_i1	ID=Xetrov90000497mgName=Xetrov90000497mg]CYTL1_HUMANCYTL1_HUMANQ	Chr01	18982421	18985097
TRINITY_DN140625_c2_g1_i1	ID=Xetrov90000499mgName=evc2]LBN_BOVINLBN_BOVINQ	Chr01	19122567	19196662
TRINITY_DN139775_c1_g1_i8	ID=Xetrov90000500mgName=evc]EVC_HUMANEVC_HUMANQ	Chr01	19204475	19258351
TRINITY_DN138913_c0_g1_i2	ID=Xetrov90000501mgName=crmp1]DPYL1_MOUSEDPYL1_MOUSEQ	Chr01	19259195	19285607
TRINITY_DN127366_c0_g1_i12	ID=Xetrov90000503mgName=jakmip1]JKIP1_HUMANJKIP1_HUMANQ	Chr01	19315484	19374531
TRINITY_DN137416_c0_g1_i4	ID=Xetrov90000505mgName=wfs1]WFS1_MOUSEWFS1_MOUSEQ	Chr01	19412425	19430974
TRINITY_DN139489_c2_g1_i2	ID=Xetrov90000507mgName=man2b2]MA2B2_PONABMA2B2_PONABQ	Chr01	19541771	19571660
TRINITY_DN122090_c5_g1_i9	ID=Xetrov90000509mgName=afap1]AFAP1_CHICKAFAP1_CHICKQ	Chr01	19754013	19844919
TRINITY_DN113491_c0_g1_i1	ID=Xetrov90000511mgName=grpel1]GRPE1_BOVINGRPE1_BOVINQ	Chr01	20357492	20363071
TRINITY_DN113301_c0_g1_i1	ID=Xetrov90000512mgName=tada2b]TAD2B_XENLATAD2B_XENLAQ	Chr01	20365262	20371744
TRINITY_DN135457_c0_g1_i3	ID=Xetrov90000514mgName=tbc1d14-like]TBC14_HUMANTBC14_HUMANQ	Chr01	20379605	20434513
TRINITY_DN133740_c1_g1_i4	ID=Xetrov90000516mgName=LOC100489920-like]ADPGK_MOUSEADPGK_MOUSEQ	Chr01	20481224	20489540
TRINITY_DN142371_c0_g1_i10	ID=Xetrov90000520mgName=htra3]HTRA3_RATHTRA3_RATQ	Chr01	20681225	20700917
TRINITY_DN115092_c0_g1_i7	ID=Xetrov90000521mgName=Xetrov90000521mg]SPRR1_RABITSPRR1_RABITQ	Chr01	20685009	20686688
TRINITY_DN135941_c6_g3_i3	ID=Xetrov90000522mgName=Xetrov90000522mg]TRM44_XENLATRM44_XENLAQ	Chr01	20771304	20794555
TRINITY_DN134777_c2_g1_i2	ID=Xetrov90000525mgName=sepsecs]SPCS_XENTRSPCS_XENTRQ	Chr01	20963028	20982774
TRINITY_DN137399_c1_g1_i15	ID=Xetrov90000527mgName=ccdc149-like]CC149_XENLACC149_XENLAQ	Chr01	21049873	21076518
TRINITY_DN121065_c11_g1_i1	ID=Xetrov90000528mgName=sod3]SODE_RABITSODE_RABITQ	Chr01	21082217	21086114
TRINITY_DN114727_c7_g2_i2	ID=Xetrov90000529mgName=dhx15]DHX15_MOUSEDHX15_MOUSEQ	Chr01	21109905	21130123
TRINITY_DN127651_c1_g1_i2	ID=Xetrov90000531mgName=ppargc1a]PRGC1_PIGPRGC1_PIGQ	Chr01	22008831	22063035
TRINITY_DN115950_c3_g2_i2	ID=Xetrov90000532mgName=gba3]GBA3_PONABGBA3_PONABQ	Chr01	22342374	22373497
TRINITY_DN136523_c2_g1_i2	ID=Xetrov90000533mgName=gpr125]AGRA3_HUMANAGRA3_HUMANQ	Chr01	22373004	22412076
TRINITY_DN135308_c5_g1_i1	ID=Xetrov90000535mgName=pacrgl]PACRL_HUMANPACRL_HUMANQ	Chr01	22668808	22679409
TRINITY_DN135363_c0_g1_i6	ID=Xetrov90000537mgName=slit2]SLIT2_HUMANSLIT2_HUMANQ	Chr01	22697643	22750608
TRINITY_DN125059_c2_g1_i1	ID=Xetrov90000539mgName=ncapg]CND3_XENLACND3_XENLAQ	Chr01	23327161	23349471
TRINITY_DN136184_c0_g1_i1	ID=Xetrov90000541mgName=LOC101733347]F184B_HUMANF184B_HUMANQ	Chr01	23356858	23394150
TRINITY_DN127077_c4_g4_i1	ID=Xetrov90000556mgName=LOC100493503-like]	Chr01	24071000	24098404
TRINITY_DN136425_c0_g2_i1	ID=Xetrov90000560mgName=arap2]ARAP2_HUMANARAP2_HUMANQ	Chr01	24463234	24592893
TRINITY_DN136085_c0_g1_i5	ID=Xetrov90000566mgName=pgm2]PGM2_HUMANPGM2_HUMANQ	Chr01	25900313	25914296
TRINITY_DN136395_c0_g1_i4	ID=Xetrov90000567mgName=rell1]RELL1_HUMANRELL1_HUMANQ	Chr01	25921146	25941149
TRINITY_DN141929_c0_g1_i1	ID=Xetrov90000568mgName=tbc1d1-like]TBCD1_HUMANTBCD1_HUMANQ	Chr01	25964030	26015948
TRINITY_DN116617_c4_g3_i5	ID=Xetrov90000570mgName=klf3]KLF3_MOUSEKLF3_MOUSEQ	Chr01	26186197	26192823
TRINITY_DN135062_c1_g3_i1	ID=Xetrov90000574mgName=tlr1]TLR6_BOVINTLR6_BOVINQ	Chr01	26236628	26238973
TRINITY_DN128265_c3_g3_i5	ID=Xetrov90000578mgName=klhl5-like]KLHL5_HUMANKLHL5_HUMANQ	Chr01	26330435	26359390
TRINITY_DN142399_c2_g1_i5	ID=Xetrov90000583mgName=rfc1]RFC1_HUMANRFC1_HUMANQ	Chr01	26473514	26494656
TRINITY_DN116236_c5_g1_i7	ID=Xetrov90000591mgName=LOC101733414]RL9_MOUSERL9_MOUSEQ	Chr01	27003630	27009225
TRINITY_DN134223_c1_g1_i4	ID=Xetrov90000592mgName=LOC101735113]LIAS_XENLALIAS_XENLAQ	Chr01	27009720	27022757
TRINITY_DN115834_c1_g6_i2	ID=Xetrov90000594mgName=Xetrov90000594mg]SIM14_BOVINSIM14_BOVINQ	Chr01	27050817	27060724
TRINITY_DN135472_c4_g1_i2	ID=Xetrov90000595mgName=LOC100145219]UBE2K_MOUSEUBE2K_MOUSEQ	Chr01	27080459	27101006
TRINITY_DN134573_c1_g1_i9	ID=Xetrov90000598mgName=pds5a]PD5AB_XENLAPD5AB_XENLAQ	Chr01	27104155	27168619
TRINITY_DN143450_c0_g1_i1	ID=Xetrov90000602mgName=n4bp2]N4BP2_HUMANN4BP2_HUMANQ	Chr01	27175612	27203326
TRINITY_DN114719_c2_g3_i4	ID=Xetrov90000607mgName=rbm47]RBM47_MOUSERBM47_MOUSEQ	Chr01	27323638	27336533
TRINITY_DN115438_c5_g1_i1	ID=Xetrov90000609mgName=nsun7]NSUN7_HUMANNSUN7_HUMANQ	Chr01	27448767	27461700
TRINITY_DN118826_c4_g2_i3	ID=Xetrov90000619mgName=tmem33]TMM33_HUMANTMM33_HUMANQ	Chr01	27958081	27966065
TRINITY_DN136253_c1_g1_i2	ID=Xetrov90000620mgName=slc30a9]ZNT9_XENLAZNT9_XENLAQ	Chr01	27983571	28023664
TRINITY_DN141781_c1_g1_i7	ID=Xetrov90000624mgName=atp8a1]AT8A1_BOVINAT8A1_BOVINQ	Chr01	28181203	28276724
TRINITY_DN120827_c4_g1_i7	ID=Xetrov90000627mgName=yipf7]YIPF5_XENLAYIPF5_XENLAQ	Chr01	28520233	28538044
TRINITY_DN129731_c1_g1_i12	ID=Xetrov90000628mgName=gnpda2]GNPI2_XENLAGNPI2_XENLAQ	Chr01	28546622	28561176
TRINITY_DN128021_c3_g1_i6	ID=Xetrov90000629mgName=guf1-like]GUF1_BOVINGUF1_BOVINQ	Chr01	28561872	28582506
TRINITY_DN132065_c2_g1_i2	ID=Xetrov90000640mgName=commd8]COMD8_HUMANCOMD8_HUMANQ	Chr01	29313103	29331759
TRINITY_DN143366_c3_g1_i1	ID=Xetrov90000641mgName=atp10d]AT10D_HUMANAT10D_HUMANQ	Chr01	29353291	29381119
TRINITY_DN132972_c0_g3_i1	ID=Xetrov90000642mgName=corin-like]CORIN_HUMANCORIN_HUMANQ	Chr01	29391953	29498935
TRINITY_DN141125_c0_g5_i1	ID=Xetrov90000643mgName=nfxl1]NFXL1_XENLANFXL1_XENLAQ	Chr01	29535898	29573217
TRINITY_DN113512_c0_g1_i2	ID=Xetrov90000645mgName=nipal1]NIPA3_MOUSENIPA3_MOUSEQ	Chr01	29602560	29618240
TRINITY_DN128160_c2_g2_i11	ID=Xetrov90000646mgName=tec]TEC_HUMANTEC_HUMANQ	Chr01	29623054	29664884
TRINITY_DN109029_c0_g1_i1	ID=Xetrov90000649mgName=zar1]ZAR1_XENLAZAR1_XENLAQ	Chr01	29767993	29770865
TRINITY_DN142581_c1_g1_i8	ID=Xetrov90000653mgName=fryl-like]FRYL_HUMANFRYL_HUMANQ	Chr01	29772426	29888666
TRINITY_DN115876_c2_g3_i2	ID=Xetrov90000655mgName=ociad1]OCAD1_XENTROCAD1_XENTRQ	Chr01	29964939	29997512
TRINITY_DN131436_c0_g1_i5	ID=Xetrov90000656mgName=ociad2]OCAD2_BOVINOCAD2_BOVINQ	Chr01	30009371	30017088
TRINITY_DN127096_c7_g1_i1	ID=Xetrov90000658mgName=sgcb]SGCB_BOVINSGCB_BOVINQ	Chr01	30041959	30067766
TRINITY_DN113783_c5_g3_i2	ID=Xetrov90000660mgName=rasl11b]RSLBB_XENLARSLBB_XENLAQ	Chr01	30238664	30241844
TRINITY_DN139211_c3_g1_i1	ID=Xetrov90000661mgName=scfd2]SCFD2_HUMANSCFD2_HUMANQ	Chr01	30442404	30473043
TRINITY_DN136811_c6_g1_i3	ID=Xetrov90000662mgName=fip1l1]FIP1_RATFIP1_RATQ	Chr01	30492454	30533978
TRINITY_DN117512_c4_g1_i2	ID=Xetrov90000666mgName=chic2]CHIC2_HUMANCHIC2_HUMANQ	Chr01	30765806	30786799
TRINITY_DN137578_c1_g1_i2	ID=Xetrov90000668mgName=LOC100124862]PGFRA_XENLAPGFRA_XENLAQ	Chr01	30840173	30866298
TRINITY_DN137229_c0_g1_i1	ID=Xetrov90000671mgName=kit]KIT_XENLAKIT_XENLAQ	Chr01	30989876	31020677
TRINITY_DN142087_c0_g1_i6	ID=Xetrov90000672mgName=kdr]VGFR2_COTJAVGFR2_COTJAQ	Chr01	31112740	31132481
TRINITY_DN126710_c0_g1_i4	ID=Xetrov90000679mgName=exoc1]EXOC1_HUMANEXOC1_HUMANQ	Chr01	31405894	31437329
TRINITY_DN140682_c1_g1_i2	ID=Xetrov90000681mgName=kiaa1211-like]K1211_MOUSEK1211_MOUSEQ	Chr01	31572513	31587182
TRINITY_DN128172_c0_g1_i3	ID=Xetrov90000690mgName=ppat]PUR1_CHICKPUR1_CHICKQ	Chr01	31660752	31677145
TRINITY_DN137061_c1_g1_i2	ID=Xetrov90000691mgName=lonrf1]LONF1_HUMANLONF1_HUMANQ	Chr01	31681950	31698299
TRINITY_DN121916_c5_g1_i2	ID=Xetrov90000693mgName=dlc1]RHG07_CANLFRHG07_CANLFQ	Chr01	31801414	31856441
TRINITY_DN124981_c1_g2_i1	ID=Xetrov90000695mgName=tusc3]TUSC3_MOUSETUSC3_MOUSEQ	Chr01	32624515	32715779
TRINITY_DN124290_c1_g1_i2	ID=Xetrov90000696mgName=msr1]MSRE_MOUSEMSRE_MOUSEQ	Chr01	32745277	32773392
TRINITY_DN134445_c0_g1_i11	ID=Xetrov90000698mgName=micu3-like]MICU3_HUMANMICU3_HUMANQ	Chr01	32910226	32984860
TRINITY_DN125698_c3_g1_i4	ID=Xetrov90000700mgName=zdhhc2]ZDHC2_HUMANZDHC2_HUMANQ	Chr01	33018188	33068170
TRINITY_DN119236_c5_g2_i2	ID=Xetrov90000702mgName=cnot7]CNOT7_XENLACNOT7_XENLAQ	Chr01	33076463	33086058
TRINITY_DN119114_c0_g3_i2	ID=Xetrov90000703mgName=vps37a]VP37A_MOUSEVP37A_MOUSEQ	Chr01	33086111	33112531
TRINITY_DN118890_c2_g1_i1	ID=Xetrov90000705mgName=slc7a2-like]CTR2_HUMANCTR2_HUMANQ	Chr01	33210256	33237083
TRINITY_DN131810_c0_g1_i1	ID=Xetrov90000706mgName=pdgfrl]PGFRL_HUMANPGFRL_HUMANQ	Chr01	33244452	33277228
TRINITY_DN142307_c1_g2_i11	ID=Xetrov90000708mgName=LOC101730896]MTUS1_XENLAMTUS1_XENLAQ	Chr01	33279888	33362166
TRINITY_DN113310_c0_g1_i1	ID=Xetrov90000713mgName=gtf2e12]T2EA_PONABT2EA_PONABQ	Chr01	33481882	33485492
TRINITY_DN138726_c1_g1_i10	ID=Xetrov90000714mgName=asah1]ASAH1_RATASAH1_RATQ	Chr01	33488227	33497132
TRINITY_DN140479_c5_g1_i2	ID=Xetrov90000716mgName=frg1]FRG1_HUMANFRG1_HUMANQ	Chr01	33503208	33510043
TRINITY_DN143647_c2_g1_i3	ID=Xetrov90000721mgName=fat1]FAT1_HUMANFAT1_HUMANQ	Chr01	34310267	34423951
TRINITY_DN135265_c2_g1_i2	ID=Xetrov90000723mgName=klkb1-like]KLKB1_MOUSEKLKB1_MOUSEQ	Chr01	34796670	34820354
TRINITY_DN136797_c0_g1_i1	ID=Xetrov90000724mgName=cyp4v2-like1]CP4V2_HUMANCP4V2_HUMANQ	Chr01	34822567	34840404
TRINITY_DN130894_c1_g1_i2	ID=Xetrov90000728mgName=tlr3]TLR3_BOSTRTLR3_BOSTRQ	Chr01	34933601	34946859
TRINITY_DN136154_c4_g1_i7	ID=Xetrov90000734mgName=Xetrov90000734mg]PDLI3_XENLAPDLI3_XENLAQ	Chr01	35206850	35228587
TRINITY_DN112621_c0_g1_i2	ID=Xetrov90000736mgName=c4orf47]CD047_XENLACD047_XENLAQ	Chr01	35229000	35235609
TRINITY_DN142797_c7_g1_i1	ID=Xetrov90000737mgName=ufsp2]UFSP2_HUMANUFSP2_HUMANQ	Chr01	35235940	35248103
TRINITY_DN142158_c2_g2_i1	ID=Xetrov90000741mgName=snx25-like]SNX25_HUMANSNX25_HUMANQ	Chr01	35262666	35337630
