chr	logFC.XY43.XX43	sexb
Chr08	4.855886728	Female
Chr08	4.765777679	Female
Chr08	4.706887999	Female
Chr01	4.668176534	Female
Chr04	4.664666799	Female
Chr02	4.661337168	Female
Chr04	4.65286169	Female
Chr02	4.633633322	Female
Chr10	4.614153776	Female
Chr04	4.517246751	Female
Chr04	4.483766854	Female
Chr02	4.439019212	Female
Chr05	4.401178225	Female
Chr08	4.385068025	Female
Chr05	4.352583558	Female
Chr03	4.319507066	Female
Chr06	4.279557069	Female
Chr07	4.271817379	Female
Chr02	4.202410306	Female
Chr08	4.164348641	Female
Chr06	4.053352976	Female
Chr09	3.948882145	Female
Chr04	3.934980561	Female
Chr08	3.882844701	Female
Chr03	3.831010227	Female
Chr05	3.720094674	Female
Chr03	3.585987915	Female
Chr03	3.55015322	Female
Chr02	3.441159423	Female
Chr03	3.360935051	Female
Chr06	3.310656926	Female
Chr07	3.268722701	Female
Chr08	3.178756612	Female
Chr03	3.176936106	Female
Chr03	3.175829552	Female
Chr06	3.154492223	Female
Chr09	3.149755697	Female
Chr07	3.085568421	Female
Chr01	3.036110237	Female
Chr01	3.027925998	Female
Chr03	2.973832586	Female
Chr04	2.939867015	Female
Chr01	2.915677584	Female
Chr09	2.902412571	Female
Chr02	2.802371379	Female
Chr01	2.609950716	Female
Chr04	2.562345782	Female
Chr01	2.51815896	Female
Chr01	2.509460383	Female
Chr03	2.458571553	Female
Chr01	2.45714025	Female
Chr08	2.44800007	Female
Chr02	2.409570848	Female
Chr08	2.388320967	Female
Chr07	2.385760315	Female
Chr01	2.381710972	Female
Chr08	2.37778983	Female
Chr09	2.293675246	Female
Chr06	2.189636608	Female
Chr03	2.17657385	Female
Chr01	2.15847131	Female
Chr04	2.138138599	Female
Chr01	2.012202968	Female
Chr07	1.958122444	Female
Chr03	1.946913648	Female
Chr04	1.915929133	Female
Chr04	1.909803678	Female
Chr04	1.837942329	Female
Chr07	1.825718922	Female
Chr04	1.814331418	Female
Chr04	1.804128184	Female
Chr01	1.794801574	Female
Chr01	1.791255717	Female
Chr08	1.790995957	Female
Chr01	1.788932433	Female
Chr01	1.788430431	Female
Chr03	1.779500313	Female
Chr01	1.763677094	Female
Chr02	1.731538828	Female
Chr08	1.713369759	Female
Chr06	1.688983917	Female
Chr08	1.688141654	Female
Chr04	1.676018263	Female
Chr01	1.648326143	Female
Chr04	1.58985311	Female
Chr03	1.585514086	Female
Chr05	1.572830486	Female
Chr05	1.551866761	Female
Chr01	1.519448332	Female
Chr03	1.515916403	Female
Chr10	1.514715801	Female
Chr03	1.505865277	Female
Chr09	1.496480415	Female
Chr01	1.481389631	Female
Chr04	1.473982902	Female
Chr06	1.465989154	Female
Chr08	1.457034035	Female
Chr03	1.423336089	Female
Chr10	1.413789931	Female
Chr08	0.998912038	Male
Chr09	1.098287246	Male
Chr08	1.104562038	Male
Chr02	1.337280639	Male
Chr07	1.387903583	Male
Chr03	1.618328221	Male
Chr05	1.657691051	Male
Chr07	1.66984951	Male
Chr01	1.683285842	Male
Chr01	1.793820202	Male
Chr01	2.030738107	Male
Chr10	2.038134912	Male
Chr07	2.084525299	Male
Chr01	2.238176901	Male
Chr09	2.452649549	Male
Chr01	2.454848137	Male
Chr07	2.646584371	Male
Chr10	2.70722378	Male
Chr04	2.909180459	Male
Chr08	2.965720713	Male
Chr02	2.998145266	Male
Chr01	3.280435583	Male
Chr10	3.2810244	Male
Chr02	3.39198114	Male
Chr07	3.698816709	Male
Chr03	3.710493385	Male
