stage	sb	ID	Fa	trans	dnds	dn	ds
G43	F-bias	43_F-bias	RBH_pair_1392.fa	TRINITY_DN116358_c0_g1_i1	0.1784	0.2901	1.6261
G43	F-bias	43_F-bias	RBH_pair_9454.fa	TRINITY_DN129646_c4_g1_i1	0.0784	0.1278	1.6285
G43	F-bias	43_F-bias	RBH_pair_6998.fa	TRINITY_DN139908_c0_g2_i1	0.0766	0.1252	1.6339
G43	F-bias	43_F-bias	RBH_pair_1397.fa	TRINITY_DN113099_c0_g1_i1	0.2052	0.3381	1.6471
G43	F-bias	43_F-bias	RBH_pair_2878.fa	TRINITY_DN127888_c5_g1_i1	0.1738	0.2863	1.6479
G43	F-bias	43_F-bias	RBH_pair_3131.fa	TRINITY_DN106681_c0_g1_i3	0.0654	0.109	1.6666
G43	F-bias	43_F-bias	RBH_pair_3713.fa	TRINITY_DN120573_c10_g1_i2	0.0175	0.0291	1.6693
G43	F-bias	43_F-bias	RBH_pair_830.fa	TRINITY_DN112031_c0_g1_i1	0.8319	1.4091	1.6939
G43	F-bias	43_F-bias	RBH_pair_7256.fa	TRINITY_DN131917_c6_g1_i4	0.0588	0.1004	1.7078
G43	F-bias	43_F-bias	RBH_pair_5317.fa	TRINITY_DN121461_c0_g1_i4	0.1019	0.1743	1.7111
G43	F-bias	43_F-bias	RBH_pair_2310.fa	TRINITY_DN121250_c1_g1_i1	0.1069	0.183	1.7115
G43	F-bias	43_F-bias	RBH_pair_9518.fa	TRINITY_DN112605_c0_g1_i1	0.1643	0.2879	1.7522
G43	F-bias	43_F-bias	RBH_pair_6319.fa	TRINITY_DN114561_c0_g3_i1	0.0366	0.0645	1.7634
G43	F-bias	43_F-bias	RBH_pair_6259.fa	TRINITY_DN127474_c0_g1_i1	0.0951	0.1683	1.7697
G43	F-bias	43_F-bias	RBH_pair_5938.fa	TRINITY_DN105482_c0_g1_i3	0.0671	0.1202	1.7921
G43	F-bias	43_F-bias	RBH_pair_2327.fa	TRINITY_DN119200_c2_g1_i6	0.0988	0.1793	1.8153
G43	F-bias	43_F-bias	RBH_pair_7238.fa	TRINITY_DN112411_c0_g1_i3	0.0674	0.1229	1.8233
G43	F-bias	43_F-bias	RBH_pair_2742.fa	TRINITY_DN127270_c2_g1_i4	0.2998	0.5474	1.8261
G43	F-bias	43_F-bias	RBH_pair_9584.fa	TRINITY_DN111613_c0_g1_i1	0.0369	0.0687	1.8594
G43	F-bias	43_F-bias	RBH_pair_6976.fa	TRINITY_DN126782_c0_g1_i2	0.085	0.1581	1.8597
G43	F-bias	43_F-bias	RBH_pair_6289.fa	TRINITY_DN121941_c4_g1_i2	0.1237	0.2309	1.8664
G43	F-bias	43_F-bias	RBH_pair_10610.fa	TRINITY_DN109029_c0_g1_i1	0.0501	0.0943	1.8824
G43	F-bias	43_F-bias	RBH_pair_6543.fa	TRINITY_DN141418_c1_g1_i7	0.1352	0.2561	1.8939
G43	F-bias	43_F-bias	RBH_pair_2746.fa	TRINITY_DN103385_c0_g1_i1	0.2176	0.415	1.9073
G43	F-bias	43_F-bias	RBH_pair_5786.fa	TRINITY_DN130782_c1_g5_i2	0.0433	0.0828	1.9135
G43	F-bias	43_F-bias	RBH_pair_4177.fa	TRINITY_DN142911_c2_g1_i1	0.1922	0.3741	1.9464
G43	F-bias	43_F-bias	RBH_pair_280.fa	TRINITY_DN113126_c0_g1_i5	0.1724	0.3365	1.9516
G43	F-bias	43_F-bias	RBH_pair_4808.fa	TRINITY_DN128153_c4_g2_i7	0.102	0.1998	1.9599
G43	F-bias	43_F-bias	RBH_pair_7565.fa	TRINITY_DN118083_c5_g2_i7	0.0804	0.1586	1.9727
G43	F-bias	43_F-bias	RBH_pair_369.fa	TRINITY_DN142000_c1_g3_i2	0.2613	0.5166	1.9773
G43	F-bias	43_F-bias	RBH_pair_509.fa	TRINITY_DN117565_c0_g1_i3	0.1052	0.2091	1.9885
G46	F-bias	46_F-bias	RBH_pair_3861.fa	TRINITY_DN143918_c2_g1_i2	0.1289	0.0296	0.2295
G46	F-bias	46_F-bias	RBH_pair_1528.fa	TRINITY_DN121805_c1_g3_i2	0.7956	0.3576	0.4494
G46	F-bias	46_F-bias	RBH_pair_10602.fa	TRINITY_DN129688_c1_g1_i4	0.0358	0.0172	0.4798
G46	F-bias	46_F-bias	RBH_pair_3609.fa	TRINITY_DN124383_c2_g1_i5	0.0262	0.0128	0.4896
G46	F-bias	46_F-bias	RBH_pair_4975.fa	TRINITY_DN143398_c1_g1_i2	0.014	0.0071	0.5088
G46	F-bias	46_F-bias	RBH_pair_10252.fa	TRINITY_DN108603_c0_g1_i1	0.0211	0.0113	0.5382
G46	F-bias	46_F-bias	RBH_pair_2641.fa	TRINITY_DN143296_c4_g1_i1	0.073	0.0409	0.5595
G46	F-bias	46_F-bias	RBH_pair_9947.fa	TRINITY_DN122183_c3_g3_i6	0.1334	0.0762	0.571
G46	F-bias	46_F-bias	RBH_pair_3959.fa	TRINITY_DN127992_c3_g1_i1	0.0194	0.0117	0.5996
G46	F-bias	46_F-bias	RBH_pair_7140.fa	TRINITY_DN129139_c2_g1_i1	0.2786	0.17	0.6102
G46	F-bias	46_F-bias	RBH_pair_10340.fa	TRINITY_DN131708_c3_g1_i3	0.024	0.0147	0.6146
G46	F-bias	46_F-bias	RBH_pair_3367.fa	TRINITY_DN121027_c5_g1_i3	0.0151	0.0093	0.615
G46	F-bias	46_F-bias	RBH_pair_5110.fa	TRINITY_DN130650_c7_g3_i2	0.01	0.0062	0.6222
G46	F-bias	46_F-bias	RBH_pair_5771.fa	TRINITY_DN136056_c3_g1_i3	0.0147	0.0092	0.6249
G46	F-bias	46_F-bias	RBH_pair_5985.fa	TRINITY_DN123208_c0_g4_i2	0.0358	0.0224	0.6265
G46	F-bias	46_F-bias	RBH_pair_7760.fa	TRINITY_DN142306_c1_g1_i3	0.0337	0.0222	0.6576
G46	F-bias	46_F-bias	RBH_pair_9391.fa	TRINITY_DN118988_c1_g1_i9	0.0527	0.0349	0.6637
G46	F-bias	46_F-bias	RBH_pair_10445.fa	TRINITY_DN123376_c4_g1_i1	0.0886	0.0598	0.6745
G46	F-bias	46_F-bias	RBH_pair_9534.fa	TRINITY_DN125202_c0_g1_i6	0.0348	0.0237	0.6814
G46	F-bias	46_F-bias	RBH_pair_3461.fa	TRINITY_DN117512_c4_g1_i2	0.0039	0.0026	0.6816
G46	F-bias	46_F-bias	RBH_pair_4247.fa	TRINITY_DN116081_c5_g1_i3	0.0092	0.0064	0.694
G46	F-bias	46_F-bias	RBH_pair_4861.fa	TRINITY_DN114829_c3_g1_i5	0.0641	0.0447	0.6968
G46	F-bias	46_F-bias	RBH_pair_3999.fa	TRINITY_DN115193_c0_g2_i1	0.0288	0.0205	0.7093
G46	F-bias	46_F-bias	RBH_pair_8080.fa	TRINITY_DN114640_c0_g1_i3	0.0457	0.0331	0.7248
G46	F-bias	46_F-bias	RBH_pair_2740.fa	TRINITY_DN134085_c4_g1_i1	0.1251	0.0909	0.7271
G46	F-bias	46_F-bias	RBH_pair_6387.fa	TRINITY_DN129755_c2_g1_i2	0.1287	0.0938	0.7293
G46	F-bias	46_F-bias	RBH_pair_3763.fa	TRINITY_DN131360_c2_g3_i8	0.0418	0.0307	0.733
G46	F-bias	46_F-bias	RBH_pair_7381.fa	TRINITY_DN117121_c1_g3_i1	0.0559	0.0412	0.7369
G46	F-bias	46_F-bias	RBH_pair_7778.fa	TRINITY_DN118495_c0_g1_i8	0.1623	0.1205	0.7424
G46	F-bias	46_F-bias	RBH_pair_4648.fa	TRINITY_DN115561_c4_g1_i1	0.0959	0.0718	0.7489
G46	F-bias	46_F-bias	RBH_pair_7803.fa	TRINITY_DN126224_c6_g1_i3	0.0049	0.0036	0.749
G46	F-bias	46_F-bias	RBH_pair_7367.fa	TRINITY_DN115174_c3_g1_i6	0.021	0.0159	0.7551
G46	F-bias	46_F-bias	RBH_pair_9255.fa	TRINITY_DN118428_c1_g2_i1	0.161	0.122	0.7578
G46	F-bias	46_F-bias	RBH_pair_10325.fa	TRINITY_DN129070_c3_g1_i14	0.0139	0.0107	0.7684
G46	F-bias	46_F-bias	RBH_pair_9745.fa	TRINITY_DN116240_c2_g1_i7	0.0135	0.0104	0.77
G46	F-bias	46_F-bias	RBH_pair_6364.fa	TRINITY_DN116035_c0_g1_i2	0.1613	0.1245	0.7718
G46	F-bias	46_F-bias	RBH_pair_4739.fa	TRINITY_DN118300_c2_g1_i1	0.0283	0.0221	0.7825
G46	F-bias	46_F-bias	RBH_pair_1698.fa	TRINITY_DN112926_c0_g1_i1	0.1554	0.1219	0.7844
G46	F-bias	46_F-bias	RBH_pair_4455.fa	TRINITY_DN119221_c8_g1_i1	0.0795	0.0625	0.7861
G46	F-bias	46_F-bias	RBH_pair_9476.fa	TRINITY_DN142524_c0_g1_i5	0.0185	0.0148	0.7972
G46	F-bias	46_F-bias	RBH_pair_2567.fa	TRINITY_DN112886_c0_g1_i1	0.0056	0.0046	0.8152
G46	F-bias	46_F-bias	RBH_pair_3518.fa	TRINITY_DN124924_c3_g3_i1	0.0764	0.0624	0.8161
G46	F-bias	46_F-bias	RBH_pair_8587.fa	TRINITY_DN114741_c6_g1_i1	0.0894	0.0734	0.8204
G46	F-bias	46_F-bias	RBH_pair_9200.fa	TRINITY_DN119071_c2_g1_i10	0.072	0.0592	0.8217
G46	F-bias	46_F-bias	RBH_pair_9849.fa	TRINITY_DN134691_c2_g3_i1	0.1009	0.0835	0.8277
G46	F-bias	46_F-bias	RBH_pair_8786.fa	TRINITY_DN134144_c0_g2_i1	0.0425	0.0353	0.8301
G46	F-bias	46_F-bias	RBH_pair_10656.fa	TRINITY_DN139784_c4_g2_i4	0.0417	0.0347	0.8312
G46	F-bias	46_F-bias	RBH_pair_5571.fa	TRINITY_DN131047_c1_g4_i1	0.0171	0.0143	0.834
G46	F-bias	46_F-bias	RBH_pair_9414.fa	TRINITY_DN130824_c2_g1_i1	0.0423	0.0353	0.8343
G46	F-bias	46_F-bias	RBH_pair_10230.fa	TRINITY_DN124590_c6_g2_i1	0.085	0.071	0.8353
G46	F-bias	46_F-bias	RBH_pair_4858.fa	TRINITY_DN131774_c2_g1_i3	0.1024	0.0865	0.8449
G46	F-bias	46_F-bias	RBH_pair_10071.fa	TRINITY_DN115006_c4_g2_i1	0.0457	0.0391	0.854
G46	F-bias	46_F-bias	RBH_pair_10472.fa	TRINITY_DN127713_c4_g1_i1	0.0115	0.0098	0.8542
G46	F-bias	46_F-bias	RBH_pair_2459.fa	TRINITY_DN115919_c1_g1_i9	0.001	0.0009	0.855
G46	F-bias	46_F-bias	RBH_pair_4549.fa	TRINITY_DN115214_c0_g1_i2	0.0408	0.0353	0.8674
G46	F-bias	46_F-bias	RBH_pair_4094.fa	TRINITY_DN127942_c3_g1_i9	0.0148	0.0129	0.8676
G46	F-bias	46_F-bias	RBH_pair_8819.fa	TRINITY_DN132345_c3_g1_i2	0.1038	0.0902	0.8698
G46	F-bias	46_F-bias	RBH_pair_9114.fa	TRINITY_DN138574_c2_g1_i5	0.0972	0.0847	0.8717
G46	F-bias	46_F-bias	RBH_pair_6227.fa	TRINITY_DN127844_c5_g1_i3	0.0484	0.0422	0.8731
G46	F-bias	46_F-bias	RBH_pair_6081.fa	TRINITY_DN122147_c0_g1_i1	0.0061	0.0053	0.8755
G46	F-bias	46_F-bias	RBH_pair_9437.fa	TRINITY_DN142278_c8_g1_i1	0.0413	0.0365	0.8835
G46	F-bias	46_F-bias	RBH_pair_6496.fa	TRINITY_DN141238_c7_g2_i5	0.1541	0.137	0.8889
G46	F-bias	46_F-bias	RBH_pair_10225.fa	TRINITY_DN136174_c0_g4_i1	0.0066	0.006	0.8988
G46	F-bias	46_F-bias	RBH_pair_8825.fa	TRINITY_DN120742_c2_g3_i9	0.1104	0.0999	0.9044
G46	F-bias	46_F-bias	RBH_pair_2409.fa	TRINITY_DN119615_c2_g2_i2	0.0216	0.0196	0.9079
G46	F-bias	46_F-bias	RBH_pair_8097.fa	TRINITY_DN142085_c0_g1_i1	0.001	0.0009	0.9094
G46	F-bias	46_F-bias	RBH_pair_8572.fa	TRINITY_DN138636_c6_g1_i1	0.2274	0.2077	0.9134
G46	F-bias	46_F-bias	RBH_pair_6950.fa	TRINITY_DN117056_c2_g1_i3	0.0368	0.0337	0.9145
G46	F-bias	46_F-bias	RBH_pair_9478.fa	TRINITY_DN138315_c1_g2_i4	0.0636	0.0582	0.9146
G46	F-bias	46_F-bias	RBH_pair_7819.fa	TRINITY_DN130024_c3_g2_i2	0.0083	0.0076	0.9163
G46	F-bias	46_F-bias	RBH_pair_10052.fa	TRINITY_DN133135_c0_g1_i6	0.0371	0.034	0.9168
G46	F-bias	46_F-bias	RBH_pair_9338.fa	TRINITY_DN136312_c0_g1_i6	0.0088	0.0081	0.9185
G46	F-bias	46_F-bias	RBH_pair_8229.fa	TRINITY_DN138772_c3_g1_i2	0.0119	0.011	0.9232
G46	F-bias	46_F-bias	RBH_pair_4737.fa	TRINITY_DN119370_c1_g1_i1	0.083	0.0768	0.9252
G46	F-bias	46_F-bias	RBH_pair_5199.fa	TRINITY_DN120694_c4_g2_i8	0.0524	0.0486	0.9261
G46	F-bias	46_F-bias	RBH_pair_6643.fa	TRINITY_DN118150_c0_g1_i5	0.1438	0.1333	0.9264
G46	F-bias	46_F-bias	RBH_pair_5766.fa	TRINITY_DN125945_c2_g3_i1	0.1708	0.1582	0.9264
G46	F-bias	46_F-bias	RBH_pair_8401.fa	TRINITY_DN115896_c0_g1_i1	0.0257	0.0239	0.9277
G46	F-bias	46_F-bias	RBH_pair_1699.fa	TRINITY_DN139175_c1_g1_i4	0.0092	0.0086	0.933
G46	F-bias	46_F-bias	RBH_pair_7978.fa	TRINITY_DN116208_c7_g1_i2	0.2196	0.2051	0.934
G46	F-bias	46_F-bias	RBH_pair_3960.fa	TRINITY_DN124877_c1_g1_i1	0.1132	0.1058	0.9348
G46	F-bias	46_F-bias	RBH_pair_6006.fa	TRINITY_DN121095_c4_g2_i5	0.001	0.0009	0.9378
G46	F-bias	46_F-bias	RBH_pair_4396.fa	TRINITY_DN131819_c4_g2_i3	0.1762	0.167	0.9477
G46	F-bias	46_F-bias	RBH_pair_3810.fa	TRINITY_DN130206_c1_g1_i1	0.1177	0.1115	0.9478
G46	F-bias	46_F-bias	RBH_pair_7796.fa	TRINITY_DN126242_c2_g1_i1	0.013	0.0123	0.9483
G46	F-bias	46_F-bias	RBH_pair_10772.fa	TRINITY_DN128676_c4_g1_i1	0.125	0.1201	0.9612
G46	F-bias	46_F-bias	RBH_pair_3772.fa	TRINITY_DN135324_c2_g1_i12	0.0409	0.0394	0.9626
G46	F-bias	46_F-bias	RBH_pair_1734.fa	TRINITY_DN122554_c5_g4_i3	0.0442	0.0426	0.964
G46	F-bias	46_F-bias	RBH_pair_10091.fa	TRINITY_DN115656_c0_g1_i1	0.018	0.0174	0.9666
G46	F-bias	46_F-bias	RBH_pair_9880.fa	TRINITY_DN137823_c2_g1_i1	0.0185	0.0179	0.9677
G46	F-bias	46_F-bias	RBH_pair_1579.fa	TRINITY_DN136800_c2_g1_i6	0.0333	0.0322	0.9678
G46	F-bias	46_F-bias	RBH_pair_6260.fa	TRINITY_DN139742_c1_g1_i7	0.0215	0.0208	0.9683
G46	F-bias	46_F-bias	RBH_pair_4088.fa	TRINITY_DN130084_c2_g1_i1	0.0393	0.0382	0.9718
G46	F-bias	46_F-bias	RBH_pair_5048.fa	TRINITY_DN137194_c0_g1_i10	0.0516	0.0502	0.9727
G46	F-bias	46_F-bias	RBH_pair_9173.fa	TRINITY_DN112501_c0_g1_i1	0.0441	0.043	0.9767
G46	F-bias	46_F-bias	RBH_pair_10104.fa	TRINITY_DN136006_c3_g1_i2	0.0537	0.0526	0.9794
G46	F-bias	46_F-bias	RBH_pair_3845.fa	TRINITY_DN123431_c1_g2_i1	0.0229	0.0226	0.9871
G46	F-bias	46_F-bias	RBH_pair_4383.fa	TRINITY_DN124132_c4_g1_i1	0.0914	0.0906	0.9906
G46	F-bias	46_F-bias	RBH_pair_2263.fa	TRINITY_DN135463_c6_g1_i3	0.0467	0.0464	0.9933
G46	F-bias	46_F-bias	RBH_pair_1856.fa	TRINITY_DN133058_c3_g2_i4	0.0887	0.0884	0.9967
G46	F-bias	46_F-bias	RBH_pair_4123.fa	TRINITY_DN116688_c0_g1_i1	0.1372	0.1371	0.9991
G46	F-bias	46_F-bias	RBH_pair_9006.fa	TRINITY_DN120966_c0_g1_i2	0.0478	0.0478	0.9998
G46	F-bias	46_F-bias	RBH_pair_2558.fa	TRINITY_DN141996_c6_g1_i1	0.0841	0.0841	1.0003
G46	F-bias	46_F-bias	RBH_pair_10725.fa	TRINITY_DN124924_c3_g1_i1	0.1275	0.1283	1.0067
G46	F-bias	46_F-bias	RBH_pair_4250.fa	TRINITY_DN117803_c3_g2_i5	0.0951	0.0964	1.0139
G46	F-bias	46_F-bias	RBH_pair_1229.fa	TRINITY_DN112892_c0_g1_i1	0.0361	0.0367	1.016
G46	F-bias	46_F-bias	RBH_pair_7421.fa	TRINITY_DN114700_c3_g2_i2	0.0339	0.0344	1.0164
G46	F-bias	46_F-bias	RBH_pair_7332.fa	TRINITY_DN142742_c0_g1_i2	0.0583	0.0593	1.0169
G46	F-bias	46_F-bias	RBH_pair_8110.fa	TRINITY_DN142111_c1_g1_i2	0.0082	0.0084	1.0176
G46	F-bias	46_F-bias	RBH_pair_8364.fa	TRINITY_DN136224_c0_g1_i4	0.0989	0.1009	1.0197
G46	F-bias	46_F-bias	RBH_pair_7328.fa	TRINITY_DN119289_c0_g1_i5	0.0135	0.0139	1.0246
G46	F-bias	46_F-bias	RBH_pair_8069.fa	TRINITY_DN135555_c3_g1_i14	0.1033	0.106	1.0256
G46	F-bias	46_F-bias	RBH_pair_9907.fa	TRINITY_DN118498_c2_g1_i1	0.0551	0.0566	1.0269
G46	F-bias	46_F-bias	RBH_pair_5466.fa	TRINITY_DN136520_c2_g1_i2	0.0188	0.0194	1.0272
G46	F-bias	46_F-bias	RBH_pair_2942.fa	TRINITY_DN120718_c6_g1_i3	0.0093	0.0096	1.0291
G46	F-bias	46_F-bias	RBH_pair_10613.fa	TRINITY_DN134087_c2_g1_i2	0.0943	0.0972	1.0307
G46	F-bias	46_F-bias	RBH_pair_6507.fa	TRINITY_DN128517_c3_g1_i2	0.0438	0.0452	1.0329
G46	F-bias	46_F-bias	RBH_pair_7618.fa	TRINITY_DN115458_c0_g1_i1	0.3426	0.3541	1.0338
G46	F-bias	46_F-bias	RBH_pair_84.fa	TRINITY_DN135472_c4_g1_i2	0.0063	0.0065	1.0354
G46	F-bias	46_F-bias	RBH_pair_4659.fa	TRINITY_DN118018_c3_g1_i16	0.0103	0.0107	1.0366
G46	F-bias	46_F-bias	RBH_pair_2977.fa	TRINITY_DN125680_c5_g1_i4	0.0397	0.0411	1.0366
G46	F-bias	46_F-bias	RBH_pair_5318.fa	TRINITY_DN112349_c1_g1_i2	0.0388	0.0402	1.0368
G46	F-bias	46_F-bias	RBH_pair_971.fa	TRINITY_DN118629_c4_g2_i4	0.1874	0.1944	1.0372
G46	F-bias	46_F-bias	RBH_pair_7422.fa	TRINITY_DN114700_c3_g1_i2	0.0071	0.0074	1.0377
G46	F-bias	46_F-bias	RBH_pair_7866.fa	TRINITY_DN128545_c2_g1_i3	0.0364	0.0378	1.0381
G46	F-bias	46_F-bias	RBH_pair_7989.fa	TRINITY_DN118197_c3_g7_i1	0.0284	0.0295	1.0384
G46	F-bias	46_F-bias	RBH_pair_5860.fa	TRINITY_DN125141_c4_g2_i2	0.1955	0.2034	1.04
G46	F-bias	46_F-bias	RBH_pair_8924.fa	TRINITY_DN142074_c3_g1_i3	0.0314	0.0327	1.0442
G46	F-bias	46_F-bias	RBH_pair_1009.fa	TRINITY_DN115609_c1_g1_i1	0.0685	0.0716	1.0455
G46	F-bias	46_F-bias	RBH_pair_4468.fa	TRINITY_DN142380_c3_g1_i4	0.1467	0.1537	1.0475
G46	F-bias	46_F-bias	RBH_pair_3767.fa	TRINITY_DN129295_c2_g2_i2	0.1047	0.1099	1.0501
G46	F-bias	46_F-bias	RBH_pair_2590.fa	TRINITY_DN136561_c0_g4_i2	0.0129	0.0136	1.051
G46	F-bias	46_F-bias	RBH_pair_5937.fa	TRINITY_DN138530_c1_g1_i3	0.0154	0.0162	1.0544
G46	F-bias	46_F-bias	RBH_pair_7204.fa	TRINITY_DN126332_c1_g1_i1	0.0548	0.0578	1.0545
G46	F-bias	46_F-bias	RBH_pair_5272.fa	TRINITY_DN119103_c2_g1_i3	0.1074	0.1133	1.0547
G46	F-bias	46_F-bias	RBH_pair_4375.fa	TRINITY_DN124267_c4_g1_i6	0.0098	0.0104	1.0555
G46	F-bias	46_F-bias	RBH_pair_8951.fa	TRINITY_DN136772_c0_g1_i1	0.0604	0.0639	1.0579
G46	F-bias	46_F-bias	RBH_pair_5197.fa	TRINITY_DN129013_c0_g1_i1	0.0636	0.0674	1.0602
G46	F-bias	46_F-bias	RBH_pair_9746.fa	TRINITY_DN137838_c5_g2_i2	0.02	0.0213	1.0607
G46	F-bias	46_F-bias	RBH_pair_3357.fa	TRINITY_DN140486_c1_g1_i2	0.0277	0.0294	1.0612
G46	F-bias	46_F-bias	RBH_pair_6203.fa	TRINITY_DN112235_c0_g1_i1	0.1671	0.178	1.0651
G46	F-bias	46_F-bias	RBH_pair_9833.fa	TRINITY_DN131264_c2_g2_i4	0.1274	0.1359	1.0666
G46	F-bias	46_F-bias	RBH_pair_8371.fa	TRINITY_DN129559_c2_g2_i1	0.0663	0.0708	1.0668
G46	F-bias	46_F-bias	RBH_pair_9147.fa	TRINITY_DN129007_c4_g1_i2	0.0602	0.0646	1.0724
G46	F-bias	46_F-bias	RBH_pair_8381.fa	TRINITY_DN129247_c0_g1_i1	0.0576	0.0618	1.0731
G46	F-bias	46_F-bias	RBH_pair_7220.fa	TRINITY_DN136108_c2_g1_i4	0.0579	0.0621	1.0734
G46	F-bias	46_F-bias	RBH_pair_10344.fa	TRINITY_DN124906_c1_g1_i5	0.135	0.1453	1.0763
G46	F-bias	46_F-bias	RBH_pair_8096.fa	TRINITY_DN132035_c2_g1_i2	0.0128	0.0137	1.0781
G46	F-bias	46_F-bias	RBH_pair_5228.fa	TRINITY_DN120440_c0_g1_i6	0.0484	0.0526	1.0855
G46	F-bias	46_F-bias	RBH_pair_6299.fa	TRINITY_DN126494_c0_g1_i1	0.0096	0.0105	1.0871
G46	F-bias	46_F-bias	RBH_pair_9253.fa	TRINITY_DN117819_c2_g2_i1	0.0529	0.0575	1.0878
G46	F-bias	46_F-bias	RBH_pair_4244.fa	TRINITY_DN116130_c4_g1_i1	0.0109	0.0119	1.093
G46	F-bias	46_F-bias	RBH_pair_9090.fa	TRINITY_DN126675_c3_g2_i1	0.0769	0.084	1.0931
G46	F-bias	46_F-bias	RBH_pair_5211.fa	TRINITY_DN132665_c0_g2_i1	0.0374	0.0409	1.0939
G46	F-bias	46_F-bias	RBH_pair_7859.fa	TRINITY_DN141762_c1_g1_i2	0.0545	0.0597	1.0944
G46	F-bias	46_F-bias	RBH_pair_3809.fa	TRINITY_DN119518_c0_g1_i10	0.0223	0.0245	1.0949
G46	F-bias	46_F-bias	RBH_pair_9555.fa	TRINITY_DN116501_c2_g1_i2	0.092	0.1008	1.0964
G46	F-bias	46_F-bias	RBH_pair_8162.fa	TRINITY_DN134256_c3_g2_i14	0.0266	0.0292	1.0967
G46	F-bias	46_F-bias	RBH_pair_10588.fa	TRINITY_DN135739_c4_g1_i1	0.048	0.0527	1.0982
G46	F-bias	46_F-bias	RBH_pair_6280.fa	TRINITY_DN131293_c3_g1_i1	0.0165	0.0181	1.0984
G46	F-bias	46_F-bias	RBH_pair_4238.fa	TRINITY_DN115668_c0_g2_i2	0.0431	0.0475	1.1023
G46	F-bias	46_F-bias	RBH_pair_5118.fa	TRINITY_DN122278_c4_g1_i3	0.0024	0.0027	1.1031
G46	F-bias	46_F-bias	RBH_pair_10199.fa	TRINITY_DN138282_c0_g1_i2	0.0365	0.0403	1.1037
G46	F-bias	46_F-bias	RBH_pair_9909.fa	TRINITY_DN130830_c6_g1_i6	0.0987	0.1091	1.1047
G46	F-bias	46_F-bias	RBH_pair_1205.fa	TRINITY_DN125077_c2_g1_i1	0.1001	0.1108	1.107
G46	F-bias	46_F-bias	RBH_pair_2296.fa	TRINITY_DN115618_c2_g1_i2	0.0717	0.0794	1.1072
G46	F-bias	46_F-bias	RBH_pair_7805.fa	TRINITY_DN125375_c3_g4_i1	0.029	0.0321	1.1099
G46	F-bias	46_F-bias	RBH_pair_4591.fa	TRINITY_DN130252_c0_g1_i1	0.0452	0.0502	1.11
G46	F-bias	46_F-bias	RBH_pair_10561.fa	TRINITY_DN129072_c0_g1_i2	0.009	0.01	1.1106
G46	F-bias	46_F-bias	RBH_pair_6134.fa	TRINITY_DN118785_c0_g2_i3	0.0532	0.0591	1.1107
G46	F-bias	46_F-bias	RBH_pair_9886.fa	TRINITY_DN117852_c2_g1_i1	0.094	0.1045	1.111
