Gid	gname	chr	start	end	dN_dS	dN	dS
TRINITY_DN111719_c0_g1_i1	ID=Xetrov90000406mgName=LOC100489853]TMD11_CANLFTMD11_CANLFQ	Chr01	14502547	14514034	0.1107	0.1668	1.5062
TRINITY_DN111814_c0_g1_i1	ID=Xetrov90001998mgName=yjefn3]YJEN3_HUMANYJEN3_HUMANQ	Chr01	101461977	101501619	0.0762	0.1188	1.5599
TRINITY_DN112164_c0_g1_i1	ID=Xetrov90003325mgName=cdk7]CDK7_XENLACDK7_XENLAQ	Chr01	163626702	163641032	0.0457	0.0784	1.7138
TRINITY_DN112239_c0_g1_i3	ID=Xetrov90002604mgName=ccnb1ip1]CIP1_HUMANCIP1_HUMANQ	Chr01	130445254	130447204	0.0484	0.0911	1.8817
TRINITY_DN112349_c1_g1_i2	ID=Xetrov90003604mgName=hcn1]HCN1_HUMANHCN1_HUMANQ	Chr01	181104515	181322258	0.0435	0.0412	0.9454
TRINITY_DN112533_c0_g3_i1	ID=Xetrov90002898mgName=ywhah]1433F_RAT1433F_RATQ	Chr01	143706404	143708921	0.0135	0.018	1.3342
TRINITY_DN112573_c0_g1_i4	ID=Xetrov90002886mgName=drg1]DRG1_XENLADRG1_XENLAQ	Chr01	143548439	143553737	0.0176	0.0282	1.6057
TRINITY_DN112574_c0_g1_i2	ID=Xetrov90003016mgName=comt2]COMT_RATCOMT_RATQ	Chr01	146432864	146450074	0.0987	0.1287	1.3039
TRINITY_DN112621_c0_g1_i2	ID=Xetrov90000736mgName=c4orf47]CD047_XENLACD047_XENLAQ	Chr01	35229000	35235609	0.0909	0.1698	1.868
TRINITY_DN112701_c0_g1_i1	ID=Xetrov90001299mgName=lsm7]LSM7_HUMANLSM7_HUMANQ	Chr01	73873750	73880326	0.0076	0.0085	1.1143
TRINITY_DN112725_c0_g1_i1	ID=Xetrov90002233mgName=dmrt2]DMRT2_HUMANDMRT2_HUMANQ	Chr01	116306551	116313635	0.1008	0.1221	1.2115
TRINITY_DN112741_c0_g1_i4	ID=Xetrov90002742mgName=slc25a46]S246A_XENLAS246A_XENLAQ	Chr01	135394990	135416624	0.0705	0.0996	1.412
TRINITY_DN112769_c0_g1_i1	ID=Xetrov90000821mgName=anxa10]ANX10_MOUSEANX10_MOUSEQ	Chr01	41382093	41410510	0.0814	0.1136	1.3943
TRINITY_DN112804_c0_g1_i1	ID=Xetrov90002132mgName=tek]TIE2_BOVINTIE2_BOVINQ	Chr01	110075520	110119487	0.1225	0.1788	1.4587
TRINITY_DN112837_c0_g1_i1	ID=Xetrov90002386mgName=nfil3]NFIL3_XENTRNFIL3_XENTRQ	Chr01	126556004	126575770	0.0952	0.1152	1.2102
TRINITY_DN112919_c0_g1_i2	ID=Xetrov90002441mgName=psmb5]PSB5_PONABPSB5_PONABQ	Chr01	128036731	128039502	0.0541	0.0753	1.3929
TRINITY_DN113047_c0_g1_i4	ID=Xetrov90001491mgName=lppr3]PLPR3_RATPLPR3_RATQ	Chr01	81892404	81911337	0.0447	0.0697	1.5595
TRINITY_DN113072_c0_g1_i1	ID=Xetrov90002036mgName=igfbpl1]IBPL1_BOVINIBPL1_BOVINQ	Chr01	102887053	102902247	0.1146	0.1849	1.6131
TRINITY_DN113126_c0_g1_i5	ID=Xetrov90001445mgName=LOC100486858]CTSL2_XENTRCTSL2_XENTRQ	Chr01	80401669	80418028	0.1951	0.329	1.6866
TRINITY_DN113187_c0_g1_i1	ID=Xetrov90002641mgName=aplnr]APJ_XENTRAPJ_XENTRQ	Chr01	131383517	131385796	0.0992	0.1347	1.359
TRINITY_DN113268_c0_g1_i1	ID=Xetrov90003180mgName=erp29]ERP29_BOVINERP29_BOVINQ	Chr01	155038161	155050555	0.1294	0.2177	1.6824
TRINITY_DN113301_c0_g1_i1	ID=Xetrov90000512mgName=tada2b]TAD2B_XENLATAD2B_XENLAQ	Chr01	20365262	20371744	0.0136	0.0243	1.784
TRINITY_DN113378_c0_g1_i2	ID=Xetrov90000775mgName=spata4-like]SPAT4_PANTRSPAT4_PANTRQ	Chr01	38573353	38580561	0.1322	0.1609	1.2168
TRINITY_DN113380_c0_g1_i1	ID=Xetrov90002939mgName=Xetrov90002939mg]GTR11_HUMANGTR11_HUMANQ	Chr01	144645843	144659541	0.1485	0.2352	1.5838
TRINITY_DN113392_c2_g2_i1	ID=Xetrov90002206mgName=plgrkt]PLRKT_RATPLRKT_RATQ	Chr01	114840949	114877993	0.1985	0.2207	1.112
TRINITY_DN113503_c0_g2_i3	ID=Xetrov90003565mgName=ankrd55]ANR55_HUMANANR55_HUMANQ	Chr01	178335970	178389692	0.0504	0.0799	1.5856
TRINITY_DN113512_c0_g1_i2	ID=Xetrov90000645mgName=nipal1]NIPA3_MOUSENIPA3_MOUSEQ	Chr01	29602560	29618240	0.0864	0.153	1.77
TRINITY_DN113516_c0_g1_i1	ID=Xetrov90003000mgName=cdc45-like]CDC45_XENLACDC45_XENLAQ	Chr01	145780872	145797201	0.0256	0.0393	1.5388
TRINITY_DN113545_c0_g1_i2	ID=Xetrov90001468mgName=LOC101734868]	Chr01	81165752	81169536	0.2908	0.4458	1.5326
TRINITY_DN113585_c0_g1_i1	ID=Xetrov90000451mgName=qdpr]DHPR_BOVINDHPR_BOVINQ	Chr01	16477747	16488129	0.0697	0.0894	1.2834
TRINITY_DN113647_c0_g1_i1	ID=Xetrov90001842mgName=foxe1]FOXE1_XENLAFOXE1_XENLAQ	Chr01	95325677	95327453	0.0577	0.1039	1.8005
TRINITY_DN113684_c0_g2_i4	ID=Xetrov90001494mgName=palm]PALM_CHICKPALM_CHICKQ	Chr01	81998606	82009865	0.1162	0.1688	1.4528
TRINITY_DN113752_c0_g1_i3	ID=Xetrov90001372mgName=prdm8]PRDM8_HUMANPRDM8_HUMANQ	Chr01	76503565	76508518	0.0957	0.1128	1.1788
TRINITY_DN113783_c5_g3_i2	ID=Xetrov90000660mgName=rasl11b]RSLBB_XENLARSLBB_XENLAQ	Chr01	30238664	30241844	0.0781	0.0831	1.0638
TRINITY_DN113865_c7_g1_i3	ID=Xetrov90001865mgName=hsdl2]HSDL2_XENTRHSDL2_XENTRQ	Chr01	96084504	96114740	0.0647	0.1077	1.6638
TRINITY_DN113876_c0_g1_i3	ID=Xetrov90003080mgName=ccdc92]CCD92_HUMANCCD92_HUMANQ	Chr01	152187591	152200503	0.0547	0.0617	1.1285
TRINITY_DN113969_c4_g2_i2	ID=Xetrov90002894mgName=pisd-like1]PISD_PONABPISD_PONABQ	Chr01	143615120	143623261	0.0331	0.0472	1.4271
TRINITY_DN113992_c3_g1_i1	ID=Xetrov90001289mgName=polr2b]RPB2_HUMANRPB2_HUMANQ	Chr01	73166937	73229484	0.0011	0.0019	1.773
TRINITY_DN114080_c2_g1_i5	ID=Xetrov90001732mgName=hsd17b11]DHB11_PONABDHB11_PONABQ	Chr01	88820066	88830064	0.0795	0.1489	1.8729
TRINITY_DN114206_c0_g1_i6	ID=Xetrov90002403mgName=rnf31]RNF31_MOUSERNF31_MOUSEQ	Chr01	127167623	127201282	0.1244	0.1959	1.5737
TRINITY_DN114351_c0_g5_i1	ID=Xetrov90000782mgName=hand2]HAND2_XENLAHAND2_XENLAQ	Chr01	39412802	39417069	0.5464	0.8692	1.5907
TRINITY_DN114374_c0_g1_i2	ID=Xetrov90003221mgName=hspb8]HSPB8_PONABHSPB8_PONABQ	Chr01	157247053	157271621	0.0948	0.0926	0.9775
TRINITY_DN114384_c3_g3_i1	ID=Xetrov90002716mgName=ficd]FICD_XENTRFICD_XENTRQ	Chr01	133833076	133837520	0.0442	0.0874	1.9789
TRINITY_DN114407_c3_g3_i4	ID=Xetrov90000754mgName=enpp6]ENPP6_XENLAENPP6_XENLAQ	Chr01	35674507	35689357	0.1192	0.1809	1.5179
TRINITY_DN114502_c4_g3_i3	ID=Xetrov90002783mgName=kctd10]BACD3_HUMANBACD3_HUMANQ	Chr01	138303847	138316104	0.0018	0.0028	1.5318
TRINITY_DN114514_c0_g1_i1	ID=Xetrov90002264mgName=abhd17b]AB17B_XENTRAB17B_XENTRQ	Chr01	118177523	118201070	0.0029	0.003	1.0441
TRINITY_DN114517_c0_g1_i2	ID=Xetrov90001031mgName=spata5-like]SPAT5_MOUSESPAT5_MOUSEQ	Chr01	56387734	56461968	0.0941	0.1845	1.9605
TRINITY_DN114546_c0_g1_i2	ID=Xetrov90003305mgName=tnfaip8]TFIP8_XENLATFIP8_XENLAQ	Chr01	162017162	162044442	0.0494	0.0647	1.3104
TRINITY_DN114549_c0_g1_i1	ID=Xetrov90002664mgName=tbc1d10a]TB10A_HUMANTB10A_HUMANQ	Chr01	131942891	131971479	0.0677	0.1074	1.5862
TRINITY_DN114554_c0_g1_i1	ID=Xetrov90001011mgName=jade1]JADE1_XENLAJADE1_XENLAQ	Chr01	54589520	54633779	0.0803	0.1435	1.7863
TRINITY_DN114616_c3_g1_i5	ID=Xetrov90001087mgName=elovl6]ELOV6_CHICKELOV6_CHICKQ	Chr01	58980391	59028389	0.0175	0.017	0.9715
TRINITY_DN114635_c0_g2_i2	ID=Xetrov90002438mgName=prmt5]ANM5_XENLAANM5_XENLAQ	Chr01	127965063	127974358	0.0308	0.0519	1.6855
TRINITY_DN114649_c3_g7_i1	ID=Xetrov90001400mgName=purg]PURG_HUMANPURG_HUMANQ	Chr01	78613871	78627163	0.0163	0.0276	1.6917
TRINITY_DN114719_c2_g3_i4	ID=Xetrov90000607mgName=rbm47]RBM47_MOUSERBM47_MOUSEQ	Chr01	27323638	27336533	0.0477	0.0514	1.079
TRINITY_DN114725_c3_g4_i2	ID=Xetrov90003163mgName=tctn1]TECT1_HUMANTECT1_HUMANQ	Chr01	154261488	154277912	0.263	0.4072	1.5479
TRINITY_DN114727_c7_g2_i2	ID=Xetrov90000529mgName=dhx15]DHX15_MOUSEDHX15_MOUSEQ	Chr01	21109905	21130123	0.0183	0.0196	1.0734
TRINITY_DN114750_c4_g4_i1	ID=Xetrov90002865mgName=srsf9]SRSF9_MOUSESRSF9_MOUSEQ	Chr01	143204714	143209447	0.0315	0.0474	1.5081
TRINITY_DN114765_c2_g1_i3	ID=Xetrov90003135mgName=psmd9]PSMD9_BOVINPSMD9_BOVINQ	Chr01	153494616	153502276	0.0794	0.1429	1.7996
TRINITY_DN114780_c0_g1_i2	ID=Xetrov90003442mgName=tmem161b-like]T161B_MOUSET161B_MOUSEQ	Chr01	170004600	170024818	0.0466	0.0613	1.3154
TRINITY_DN114833_c3_g2_i3	ID=Xetrov90002648mgName=inpp5j]PI5PA_RATPI5PA_RATQ	Chr01	131649401	131662735	0.1151	0.1474	1.2809
TRINITY_DN114882_c2_g2_i3	ID=Xetrov90002105mgName=nipsnap3a]NPS3A_PONABNPS3A_PONABQ	Chr01	107774264	107789656	0.1211	0.1995	1.647
TRINITY_DN114924_c0_g3_i2	ID=Xetrov90003570mgName=slc38a9]S38A9_XENLAS38A9_XENLAQ	Chr01	178601879	178633628	0.0915	0.1463	1.5985
TRINITY_DN114938_c0_g1_i1	ID=Xetrov90003737mgName=txnl1]TXNL1_MOUSETXNL1_MOUSEQ	Chr01	189343310	189356174	0.0294	0.0379	1.2881
TRINITY_DN115015_c6_g1_i3	ID=Xetrov90002741mgName=wdr36]WDR36_HUMANWDR36_HUMANQ	Chr01	135270707	135291285	0.065	0.1117	1.7179
TRINITY_DN115032_c0_g1_i3	ID=Xetrov90001992mgName=dda1]DDA1_XENLADDA1_XENLAQ	Chr01	101222621	101229591	0.0077	0.0085	1.1143
TRINITY_DN115043_c4_g1_i2	ID=Xetrov90002248mgName=tmem252]TM252_PONABTM252_PONABQ	Chr01	116954467	116955617	0.2439	0.2902	1.1897
TRINITY_DN115092_c0_g2_i1	ID=Xetrov90000946mgName=hhip]HHIP_HUMANHHIP_HUMANQ	Chr01	49491640	49573393	0.0704	0.0751	1.0677
TRINITY_DN115133_c2_g2_i7	ID=Xetrov90003007mgName=sept5]SEPT5_HUMANSEPT5_HUMANQ	Chr01	145941070	145981081	0.0105	0.0151	1.437
TRINITY_DN115187_c4_g1_i2	ID=Xetrov90003096mgName=setd8]SETD8_XENTRSETD8_XENTRQ	Chr01	152467698	152480631	0.1173	0.1835	1.564
TRINITY_DN115203_c0_g1_i4	ID=Xetrov90002701mgName=tbx3]TBX3_HUMANTBX3_HUMANQ	Chr01	133332477	133343118	0.0724	0.0682	0.9417
TRINITY_DN115233_c9_g1_i1	ID=Xetrov90002754mgName=c5orf30]CE030_XENTRCE030_XENTRQ	Chr01	137228297	137239665	0.0763	0.0831	1.0891
TRINITY_DN115246_c0_g1_i2	ID=Xetrov90002213mgName=spata6l]SPA6L_HUMANSPA6L_HUMANQ	Chr01	115095231	115122525	0.1567	0.2738	1.7467
TRINITY_DN115305_c2_g1_i4	ID=Xetrov90001758mgName=dctn6]DCTN6_XENTRDCTN6_XENTRQ	Chr01	90311373	90319167	0.0311	0.041	1.3197
TRINITY_DN115337_c5_g1_i4	ID=Xetrov90000973mgName=ucp1]UCP2_CYPCAUCP2_CYPCAQ	Chr01	51073395	51079790	0.037	0.0561	1.5174
TRINITY_DN115368_c0_g1_i2	ID=Xetrov90002096mgName=slc24a2]NCKX2_HUMANNCKX2_HUMANQ	Chr01	106948246	107047683	0.1031	0.1088	1.0552
TRINITY_DN115438_c5_g1_i1	ID=Xetrov90000609mgName=nsun7]NSUN7_HUMANNSUN7_HUMANQ	Chr01	27448767	27461700	0.2583	0.3507	1.3578
TRINITY_DN115477_c1_g3_i2	ID=Xetrov90000205mgName=Xetrov90000205mg]KV404_HUMANKV404_HUMANQ	Chr01	5466855	5467339	0.2463	0.3633	1.4751
TRINITY_DN115477_c1_g4_i2	ID=Xetrov90000153mgName=Xetrov90000153mg]KV404_HUMANKV404_HUMANQ	Chr01	5145410	5149260	0.3145	0.3119	0.9918
TRINITY_DN115482_c0_g3_i3	ID=Xetrov90001775mgName=mrpl1]RM01_BOVINRM01_BOVINQ	Chr01	91224097	91256608	0.1741	0.3189	1.8312
TRINITY_DN115493_c0_g1_i1	ID=Xetrov90000827mgName=klhl2]KLHL2_HUMANKLHL2_HUMANQ	Chr01	42086166	42130979	0.0195	0.0306	1.5719
TRINITY_DN115496_c1_g1_i3	ID=Xetrov90002923mgName=sirt4]SIR4_MOUSESIR4_MOUSEQ	Chr01	144350512	144358480	0.1009	0.1624	1.6093
TRINITY_DN115580_c1_g1_i2	ID=Xetrov90003328mgName=LOC101732630]TSP4_XENLATSP4_XENLAQ	Chr01	163694682	163720900	0.0484	0.069	1.4257
TRINITY_DN115580_c1_g2_i1	ID=Xetrov90001706mgName=comp]COMP_MOUSECOMP_MOUSEQ	Chr01	87999172	88049416	0.0432	0.0856	1.9827
TRINITY_DN115593_c1_g1_i3	ID=Xetrov90000975mgName=mgat4a]MGT4B_DANREMGT4B_DANREQ	Chr01	51145888	51204217	0.0747	0.1369	1.8314
TRINITY_DN115594_c0_g1_i7	ID=Xetrov90000376mgName=rnf4]RNF4_MOUSERNF4_MOUSEQ	Chr01	11979280	11992871	0.1234	0.2356	1.9096
TRINITY_DN115619_c8_g1_i3	ID=Xetrov90002305mgName=mrps18c]RT18C_BOVINRT18C_BOVINQ	Chr01	121827523	121832513	0.1512	0.228	1.5074
TRINITY_DN115656_c1_g1_i1	ID=Xetrov90003383mgName=tnpo1]TNPO1_HUMANTNPO1_HUMANQ	Chr01	166828267	166868381	0.0158	0.0169	1.0706
TRINITY_DN115761_c6_g2_i3	ID=Xetrov90001839mgName=tstd2]TSTD2_PONABTSTD2_PONABQ	Chr01	95169014	95179286	0.1243	0.1648	1.3258
TRINITY_DN115809_c2_g2_i4	ID=Xetrov90001454mgName=dazap1]DAZP1_XENLADAZP1_XENLAQ	Chr01	80534503	80558087	0.0864	0.0689	0.797
TRINITY_DN115834_c1_g6_i2	ID=Xetrov90000594mgName=Xetrov90000594mg]SIM14_BOVINSIM14_BOVINQ	Chr01	27050817	27060724	0.1173	0.1403	1.1959
TRINITY_DN115876_c2_g3_i2	ID=Xetrov90000655mgName=ociad1]OCAD1_XENTROCAD1_XENTRQ	Chr01	29964939	29997512	0.2039	0.3564	1.7479
TRINITY_DN115896_c0_g1_i1	ID=Xetrov90001900mgName=rnf38]RNF38_HUMANRNF38_HUMANQ	Chr01	97731465	97761270	0.0296	0.0239	0.8089
TRINITY_DN115918_c5_g1_i2	ID=Xetrov90002134mgName=mob3b]MOB3B_MOUSEMOB3B_MOUSEQ	Chr01	110157642	110217006	0.0236	0.0296	1.2539
TRINITY_DN115931_c5_g1_i3	ID=Xetrov90000772mgName=spcs3]SPCS3_HUMANSPCS3_HUMANQ	Chr01	38518783	38529926	0.0163	0.0217	1.3315
TRINITY_DN115952_c6_g1_i2	ID=Xetrov90003157mgName=arpc3]ARPC3_HUMANARPC3_HUMANQ	Chr01	154163060	154172723	0.0255	0.028	1.0981
TRINITY_DN115953_c0_g2_i1	ID=Xetrov90002002mgName=mau2]SCC4_XENLASCC4_XENLAQ	Chr01	101591686	101611466	0.0052	0.0056	1.065
TRINITY_DN116035_c0_g1_i2	ID=Xetrov90001951mgName=med26]MED26_XENLAMED26_XENLAQ	Chr01	100077708	100094773	0.1487	0.1209	0.8133
TRINITY_DN116095_c3_g1_i1	ID=Xetrov90002375mgName=secisbp2]SEBP2_RATSEBP2_RATQ	Chr01	125667448	125684568	0.1601	0.2354	1.4702
TRINITY_DN116115_c6_g1_i2	ID=Xetrov90003614mgName=znf131]ZN131_PONABZN131_PONABQ	Chr01	182108399	182114957	0.0612	0.1026	1.6762
TRINITY_DN116126_c0_g1_i1	ID=Xetrov90001231mgName=LOC100489122]OVCH2_BUFJAOVCH2_BUFJAQ	Chr01	69273876	69319461	0.1573	0.2327	1.4797
TRINITY_DN116192_c3_g1_i1	ID=Xetrov90001362mgName=dnaja1]DNJA1_HUMANDNJA1_HUMANQ	Chr01	75529973	75538878	0.03	0.0447	1.4927
TRINITY_DN116201_c1_g1_i1	ID=Xetrov90002210mgName=ak3]KAD3_BOVINKAD3_BOVINQ	Chr01	115070058	115082766	0.0681	0.0908	1.3343
TRINITY_DN116208_c7_g1_i2	ID=Xetrov90002256mgName=ptar1]PTR1B_XENLAPTR1B_XENLAQ	Chr01	117366486	117397571	0.2345	0.1989	0.848
TRINITY_DN116236_c5_g1_i7	ID=Xetrov90000591mgName=LOC101733414]RL9_MOUSERL9_MOUSEQ	Chr01	27003630	27009225	0.0728	0.0425	0.5842
TRINITY_DN116240_c2_g1_i7	ID=Xetrov90002299mgName=tle4]TLE4_HUMANTLE4_HUMANQ	Chr01	120781693	120870266	0.0151	0.0107	0.7054
TRINITY_DN116307_c1_g1_i3	ID=Xetrov90003761mgName=LOC733459]TSN3_BOVINTSN3_BOVINQ	Chr01	191362246	191379103	0.1266	0.2486	1.9631
TRINITY_DN116315_c4_g4_i1	ID=Xetrov90001206mgName=eif4e]IF4E_XENLAIF4E_XENLAQ	Chr01	65533264	65552204	0.0723	0.0372	0.5142
TRINITY_DN116356_c0_g1_i3	ID=Xetrov90002510mgName=abhd4]ABHD4_HUMANABHD4_HUMANQ	Chr01	128927750	128937745	0.0601	0.0776	1.2916
TRINITY_DN116376_c0_g2_i2	ID=Xetrov90002353mgName=tdgf13]CFC1_CHICKCFC1_CHICKQ	Chr01	124302024	124305443	0.1998	0.3784	1.8942
TRINITY_DN116397_c0_g1_i1	ID=Xetrov90003389mgName=mccc2]MCCB_MOUSEMCCB_MOUSEQ	Chr01	167109246	167145686	0.0291	0.0459	1.5753
TRINITY_DN116453_c10_g1_i1	ID=Xetrov90002414mgName=twsg2]TWS1A_DANRETWS1A_DANREQ	Chr01	127451015	127461197	0.1955	0.2882	1.4741
TRINITY_DN116469_c0_g1_i2	ID=Xetrov90003501mgName=pik3r1-like]P85AA_XENLAP85AA_XENLAQ	Chr01	173932735	173974166	0.0682	0.0725	1.0642
TRINITY_DN116493_c6_g1_i1	ID=Xetrov90000416mgName=krcc1]ZMAT1_XENTRZMAT1_XENTRQ	Chr01	15174033	15195080	0.1225	0.2449	1.9994
TRINITY_DN116549_c3_g1_i4	ID=Xetrov90003723mgName=nedd4l]NED4L_HUMANNED4L_HUMANQ	Chr01	188490844	188679228	0.0235	0.0328	1.3947
TRINITY_DN116608_c0_g1_i2	ID=Xetrov90002609mgName=lpcat4]LPCT4_XENTRLPCT4_XENTRQ	Chr01	130496211	130522280	0.0957	0.101	1.0556
TRINITY_DN116617_c4_g3_i5	ID=Xetrov90000570mgName=klf3]KLF3_MOUSEKLF3_MOUSEQ	Chr01	26186197	26192823	0.1111	0.1049	0.9436
TRINITY_DN116622_c5_g6_i1	ID=Xetrov90001877mgName=dcaf10]DCA10_XENTRDCA10_XENTRQ	Chr01	96541650	96549347	0.0377	0.0518	1.3723
TRINITY_DN116630_c1_g5_i2	ID=Xetrov90002612mgName=emc4]EMC4_XENTREMC4_XENTRQ	Chr01	130581002	130587217	0.0278	0.0427	1.5371
TRINITY_DN116669_c10_g1_i2	ID=Xetrov90002871mgName=cabp1]CABP1_RATCABP1_RATQ	Chr01	143303122	143334125	0.1743	0.1917	1.0995
TRINITY_DN116742_c5_g1_i1	ID=Xetrov90002911mgName=upb1]BUP1_HUMANBUP1_HUMANQ	Chr01	144075898	144087684	0.0652	0.0938	1.4385
TRINITY_DN116759_c4_g1_i1	ID=Xetrov90001614mgName=LOC100493646]CRG3_XENLACRG3_XENLAQ	Chr01	85700838	85703691	0.1324	0.1669	1.2603
TRINITY_DN116812_c9_g1_i5	ID=Xetrov90002021mgName=hsd11b1l]DHI1L_XENTRDHI1L_XENTRQ	Chr01	102161051	102168352	0.109	0.1807	1.6574
TRINITY_DN116869_c7_g1_i2	ID=Xetrov90002751mgName=efna5]EFNA5_MOUSEEFNA5_MOUSEQ	Chr01	136673272	136703746	0.0595	0.0316	0.531
TRINITY_DN116880_c3_g1_i1	ID=Xetrov90002025mgName=ppap2c]PLPP2_BOVINPLPP2_BOVINQ	Chr01	102306498	102322138	0.0456	0.0622	1.3649
TRINITY_DN116895_c1_g3_i1	ID=Xetrov90003034mgName=chfr]CHFR_XENTRCHFR_XENTRQ	Chr01	147102158	147133926	0.1049	0.115	1.0966
TRINITY_DN116897_c0_g1_i3	ID=Xetrov90001380mgName=fnta]FNTA_HUMANFNTA_HUMANQ	Chr01	77054648	77071423	0.0688	0.1143	1.6613
TRINITY_DN116987_c0_g1_i1	ID=Xetrov90001949mgName=tmem38a]TM38A_XENTRTM38A_XENTRQ	Chr01	100044292	100057371	0.0542	0.0628	1.1589
TRINITY_DN117018_c0_g1_i2	ID=Xetrov90001093mgName=pla2g12a]PG12A_MOUSEPG12A_MOUSEQ	Chr01	59214958	59227913	0.1079	0.103	0.9554
TRINITY_DN117027_c1_g3_i1	ID=Xetrov90001909mgName=pcgf3]PCGF3_MOUSEPCGF3_MOUSEQ	Chr01	98517274	98557126	0.0348	0.0345	0.9929
TRINITY_DN117082_c0_g1_i1	ID=Xetrov90001078mgName=LOC101733401-like]RL34_HUMANRL34_HUMANQ	Chr01	58228452	58234280	0.001	0.0008	0.7758
TRINITY_DN117136_c14_g1_i2	ID=Xetrov90003430mgName=hapln1]HPLN1_BOVINHPLN1_BOVINQ	Chr01	168887961	168930621	0.0502	0.0534	1.0633
TRINITY_DN117144_c1_g1_i1	ID=Xetrov90002903mgName=rab36]RAB36_HUMANRAB36_HUMANQ	Chr01	143921007	143934169	0.0809	0.1375	1.6985
TRINITY_DN117170_c0_g2_i2	ID=Xetrov90002652mgName=pole-like]DPOE1_HUMANDPOE1_HUMANQ	Chr01	131735774	131778141	0.0244	0.0454	1.8604
TRINITY_DN117181_c1_g4_i1	ID=Xetrov90003605mgName=mrps30]RT30_BOVINRT30_BOVINQ	Chr01	181453885	181463153	0.1624	0.255	1.5701
TRINITY_DN117312_c0_g1_i2	ID=Xetrov90001526mgName=med11]MED11_XENTRMED11_XENTRQ	Chr01	82744308	82750159	0.033	0.0451	1.3685
TRINITY_DN117326_c1_g2_i1	ID=Xetrov90002284mgName=pcsk5]PCSK5_HUMANPCSK5_HUMANQ	Chr01	119429662	119599722	0.0672	0.0787	1.1706
TRINITY_DN117348_c1_g1_i6	ID=Xetrov90000375mgName=fam193a-like]F193A_HUMANF193A_HUMANQ	Chr01	11919166	11967497	0.0781	0.0888	1.1376
TRINITY_DN117389_c1_g1_i4	ID=Xetrov90002870mgName=pop5-like]POP5_BOVINPOP5_BOVINQ	Chr01	143273044	143279237	0.0933	0.1609	1.7241
TRINITY_DN117412_c8_g1_i3	ID=Xetrov90003424mgName=rps23]RS23_ICTPURS23_ICTPUQ	Chr01	168230814	168249349	0.001	0.0005	0.5052
TRINITY_DN117432_c1_g1_i1	ID=Xetrov90003196mgName=c12orf49]CL049_XENLACL049_XENLAQ	Chr01	156092901	156100413	0.0635	0.0783	1.2337
TRINITY_DN117473_c0_g1_i6	ID=Xetrov90003039mgName=noc4l]NOC4B_XENLANOC4B_XENLAQ	Chr01	147958547	147967825	0.0875	0.1668	1.9052
TRINITY_DN117476_c6_g1_i7	ID=Xetrov90001927mgName=slc5a5]SC5A5_RATSC5A5_RATQ	Chr01	99288971	99325971	0.137	0.1689	1.2331
TRINITY_DN117512_c4_g1_i2	ID=Xetrov90000666mgName=chic2]CHIC2_HUMANCHIC2_HUMANQ	Chr01	30765806	30786799	0.0049	0.0027	0.5419
TRINITY_DN117512_c4_g4_i1	ID=Xetrov90002872mgName=mlec]MLECB_XENLAMLECB_XENLAQ	Chr01	143351524	143362436	0.0727	0.0913	1.2559
TRINITY_DN117514_c0_g1_i1	ID=Xetrov90003341mgName=lhfpl2-like]LHPL2_HUMANLHPL2_HUMANQ	Chr01	164183285	164195271	0.0236	0.0291	1.2328
