gid	gname	chr	start	end	logCPM	logFC.XY43.XX43	logFC.XY43.XYa43	logFC.XYa43.F43	logFC.M43.F43	PV.XY43.XX43	PV.XY43.XYa43	PV.XYa43.F43	PV.M43.F43	FDR.XY43.XX43	FDR.XY43.XYa43	FDR.XYa43.F43	FDR.M43.F43	Tv1_431	Tv1_432	Tv2_431	Tv3_431	Tv5_431	Tv5_432	Tv5_433	Tv5_434	Tv6_431	Tv6_432	Tv6_433
TRINITY_DN112349_c1_g1_i2	ID=Xetrov90003604mgName=hcn1]HCN1_HUMANHCN1_HUMANQ	Chr01	181104515	181104515	1.369970408	0.296995255	-0.368231954	0.665227209	-0.035618349	0.637756034	0.55408714	0.179518129	0.950731452	0.999969	1	0.999972759	0.999992197	0.491176378	1.68800523	2.902926191	0.723523372	1.290526686	1.22385037	1.145304183	1.135436793	1.0749037	0.852874427	0.553353102
TRINITY_DN112472_c0_g1_i1	ID=Xetrov90001119mgName=LOC100493539]EFC14_MOUSEEFC14_MOUSEQ	Chr01	60254920	60254920	0.965054442	1.571176143	0.545573511	1.025602632	1.058374827	0.013412775	0.373526217	0.050217327	0.055287999	0.235526454	1	0.999972759	0.574308894	1.268687016	1.938950156	-1.015141704	1.28879571	-0.738652104	1.415582669	0.388313921	1.728984561	0.964722314	0.294484645	0.335208333
TRINITY_DN112499_c0_g1_i3	ID=Xetrov90003569mgName=ddx4]DDX4_PELLEDDX4_PELLEQ	Chr01	178458618	178458618	5.612637584	-5.664547566	-5.561617974	-0.102929592	-5.61308277	7.87E-05	8.69E-05	0.898676369	6.34E-05	0.010240658	0.022726292	0.999972759	0.014622724	4.807721774	-1.72454691	6.726443791	1.166864904	5.658103234	2.745622229	5.650870404	-0.080620575	7.194944627	6.153924714	6.239591839
TRINITY_DN112533_c0_g3_i1	ID=Xetrov90002898mgName=ywhah]1433F_RAT1433F_RATQ	Chr01	143706404	143706404	5.66153317	0.26276669	0.247821568	0.014945123	0.255294129	0.471341981	0.480885408	0.958221576	0.434657791	0.999969	1	0.999972759	0.999992197	5.644884225	6.033881031	5.444367716	5.676750191	5.745716256	5.604284381	5.870669823	5.639490647	5.743700634	5.398170623	5.325548477
TRINITY_DN112549_c0_g1_i18	ID=Xetrov90003330mgName=mtx3-like]MTX1_HUMANMTX1_HUMANQ	Chr01	163732821	163732821	4.500098781	0.862978612	0.294580925	0.568397687	0.578779769	0.036598381	0.46491115	0.08674362	0.115286354	0.435841654	1	0.999972759	0.79252227	4.443676875	4.905381525	4.176695128	4.913191295	3.382449686	4.893566504	3.34627417	4.426081826	4.975397372	4.512956681	4.516299748
TRINITY_DN112573_c0_g1_i4	ID=Xetrov90002886mgName=drg1]DRG1_XENLADRG1_XENLAQ	Chr01	143548439	143548439	5.701875545	-0.390266974	-0.283973559	-0.106293416	-0.337120267	0.284672274	0.419600497	0.701623474	0.310704374	0.976342938	1	0.999972759	0.999992197	5.609067507	5.428255175	5.712532182	5.421889652	5.621878766	5.613281179	5.927296722	5.647940861	5.933597461	5.797222198	5.893803808
TRINITY_DN112574_c0_g1_i2	ID=Xetrov90003016mgName=comt2]COMT_RATCOMT_RATQ	Chr01	146432864	146432864	3.870744667	-0.326832077	-0.217001674	-0.109830403	-0.271916876	0.478472708	0.62542527	0.754800916	0.516883828	0.999969	1	0.999972759	0.999992197	4.245848446	2.970269573	4.097220587	4.106667349	3.903747471	3.802716739	4.125249869	4.087316766	2.567372841	3.899875704	3.959149067
TRINITY_DN112621_c0_g1_i2	ID=Xetrov90000736mgName=c4orf47]CD047_XENLACD047_XENLAQ	Chr01	35229000	35229000	1.489544076	0.961284525	0.160828535	0.80045599	0.56105653	0.15401468	0.807761295	0.142809611	0.350649426	0.833706292	1	0.999972759	0.999992197	2.423617821	1.508630054	1.559017263	2.123439041	2.070093531	1.290632713	-1.027791508	1.633186573	1.241680039	1.049332883	-0.382098582
TRINITY_DN112701_c0_g1_i1	ID=Xetrov90001299mgName=lsm7]LSM7_HUMANLSM7_HUMANQ	Chr01	73873750	73873750	4.425395366	-0.643943779	-0.402696313	-0.241247466	-0.523320046	0.089588056	0.268796685	0.396352531	0.131190004	0.675810254	1	0.999972759	0.831539512	4.316196565	3.807919513	4.656030071	4.15557375	4.167714353	4.029829855	4.893710847	4.183455933	4.67217177	4.545875739	4.823807562
TRINITY_DN112725_c0_g1_i1	ID=Xetrov90002233mgName=dmrt2]DMRT2_HUMANDMRT2_HUMANQ	Chr01	116303155	116303155	2.899122669	0.154982545	-0.068933088	0.223915634	0.043024728	0.707236496	0.863552109	0.486327055	0.908278412	0.999969	1	0.999972759	0.999992197	3.047033083	3.038003842	3.149966028	2.793149472	2.703888674	2.703351663	2.616972876	3.201358723	2.772062354	3.139891728	2.534082364
TRINITY_DN112741_c0_g1_i4	ID=Xetrov90002742mgName=slc25a46]S246A_XENLAS246A_XENLAQ	Chr01	135394990	135394990	4.80379115	-0.201948714	-0.076029127	-0.125919587	-0.13898892	0.570400659	0.824255544	0.644316364	0.666320724	0.999969	1	0.999972759	0.999992197	4.700409651	4.777463509	4.62968943	4.606210265	4.933394555	4.506203394	4.896447424	4.616598788	5.262189006	4.959061562	4.787692115
TRINITY_DN112776_c0_g1_i1	ID=Xetrov90002933mgName=gstt1-like2]GSTT1_MOUSEGSTT1_MOUSEQ	Chr01	144545279	144545279	0.758914141	-0.99080521	-1.042739542	0.051934332	-1.016772376	0.11801791	0.091835075	0.910354786	0.08467396	0.7554001	0.969780779	0.999972759	0.697641007	1.091246106	-1.171822064	-0.072604986	0.506094959	0.983042169	0.78831723	1.069732773	0.824491115	1.513608967	0.469399323	0.845578454
TRINITY_DN112804_c0_g1_i1	ID=Xetrov90002132mgName=tek]TIE2_BOVINTIE2_BOVINQ	Chr01	110075520	110075520	3.594429119	-0.258853083	-0.156016007	-0.102837076	-0.207434545	0.506946438	0.678100622	0.730054251	0.558159004	0.999969	1	0.999972759	0.999992197	3.731646099	3.281013434	3.278445737	3.55858598	3.522649348	3.620017782	3.769913606	3.996393188	3.119283195	3.656341416	3.776094161
TRINITY_DN112823_c0_g1_i1	ID=Xetrov90001092mgName=cfi]CFAI_HUMANCFAI_HUMANQ	Chr01	59181768	59181768	3.875773468	-1.742756696	-0.74053487	-1.002221826	-1.241645783	0.011296096	0.244303511	0.039317083	0.047672643	0.211920006	1	0.999972759	0.533095664	3.321051428	3.301829302	1.666575041	1.937078262	4.06622909	3.648941604	5.405934878	3.370577272	4.378308977	3.023173657	4.557256858
TRINITY_DN112837_c0_g1_i1	ID=Xetrov90002386mgName=nfil3]NFIL3_XENTRNFIL3_XENTRQ	Chr01	126556004	126556004	4.356168012	-0.149390656	-0.011704196	-0.13768646	-0.080547426	0.665315361	0.971870511	0.603608208	0.796378205	0.999969	1	0.999972759	0.999992197	4.167422762	4.196737955	4.356101574	4.387083426	4.655547752	4.370003739	4.381119909	4.257612674	4.371127812	4.045102414	4.614167442
TRINITY_DN112876_c0_g1_i2	ID=Xetrov90003413mgName=LOC100486206-like]DYR_RATDYR_RATQ	Chr01	167665994	167665994	2.801585646	-0.911946665	-0.719561906	-0.19238476	-0.815754285	0.05658702	0.118898797	0.585309085	0.064419912	0.546560696	1	0.999972759	0.622628397	2.744933748	2.008135856	3.244130529	2.21857205	2.675894021	2.104309635	3.185517186	2.37991329	3.300308638	2.956181596	3.203290359
TRINITY_DN112885_c0_g1_i2	ID=Xetrov90000270mgName=spef1]SPEF1_XENLASPEF1_XENLAQ	Chr01	9437248	9437248	0.638154888	-0.630876871	-1.040943959	0.410067088	-0.835910415	0.315733481	0.092548552	0.376423701	0.153139014	0.990057527	0.972586796	0.999972759	0.87124088	1.052980215	0.518765243	1.472736382	-1.011107344	0.912818617	0.590470273	0.324719939	0.639639749	0.621654004	0.852874427	-0.306667485
TRINITY_DN112919_c0_g1_i2	ID=Xetrov90002441mgName=psmb5]PSB5_PONABPSB5_PONABQ	Chr01	128036731	128036731	6.539458953	-0.223778221	0.005386512	-0.229164733	-0.109195855	0.576986122	0.988809251	0.455652008	0.763055254	0.999969	1	0.999972759	0.999992197	6.522271038	6.287131487	6.324084511	6.607624735	6.321632233	6.648547662	6.883354532	6.639289401	6.031360828	6.707488384	6.749605445
TRINITY_DN112921_c0_g1_i1	ID=Xetrov90002718mgName=LOC100494784]ZMYM1_HUMANZMYM1_HUMANQ	Chr01	133867919	133867919	3.657797869	-0.28222142	-0.053954838	-0.228266582	-0.168088129	0.427503344	0.87425584	0.399900081	0.601559596	0.999969	1	0.999972759	0.999992197	3.676080697	3.559773097	3.457593357	3.49244023	3.692947548	3.536491089	3.836976329	3.535326426	3.68323299	3.8159971	3.876603834
TRINITY_DN113047_c0_g1_i4	ID=Xetrov90001491mgName=lppr3]PLPR3_RATPLPR3_RATQ	Chr01	81892404	81892404	4.68476112	0.026980555	0.157907402	-0.130926847	0.092443978	0.93573951	0.622980649	0.613130547	0.75856738	0.999969	1	0.999972759	0.999992197	4.522806799	4.797145002	4.510240878	4.731572581	4.772520367	4.742223776	4.73765103	4.42429415	4.797994651	4.609542672	4.821707967
TRINITY_DN113072_c0_g1_i1	ID=Xetrov90002036mgName=igfbpl1]IBPL1_BOVINIBPL1_BOVINQ	Chr01	102887053	102887053	2.798316227	-0.213860728	0.142970668	-0.356831396	-0.03544503	0.619094918	0.727379128	0.278572992	0.927022509	0.999969	1	0.999972759	0.999992197	2.966976242	2.338731934	2.549526553	3.106763333	2.64734538	2.678629087	3.102628352	2.288535541	2.622843984	3.139891728	3.017660387
TRINITY_DN113126_c0_g1_i5	ID=Xetrov90001445mgName=LOC100486858]CTSL2_XENTRCTSL2_XENTRQ	Chr01	80401669	80401669	0.422628265	-5.037388908	-4.399735971	-0.637652936	-4.718562439	0.000105314	0.000466083	0.367594665	0.000160812	0.011734417	0.066944694	0.999972759	0.025637748	-0.23802298	-3.896495502	1.044575943	-2.589419511	1.253122485	-2.100733003	0.669997841	-2.32008893	1.650399522	0.523289201	1.343887341
TRINITY_DN113187_c0_g1_i1	ID=Xetrov90002641mgName=aplnr]APJ_XENTRAPJ_XENTRQ	Chr01	131383517	131383517	4.388996066	-0.225434777	0.009782659	-0.235217436	-0.107826059	0.56134723	0.978995432	0.42825165	0.758326946	0.999969	1	0.999972759	0.999992197	4.108007353	4.215143402	4.128127049	4.393893586	4.749200753	4.187094607	4.589944889	4.982462385	3.781298725	4.427214769	4.325000645
TRINITY_DN113268_c0_g1_i1	ID=Xetrov90003180mgName=erp29]ERP29_BOVINERP29_BOVINQ	Chr01	155038161	155038161	4.032877632	-0.111898689	-0.024615271	-0.087283418	-0.06825698	0.752012037	0.94246607	0.748626398	0.831244767	0.999969	1	0.999972759	0.999992197	4.211517794	4.147755026	4.232460092	3.793030181	4.180223815	3.750294571	4.248177194	3.795308739	3.968991434	3.959731782	3.951487983
TRINITY_DN113301_c0_g1_i1	ID=Xetrov90000512mgName=tada2b]TAD2B_XENLATAD2B_XENLAQ	Chr01	20365262	20365262	1.356585095	-1.966797561	-1.88570657	-0.08109099	-1.926252066	0.012298472	0.01398149	0.880747892	0.009533579	0.224156748	0.415238944	0.999972759	0.209785537	-0.059730585	-0.557868214	2.817989093	-0.0616268	1.326985579	0.361112707	1.458446234	0.24518196	1.929946732	1.782262666	1.784272925
TRINITY_DN113304_c0_g1_i3	ID=Xetrov90003496mgName=ccnb1]CCNB1_XENLACCNB1_XENLAQ	Chr01	173679416	173679416	4.353926111	-9.215020038	-9.111234688	-0.103785349	-9.163127363	8.94E-07	9.74E-07	0.904306049	7.35E-07	0.001494635	0.002259839	0.999972759	0.00141107	3.731646099	-3.129889089	5.908765562	-3.319765287	4.58579843	0.590470273	4.357480894	-2.765988505	5.516852997	5.18484581	4.521483427
TRINITY_DN113310_c0_g1_i1	ID=Xetrov90000713mgName=gtf2e12]T2EA_PONABT2EA_PONABQ	Chr01	33481882	33481882	3.150747453	-4.668176534	-4.706449889	0.038273354	-4.687313212	6.57E-05	5.11E-05	0.955693277	4.09E-05	0.00970382	0.016478022	0.999972759	0.011101582	2.408543141	-1.026353856	4.356101574	-1.110404977	3.106491671	0.480344565	3.024725743	-0.347539855	4.718176257	3.483605669	3.848004775
TRINITY_DN113378_c0_g1_i2	ID=Xetrov90000775mgName=spata4-like]SPAT4_PANTRSPAT4_PANTRQ	Chr01	38573353	38573353	1.21699595	0.380316863	-0.094985063	0.475301926	0.1426659	0.472167605	0.853672427	0.25389479	0.764939498	0.999969	1	0.999972759	0.999992197	1.234901918	0.855543388	1.442790012	1.618362873	1.431139966	1.00267409	0.115161978	1.391102865	1.742321211	1.316803529	0.426460928
TRINITY_DN113380_c0_g1_i1	ID=Xetrov90002939mgName=Xetrov90002939mg]GTR11_HUMANGTR11_HUMANQ	Chr01	144645843	144645843	2.342573961	0.383209766	0.510091968	-0.126882203	0.446650867	0.40543343	0.246924077	0.725624225	0.274794605	0.999969	1	0.999972759	0.999992197	2.009600025	2.890062567	2.513965058	2.479841268	2.503444885	1.851315395	1.599474954	2.598588008	1.786175137	2.297227332	2.670997889
TRINITY_DN113392_c2_g2_i1	ID=Xetrov90002206mgName=plgrkt]PLRKT_RATPLRKT_RATQ	Chr01	114840949	114840949	4.52127025	0.406545754	0.290307099	0.116238655	0.348426427	0.231014367	0.375777655	0.663456904	0.250802692	0.935744072	1	0.999972759	0.992750399	4.604451282	4.811731899	4.804708658	4.773954097	4.214684036	4.39677678	4.252455783	4.349024137	4.301062504	4.489458094	4.564808535
TRINITY_DN113402_c0_g1_i1	ID=Xetrov90002658mgName=zp32]ZP3_FELCAZP3_FELCAQ	Chr01	131851113	131851113	5.231490119	-6.292622592	-6.409826271	0.117203679	-6.351224431	3.63E-05	2.59E-05	0.887726977	2.37E-05	0.007420121	0.010661796	0.999972759	0.008040415	4.577746559	-0.557868214	6.866968266	-0.83092725	5.42885962	1.274224699	5.278515335	-1.184927674	6.547993661	5.761231656	5.275802219
TRINITY_DN113491_c0_g1_i1	ID=Xetrov90000511mgName=grpel1]GRPE1_BOVINGRPE1_BOVINQ	Chr01	20357492	20357492	4.869220737	-0.4907692	-0.024115058	-0.466654142	-0.257442129	0.194499758	0.946408926	0.10244981	0.450854175	0.898198337	1	0.999972759	0.999992197	4.766932375	4.478527687	4.62968943	4.8235576	4.85441833	4.960471507	5.281658738	4.835515433	4.092022693	4.961503604	5.432608638
TRINITY_DN113503_c0_g2_i3	ID=Xetrov90003565mgName=ankrd55]ANR55_HUMANANR55_HUMANQ	Chr01	178335970	178335970	1.130047941	-0.047573181	-0.174721809	0.127148628	-0.111147495	0.91920059	0.699955933	0.723470624	0.793926239	0.999969	1	0.999972759	0.999992197	1.013671645	1.128393582	1.265955748	0.937510037	1.028028033	1.400543053	0.989982887	0.988325098	1.288172079	1.316803529	0.972127543
TRINITY_DN113512_c0_g1_i2	ID=Xetrov90000645mgName=nipal1]NIPA3_MOUSENIPA3_MOUSEQ	Chr01	29602560	29602560	2.373252885	-0.064700658	-0.156834987	0.092134329	-0.110767822	0.884949531	0.717453225	0.788951947	0.785045838	0.999969	1	0.999972759	0.999992197	2.53885962	2.607516196	2.492199655	1.860480535	2.037463085	2.456680447	2.160142368	2.465846472	2.188737601	2.080685838	2.903179664
TRINITY_DN113516_c0_g1_i1	ID=Xetrov90003000mgName=cdc45-like]CDC45_XENLACDC45_XENLAQ	Chr01	145780872	145780872	3.467693503	-1.648326143	-1.365987879	-0.282338264	-1.507157011	0.000554771	0.003000932	0.402613929	0.000728052	0.026607251	0.209416247	0.999972759	0.05702131	3.132086588	2.167843028	4.146822476	2.155852085	3.347382697	2.803938028	3.802376244	3.11976144	3.903303651	3.954837541	3.996855881
TRINITY_DN113585_c0_g1_i1	ID=Xetrov90000451mgName=qdpr]DHPR_BOVINDHPR_BOVINQ	Chr01	16477747	16477747	4.569042816	0.092553526	0.169128176	-0.07657465	0.130840851	0.804993349	0.638964595	0.792461079	0.697672439	0.999969	1	0.999972759	0.999992197	4.830522461	4.779938429	4.296651753	4.568583013	4.147470823	4.659360425	4.978804823	4.576919182	4.061119282	4.320917625	4.741793375
TRINITY_DN113599_c0_g1_i1	ID=Xetrov90000497mgName=Xetrov90000497mg]CYTL1_HUMANCYTL1_HUMANQ	Chr01	18982421	18982421	3.594142961	-0.873855475	-1.099540765	0.225685289	-0.98669812	0.206047628	0.106940681	0.661372098	0.126967567	0.911312014	1	0.999972759	0.822953049	2.51090064	1.769968318	3.498198384	3.302834614	3.542164241	4.942412224	4.265215938	4.283481584	1.859851137	3.215498081	3.061024643
TRINITY_DN113647_c0_g1_i1	ID=Xetrov90001842mgName=foxe1]FOXE1_XENLAFOXE1_XENLAQ	Chr01	95325677	95325677	0.543168759	-1.515377841	-0.880870008	-0.634507833	-1.198123925	0.04725625	0.225919778	0.238321446	0.089410389	0.497801212	1	0.999972759	0.713990899	0.241860805	-0.28529806	-1.015141704	-0.596903296	-0.34535046	0.692782616	2.123237926	0.735024016	0.645659031	0.355176606	0.593285926
TRINITY_DN113659_c0_g1_i1	ID=Xetrov90003713mgName=cplx4]CPLX4_HUMANCPLX4_HUMANQ	Chr01	188143676	188143676	2.983284472	0.679778404	0.301366997	0.378411407	0.490572701	0.121126317	0.478980473	0.278429528	0.209601588	0.764813711	1	0.999972759	0.950801454	2.744933748	3.621791374	3.126610007	3.003684059	3.212603241	2.739658876	2.402720011	2.864238436	3.562333833	2.327834813	2.544304836
TRINITY_DN113684_c0_g2_i4	ID=Xetrov90001494mgName=palm]PALM_CHICKPALM_CHICKQ	Chr01	81998606	81998606	5.342869244	0.174019704	0.021165069	0.152854635	0.097592386	0.623459162	0.950956457	0.580740552	0.760436348	0.999969	1	0.999972759	0.999992197	5.329855596	5.559372664	5.397325052	5.252385882	5.589418628	5.310473522	5.216356589	5.248021047	5.642953092	5.039856109	5.039702237
