gid	gname	chr	start	end	logCPM	logFC.XY46.XXm46	PV.XY46.XXm46	FDR.XY46.XXm46	Tv1_463	Tv2_461	Tv2_462	Tv2_464
TRINITY_DN113047_c0_g1_i4	ID=Xetrov90001491mgName=lppr3]PLPR3_RATPLPR3_RATQ	Chr01	81892404	81911337	1.738316085	-0.580839706	0.364212132	0.999945023	0.521085945	1.548036648	2.144903258	2.190614129
TRINITY_DN113072_c0_g1_i1	ID=Xetrov90002036mgName=igfbpl1]IBPL1_BOVINIBPL1_BOVINQ	Chr01	102887053	102902247	3.079135649	0.282192615	0.610020864	0.999945023	3.333781891	3.434579408	2.863947557	2.485643267
TRINITY_DN113187_c0_g1_i1	ID=Xetrov90002641mgName=aplnr]APJ_XENTRAPJ_XENTRQ	Chr01	131383517	131385796	3.758734623	0.487540412	0.374048812	0.999945023	4.313302029	3.818829527	3.380205487	3.284545266
TRINITY_DN113268_c0_g1_i1	ID=Xetrov90003180mgName=erp29]ERP29_BOVINERP29_BOVINQ	Chr01	155038161	155050555	4.179970878	-0.072929205	0.881427844	0.999945023	4.449797762	4.157124249	4.234166081	3.806099557
TRINITY_DN113378_c0_g1_i2	ID=Xetrov90000775mgName=spata4-like]SPAT4_PANTRSPAT4_PANTRQ	Chr01	38573353	38580561	1.713352984	-0.334901615	0.55170535	0.999945023	1.174430487	1.985133821	1.953497024	1.582328031
TRINITY_DN113380_c0_g1_i1	ID=Xetrov90002939mgName=Xetrov90002939mg]GTR11_HUMANGTR11_HUMANQ	Chr01	144645843	144659541	3.220758011	1.607346179	0.067648348	0.999945023	4.301322318	3.503259519	1.890746703	1.337269755
TRINITY_DN113392_c2_g2_i1	ID=Xetrov90002206mgName=plgrkt]PLRKT_RATPLRKT_RATQ	Chr01	114840949	114877993	4.674189021	-0.119366186	0.79594742	0.999945023	4.832655202	4.632924489	4.762593818	4.437834041
TRINITY_DN113491_c0_g1_i1	ID=Xetrov90000511mgName=grpel1]GRPE1_BOVINGRPE1_BOVINQ	Chr01	20357492	20363071	4.173560861	0.228946741	0.662126329	0.999945023	4.659531382	4.138052673	3.99906931	3.735472101
TRINITY_DN113512_c0_g1_i2	ID=Xetrov90000645mgName=nipal1]NIPA3_MOUSENIPA3_MOUSEQ	Chr01	29602560	29618240	1.955863993	0.189032094	0.746531773	0.999945023	2.364708831	1.912169911	1.813912388	1.629832006
TRINITY_DN113516_c0_g1_i1	ID=Xetrov90003000mgName=cdc45-like]CDC45_XENLACDC45_XENLAQ	Chr01	145780872	145797201	2.322633975	0.305854343	0.580358702	0.999945023	2.427779839	2.558740496	2.090099676	2.158580966
TRINITY_DN113585_c0_g1_i1	ID=Xetrov90000451mgName=qdpr]DHPR_BOVINDHPR_BOVINQ	Chr01	16477747	16488129	5.811876478	1.143796488	0.061845541	0.999945023	6.708008481	5.626228141	4.881664651	5.368792786
TRINITY_DN113599_c0_g1_i1	ID=Xetrov90000497mgName=Xetrov90000497mg]CYTL1_HUMANCYTL1_HUMANQ	Chr01	18982421	18985097	1.141781369	-0.239760929	0.786633088	0.999945023	-1.51460803	1.934449138	1.305613053	1.065118239
TRINITY_DN113659_c0_g1_i1	ID=Xetrov90003713mgName=cplx4]CPLX4_HUMANCPLX4_HUMANQ	Chr01	188143676	188150393	2.163452435	-0.273140196	0.64895636	0.999945023	1.256139955	2.342525436	2.360920742	2.406022773
TRINITY_DN113684_c0_g2_i4	ID=Xetrov90001494mgName=palm]PALM_CHICKPALM_CHICKQ	Chr01	81998606	82009865	3.513663452	-0.015070669	0.975681921	0.999945023	3.104822731	3.617825095	3.52496952	3.731848313
TRINITY_DN113742_c2_g1_i7	ID=Xetrov90001329mgName=c19orf10]MYDGF_HUMANMYDGF_HUMANQ	Chr01	74713978	74719178	4.424822296	0.082046683	0.86318099	0.999945023	4.668885661	4.481018441	4.363033574	4.13447976
TRINITY_DN113752_c0_g1_i3	ID=Xetrov90001372mgName=prdm8]PRDM8_HUMANPRDM8_HUMANQ	Chr01	76503565	76508518	1.500406654	-0.148401025	0.796778349	0.999945023	0.922469229	1.538371566	1.608272964	1.791741828
TRINITY_DN113783_c5_g3_i2	ID=Xetrov90000660mgName=rasl11b]RSLBB_XENLARSLBB_XENLAQ	Chr01	30238664	30241844	5.115519993	-0.385957618	0.40507521	0.999945023	4.711150951	5.045755178	5.394501738	5.224110349
TRINITY_DN113865_c7_g1_i3	ID=Xetrov90001865mgName=hsdl2]HSDL2_XENTRHSDL2_XENTRQ	Chr01	96084504	96114740	6.171389285	-0.001264684	0.997968983	0.999945023	6.353923334	6.363018223	6.172357454	5.701734292
TRINITY_DN113876_c0_g1_i3	ID=Xetrov90003080mgName=ccdc92]CCD92_HUMANCCD92_HUMANQ	Chr01	152187591	152200503	1.77209818	-0.148400816	0.803684406	0.999945023	0.995663103	2.101284418	1.880017742	1.87295176
TRINITY_DN113927_c0_g1_i1	ID=Xetrov90003017mgName=LOC100135405]COMT_RATCOMT_RATQ	Chr01	146451221	146461209	3.146623914	-0.05732261	0.91861671	0.999945023	3.664486373	2.500199218	3.189173623	3.001201983
TRINITY_DN113969_c4_g2_i2	ID=Xetrov90002894mgName=pisd-like1]PISD_PONABPISD_PONABQ	Chr01	143615120	143623261	3.725313762	-0.096828353	0.839627217	0.999945023	3.683071141	3.864023705	3.797175619	3.533811922
TRINITY_DN113981_c0_g2_i1	ID=Xetrov90001611mgName=LOC100493989]PRAM_HUMANPRAM_HUMANQ	Chr01	85597755	85651863	1.965752104	-0.209165171	0.716004822	0.999945023	1.796432276	1.538371566	2.117761679	2.302335052
TRINITY_DN113992_c3_g1_i1	ID=Xetrov90001289mgName=polr2b]RPB2_HUMANRPB2_HUMANQ	Chr01	73166937	73229484	5.677773259	0.060763652	0.89652529	0.999945023	5.698742912	5.775618703	5.632030873	5.598065618
TRINITY_DN114031_c0_g1_i3	ID=Xetrov90003428mgName=xrcc4]XRCC4_HUMANXRCC4_HUMANQ	Chr01	168535733	168688056	2.245376357	0.330366465	0.554074915	0.999945023	2.570368073	2.23892558	1.993863802	2.114732738
TRINITY_DN114080_c2_g1_i5	ID=Xetrov90001732mgName=hsd17b11]DHB11_PONABDHB11_PONABQ	Chr01	88820066	88830064	2.424591732	0.105609391	0.855809353	0.999945023	2.757367252	2.605773317	2.345405072	1.819322863
TRINITY_DN114107_c0_g1_i1	ID=Xetrov90002361mgName=LOC100487003]RABEK_CHICKRABEK_CHICKQ	Chr01	125324459	125349665	1.879711597	-1.113514605	0.106589966	0.999945023	-0.036949801	2.190380008	2.61496607	1.582328031
TRINITY_DN114206_c0_g1_i6	ID=Xetrov90002403mgName=rnf31]RNF31_MOUSERNF31_MOUSEQ	Chr01	127167623	127201282	3.64343813	0.033376509	0.945265204	0.999945023	3.630418298	3.4527017	3.618301014	3.846873818
TRINITY_DN114351_c0_g5_i1	ID=Xetrov90000782mgName=hand2]HAND2_XENLAHAND2_XENLAQ	Chr01	39412802	39417069	1.750784661	0.1226578	0.826946884	0.999945023	1.963859872	1.874255816	1.659361629	1.447427157
TRINITY_DN114374_c0_g1_i2	ID=Xetrov90003221mgName=hspb8]HSPB8_PONABHSPB8_PONABQ	Chr01	157247053	157271621	5.897229132	0.131042266	0.786049728	0.999945023	6.125685279	6.02437658	5.797956724	5.580039434
TRINITY_DN114384_c3_g3_i1	ID=Xetrov90002716mgName=ficd]FICD_XENTRFICD_XENTRQ	Chr01	133833076	133837520	1.969393805	0.120083176	0.856209067	0.999945023	2.663155751	1.795300835	1.880017742	1.132632233
TRINITY_DN114407_c3_g3_i4	ID=Xetrov90000754mgName=enpp6]ENPP6_XENLAENPP6_XENLAQ	Chr01	35674507	35689357	1.794803251	0.281725046	0.649991996	0.999945023	2.346170237	1.851019688	1.582033784	1.132632233
TRINITY_DN114502_c4_g3_i3	ID=Xetrov90002783mgName=kctd10]BACD3_HUMANBACD3_HUMANQ	Chr01	138303847	138316104	4.129795041	0.058788374	0.902419899	0.999945023	3.87956831	4.226477986	4.085661619	4.292886364
TRINITY_DN114514_c0_g1_i1	ID=Xetrov90002264mgName=abhd17b]AB17B_XENTRAB17B_XENTRQ	Chr01	118177523	118201070	2.596761076	0.073371899	0.890082729	0.999945023	2.521635946	2.775816902	2.541975874	2.528049048
TRINITY_DN114517_c0_g1_i2	ID=Xetrov90001031mgName=spata5-like]SPAT5_MOUSESPAT5_MOUSEQ	Chr01	56387734	56461968	2.45000676	-0.115652552	0.829468757	0.999945023	2.102861064	2.596488617	2.535153575	2.511236012
TRINITY_DN114546_c0_g1_i2	ID=Xetrov90003305mgName=tnfaip8]TFIP8_XENLATFIP8_XENLAQ	Chr01	162017162	162044442	4.326322278	0.1191183	0.797895895	0.999945023	4.31568608	4.276752772	4.236270767	4.466463457
TRINITY_DN114549_c0_g1_i1	ID=Xetrov90002664mgName=tbc1d10a]TB10A_HUMANTB10A_HUMANQ	Chr01	131942891	131971479	5.491445245	0.232239253	0.619111408	0.999945023	5.551768874	5.578689908	5.314087328	5.506654936
TRINITY_DN114554_c0_g1_i1	ID=Xetrov90001011mgName=jade1]JADE1_XENLAJADE1_XENLAQ	Chr01	54589520	54633779	2.753877813	0.04377784	0.932652701	0.999945023	2.819163977	2.454679669	2.720971441	2.976915473
TRINITY_DN114616_c3_g1_i5	ID=Xetrov90001087mgName=elovl6]ELOV6_CHICKELOV6_CHICKQ	Chr01	58980391	59028389	2.036628162	-0.233763681	0.672194524	0.999945023	1.726482935	2.202670401	2.206315761	1.949832935
TRINITY_DN114633_c4_g1_i2	ID=Xetrov90001314mgName=dapk3]DAPK3_HUMANDAPK3_HUMANQ	Chr01	74262644	74273325	3.80749726	-0.152645255	0.74957981	0.999945023	3.827058453	3.856264856	3.92009801	3.606851091
TRINITY_DN114635_c0_g2_i2	ID=Xetrov90002438mgName=prmt5]ANM5_XENLAANM5_XENLAQ	Chr01	127965063	127974358	4.330373742	0.0084997	0.985371796	0.999945023	4.488349338	4.285445745	4.323984978	4.209355903
TRINITY_DN114719_c2_g3_i4	ID=Xetrov90000607mgName=rbm47]RBM47_MOUSERBM47_MOUSEQ	Chr01	27323638	27336533	0.513290024	-0.596543242	0.258664008	0.999945023	0.677562857	0.293426481	0.922128128	-0.014980128
TRINITY_DN114725_c3_g1_i10	ID=Xetrov90003165mgName=hvcn1]HVCN1_XENTRHVCN1_XENTRQ	Chr01	154285507	154304195	5.35335698	0.805558613	0.111927652	0.999945023	5.668284624	5.681060937	4.712070376	5.135003656
TRINITY_DN114725_c3_g4_i2	ID=Xetrov90003163mgName=tctn1]TECT1_HUMANTECT1_HUMANQ	Chr01	154261488	154277912	1.377936785	-0.109303198	0.853269537	0.999945023	1.065322164	0.99059739	1.457667493	1.846386489
TRINITY_DN114727_c7_g2_i2	ID=Xetrov90000529mgName=dhx15]DHX15_MOUSEDHX15_MOUSEQ	Chr01	21109905	21130123	4.56753714	0.102396899	0.825222512	0.999945023	4.596223631	4.458133566	4.490173902	4.71245534
TRINITY_DN114750_c4_g4_i1	ID=Xetrov90002865mgName=srsf9]SRSF9_MOUSESRSF9_MOUSEQ	Chr01	143204714	143209447	5.639022658	-0.012950808	0.977692647	0.999945023	5.695085064	5.651105058	5.648719095	5.557697101
TRINITY_DN114765_c2_g1_i3	ID=Xetrov90003135mgName=psmd9]PSMD9_BOVINPSMD9_BOVINQ	Chr01	153494616	153502276	4.59630142	0.096763741	0.833661221	0.999945023	4.685572023	4.635193289	4.523301963	4.534606291
TRINITY_DN114780_c0_g1_i2	ID=Xetrov90003442mgName=tmem161b-like]T161B_MOUSET161B_MOUSEQ	Chr01	170004600	170024818	1.992605079	-0.259388006	0.658243951	0.999945023	2.401086308	1.745766861	2.180315552	1.464995894
TRINITY_DN114833_c3_g2_i3	ID=Xetrov90002648mgName=inpp5j]PI5PA_RATPI5PA_RATQ	Chr01	131649401	131662735	1.028826159	0.200986506	0.731429023	0.999945023	1.476702773	0.99059739	0.879672867	0.639429411
TRINITY_DN114867_c0_g1_i3	ID=Xetrov90001780mgName=cldn23]CLD23_MOUSECLD23_MOUSEQ	Chr01	91515319	91516173	1.483058582	-0.486094612	0.385961538	0.999945023	1.526950017	0.841378564	1.825142442	1.582328031
TRINITY_DN114882_c2_g2_i3	ID=Xetrov90002105mgName=nipsnap3a]NPS3A_PONABNPS3A_PONABQ	Chr01	107774264	107789656	5.647156466	-0.052258146	0.913143232	0.999945023	5.8187343	5.739696139	5.686153931	5.288430307
TRINITY_DN114891_c0_g2_i1	ID=Xetrov90000440mgName=nop14]NOP14_HUMANNOP14_HUMANQ	Chr01	16332469	16351556	3.562045171	-0.153769795	0.743757995	0.999945023	3.571787043	3.468055944	3.6752609	3.525463408
TRINITY_DN114924_c0_g3_i2	ID=Xetrov90003570mgName=slc38a9]S38A9_XENLAS38A9_XENLAQ	Chr01	178601879	178633628	2.136916769	0.190476787	0.747216315	0.999945023	2.102861064	1.685742135	1.993863802	2.617173534
TRINITY_DN114938_c0_g1_i1	ID=Xetrov90003737mgName=txnl1]TXNL1_MOUSETXNL1_MOUSEQ	Chr01	189343310	189356174	5.507605501	0.049075136	0.916415863	0.999945023	5.684977898	5.444116771	5.470669586	5.414719763
TRINITY_DN115015_c6_g1_i3	ID=Xetrov90002741mgName=wdr36]WDR36_HUMANWDR36_HUMANQ	Chr01	135270707	135291285	3.785588673	0.030829947	0.948661401	0.999945023	3.889204633	3.856264856	3.762547058	3.618672709
TRINITY_DN115032_c0_g1_i3	ID=Xetrov90001992mgName=dda1]DDA1_XENLADDA1_XENLAQ	Chr01	101222621	101229591	5.666349305	0.333565777	0.482500868	0.999945023	5.747237067	5.652785692	5.409500964	5.823352915
TRINITY_DN115043_c4_g1_i2	ID=Xetrov90002248mgName=tmem252]TM252_PONABTM252_PONABQ	Chr01	116954467	116955617	1.485663125	0.284368446	0.657071773	0.999945023	1.888991508	0.657174115	1.273179905	1.832918136
TRINITY_DN115092_c0_g1_i7	ID=Xetrov90000521mgName=Xetrov90000521mg]SPRR1_RABITSPRR1_RABITQ	Chr01	20685009	20686688	0.243356363	-0.217033874	0.674102283	0.999945023	0.010913936	0.3825522	0.398273092	0.124213128
TRINITY_DN115092_c0_g2_i1	ID=Xetrov90000946mgName=hhip]HHIP_HUMANHHIP_HUMANQ	Chr01	49491640	49573393	3.551277786	0.299737454	0.55045403	0.999945023	3.310064092	3.58768426	3.321941066	3.902733221
TRINITY_DN115127_c7_g1_i8	ID=Xetrov90001461mgName=c19orf24]CS024_HUMANCS024_HUMANQ	Chr01	80980659	80983897	3.21823614	0.085775014	0.86426955	0.999945023	3.261425678	3.44754709	3.153980758	2.964617162
TRINITY_DN115133_c2_g2_i7	ID=Xetrov90003007mgName=sept5]SEPT5_HUMANSEPT5_HUMANQ	Chr01	145941070	145981081	2.6792338	-0.192198814	0.708721212	0.999945023	2.410039142	2.539489476	2.819718129	2.89503603
TRINITY_DN115187_c4_g1_i2	ID=Xetrov90003096mgName=setd8]SETD8_XENTRSETD8_XENTRQ	Chr01	152467698	152480631	1.160552022	-0.588179234	0.26901078	0.999945023	1.131772159	0.872482605	1.568733036	0.969884851
TRINITY_DN115203_c0_g1_i4	ID=Xetrov90002701mgName=tbx3]TBX3_HUMANTBX3_HUMANQ	Chr01	133332477	133343118	3.543734759	0.00673265	0.988663093	0.999945023	3.46844072	3.520544331	3.538677982	3.642029251
TRINITY_DN115233_c9_g1_i1	ID=Xetrov90002754mgName=c5orf30]CE030_XENTRCE030_XENTRQ	Chr01	137228297	137239665	0.60417222	-0.263691721	0.624738997	0.999945023	0.10212578	0.506697119	0.7908198	0.894093223
TRINITY_DN115246_c0_g1_i2	ID=Xetrov90002213mgName=spata6l]SPA6L_HUMANSPA6L_HUMANQ	Chr01	115095231	115122525	1.28071612	-0.580073884	0.33913584	0.999945023	0.345549089	1.659232525	1.684243166	1.018287206
TRINITY_DN115302_c0_g1_i2	ID=Xetrov90000428mgName=lrpap1]AMRP_RATAMRP_RATQ	Chr01	15735464	15756685	5.529878723	-0.192166753	0.679721525	0.999945023	5.270138468	5.681060937	5.671451912	5.457036507
TRINITY_DN115305_c2_g1_i4	ID=Xetrov90001758mgName=dctn6]DCTN6_XENTRDCTN6_XENTRQ	Chr01	90311373	90319167	4.886610591	0.30576459	0.513723318	0.999945023	5.114531169	4.864246779	4.651850789	4.878981203
TRINITY_DN115337_c5_g1_i4	ID=Xetrov90000973mgName=ucp1]UCP2_CYPCAUCP2_CYPCAQ	Chr01	51073395	51079790	2.028156862	1.805426716	0.008305076	0.999945023	2.570368073	1.623111195	0.541321899	2.561098483
TRINITY_DN115344_c9_g1_i2	ID=Xetrov90003475mgName=glrx]GLRX1_HUMANGLRX1_HUMANQ	Chr01	172667785	172676993	5.068691691	0.323689575	0.521072935	0.999945023	5.267677883	5.409410835	4.819852955	4.640835216
TRINITY_DN115368_c0_g1_i2	ID=Xetrov90002096mgName=slc24a2]NCKX2_HUMANNCKX2_HUMANQ	Chr01	106948246	107047683	3.403146992	-0.226834448	0.682045629	0.999945023	2.521635946	3.503259519	3.569053906	3.739086809
TRINITY_DN115423_c5_g2_i12	ID=Xetrov90003012mgName=gnb1l]GNB1L_MOUSEGNB1L_MOUSEQ	Chr01	146232743	146248553	1.441048785	-0.022807851	0.9667268	0.999945023	1.559501537	1.330083487	1.457667493	1.411634513
TRINITY_DN115438_c5_g1_i1	ID=Xetrov90000609mgName=nsun7]NSUN7_HUMANNSUN7_HUMANQ	Chr01	27448767	27461700	1.663204229	-0.225963872	0.74975268	0.999945023	0.057240576	2.04095931	1.825142442	1.974575737
TRINITY_DN115448_c3_g1_i5	ID=Xetrov90003040mgName=LOC548788]R113A_HUMANR113A_HUMANQ	Chr01	147967898	147977165	3.974328796	0.163574492	0.748470131	0.999945023	3.599445067	3.963073174	3.850358961	4.37417054
TRINITY_DN115482_c0_g3_i3	ID=Xetrov90001775mgName=mrpl1]RM01_BOVINRM01_BOVINQ	Chr01	91224097	91256608	4.832076278	0.154262992	0.738748011	0.999945023	4.9902003	4.872924558	4.715091829	4.732540819
TRINITY_DN115485_c2_g5_i2	ID=Xetrov90002794mgName=gltp]GLTPA_XENLAGLTPA_XENLAQ	Chr01	138816845	138846324	1.915537192	1.678408738	0.007804259	0.999945023	2.364708831	2.23892558	0.541321899	1.911904411
TRINITY_DN115493_c0_g1_i1	ID=Xetrov90000827mgName=klhl2]KLHL2_HUMANKLHL2_HUMANQ	Chr01	42086166	42130979	2.947690889	-0.333773583	0.499196151	0.999945023	2.825869692	3.034891037	3.189173623	2.686208501
TRINITY_DN115496_c1_g1_i3	ID=Xetrov90002923mgName=sirt4]SIR4_MOUSESIR4_MOUSEQ	Chr01	144350512	144358480	2.123791095	0.070332181	0.897943471	0.999945023	2.317907882	2.088095139	2.071359217	1.998901336
TRINITY_DN115580_c1_g1_i2	ID=Xetrov90003328mgName=LOC101732630]TSP4_XENLATSP4_XENLAQ	Chr01	163694682	163720900	6.014149861	-0.487992435	0.358065349	0.999945023	6.394522716	5.828127086	6.363561299	5.139113439
TRINITY_DN115580_c1_g2_i1	ID=Xetrov90001706mgName=comp]COMP_MOUSECOMP_MOUSEQ	Chr01	87999172	88049416	4.790588427	-0.51255479	0.25320072	0.999945023	4.819275828	4.622670501	5.156312422	4.470817989
TRINITY_DN115593_c1_g1_i3	ID=Xetrov90000975mgName=mgat4a]MGT4B_DANREMGT4B_DANREQ	Chr01	51145888	51204217	1.064237626	-0.945207425	0.09251906	0.999945023	0.145656546	1.112852997	1.696524843	0.867917932
TRINITY_DN115594_c0_g1_i7	ID=Xetrov90000376mgName=rnf4]RNF4_MOUSERNF4_MOUSEQ	Chr01	11979280	11992871	3.378232864	0.374483417	0.473073411	0.999945023	3.099298215	3.386906254	3.090248721	3.812975798
