gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	logFC.XY46.XXm46	logFC.XXm46.XX46	logFC.XXM.XXF	PV.XY46.XX46	PV.XY46.XXm46	PV.XXm46.XX46	PV.XXM.XXF	FDR.XY46.XX46	FDR.XY46.XXm46	FDR.XXm46.XX46	FDR.XXM.XXF	Tv1_462	Tv1_463	Tv2_461	Tv2_462	Tv2_464	Tv5_461	Tv6_461
TRINITY_DN112769_c0_g1_i1	ID=Xetrov90000821mgName=anxa10]ANX10_MOUSEANX10_MOUSEQ	Chr01	41382093	41382093	1.614012834	0.438987117	0.482654648	-0.043667531	0.197659793	0.581067488	0.676585436	0.96912102	0.803483464	0.661843698	1	0.981533544	0.850020516	2.455835672	2.725824829	1.754100826	1.377951931	-0.235681379	1.17165742	-1.738380505
TRINITY_DN112776_c0_g1_i1	ID=Xetrov90002933mgName=gstt1-like2]GSTT1_MOUSEGSTT1_MOUSEQ	Chr01	144545279	144545279	0.454976182	0.416780856	1.060531266	-0.64375041	-0.113484777	0.450577328	0.210078146	0.437697493	0.839510486	0.542254497	1	0.584403454	0.87788229	0.643214201	-0.131151727	1.473590969	-0.282287565	0.319312073	0.548235555	-0.416214195
TRINITY_DN112804_c0_g1_i1	ID=Xetrov90002132mgName=tek]TIE2_BOVINTIE2_BOVINQ	Chr01	110075520	110075520	2.784599877	0.968471863	0.089251628	0.879220235	0.923846049	0.010166274	0.866084188	0.082296317	0.013786652	0.027383014	1	0.189124759	0.034581094	2.147212628	3.472268015	3.113091757	3.050405701	2.740100135	2.222387283	2.164063525
TRINITY_DN112823_c0_g1_i1	ID=Xetrov90001092mgName=cfi]CFAI_HUMANCFAI_HUMANQ	Chr01	59181768	59181768	6.652375839	0.063806325	0.313619381	-0.249813056	-0.093003366	0.888316653	0.63192976	0.70167583	0.837935883	0.91650113	1	0.799592231	0.876634466	5.628949359	7.522403673	6.092435787	6.407523769	6.00944647	6.579354785	7.30072901
TRINITY_DN112837_c0_g1_i1	ID=Xetrov90002386mgName=nfil3]NFIL3_XENTRNFIL3_XENTRQ	Chr01	126556004	126556004	3.652945334	0.094139763	0.323383178	-0.229243415	-0.067551826	0.779794338	0.506210345	0.6353899	0.84119119	0.830422706	1	0.747880657	0.879119655	3.51391735	3.5800286	3.466990516	3.413240574	4.084784095	3.573918557	3.818130879
TRINITY_DN112876_c0_g1_i2	ID=Xetrov90003413mgName=LOC100486206-like]DYR_RATDYR_RATQ	Chr01	167665994	167665994	4.025246575	-1.905056573	0.428557711	-2.333614284	-2.119335428	5.42E-09	0.357530935	7.38E-06	4.72E-10	5.89E-08	1	0.00011823	6.57E-09	5.023706078	3.172844597	2.78801961	2.505538896	2.801355298	4.621705731	4.814297108
TRINITY_DN112885_c0_g1_i2	ID=Xetrov90000270mgName=spef1]SPEF1_XENLASPEF1_XENLAQ	Chr01	9437248	9437248	0.70122695	0.275183419	-0.821407197	1.096590617	0.685887018	0.559728071	0.19389189	0.079312366	0.142013822	0.642945149	1	0.184449911	0.216602484	0.361854866	-0.075572274	0.896682352	1.457883332	0.925807481	0.392602824	0.415732629
TRINITY_DN112919_c0_g1_i2	ID=Xetrov90002441mgName=psmb5]PSB5_PONABPSB5_PONABQ	Chr01	128036731	128036731	6.37752524	-0.208026292	-0.041917256	-0.166109036	-0.187067664	0.441577828	0.912489277	0.666864984	0.489494899	0.533731757	1	0.772505238	0.577817799	6.442029664	6.37822989	6.354685299	6.320934078	6.086063022	6.558579653	6.457387351
TRINITY_DN112921_c0_g1_i1	ID=Xetrov90002718mgName=LOC100494784]ZMYM1_HUMANZMYM1_HUMANQ	Chr01	133867919	133867919	4.540975728	-2.690186683	0.030365599	-2.720552282	-2.705369482	5.19E-19	0.941046422	1.34E-08	1.28E-17	1.68E-17	1	4.54E-07	4.41E-16	5.295438607	3.034457583	2.667516833	2.778857104	2.70045141	5.630160927	5.52598727
TRINITY_DN113047_c0_g1_i4	ID=Xetrov90001491mgName=lppr3]PLPR3_RATPLPR3_RATQ	Chr01	81892404	81892404	2.361513519	-1.161955216	-0.568143186	-0.59381203	-0.877883623	0.038986142	0.457734297	0.464735211	0.11925051	0.07881151	1	0.608046917	0.188614094	3.766811679	0.640290996	1.669741915	2.251158488	2.305231902	1.821483698	2.119970117
TRINITY_DN113072_c0_g1_i1	ID=Xetrov90002036mgName=igfbpl1]IBPL1_BOVINIBPL1_BOVINQ	Chr01	102887053	102887053	3.045224521	0.454919263	0.297242664	0.157676599	0.306297931	0.248572013	0.600012236	0.775541016	0.43645311	0.337794737	1	0.853921504	0.52724908	3.150967901	3.458213879	3.558456793	2.970903779	2.600597594	2.686999271	2.532524873
TRINITY_DN113126_c0_g1_i5	ID=Xetrov90001445mgName=LOC100486858]CTSL2_XENTRCTSL2_XENTRQ	Chr01	80401669	80401669	2.504334358	-8.18926026	-0.491022464	-7.698237795	-7.943749028	5.45E-25	0.718006008	1.40E-09	2.09E-20	2.89E-23	1	5.97E-08	9.63E-19	4.018208746	-2.352296039	-4.254826735	-3.163539373	-4.254826735	4.133247249	2.415799533
TRINITY_DN113187_c0_g1_i1	ID=Xetrov90002641mgName=aplnr]APJ_XENTRAPJ_XENTRQ	Chr01	131383517	131383517	3.610972279	0.835119653	0.502615914	0.332503739	0.583811696	0.020928504	0.337096488	0.506304728	0.104743495	0.048543858	1	0.643448715	0.170286465	3.199185147	4.438160681	3.942895042	3.487487972	3.400130059	3.329118504	2.910178463
TRINITY_DN113268_c0_g1_i1	ID=Xetrov90003180mgName=erp29]ERP29_BOVINERP29_BOVINQ	Chr01	155038161	155038161	4.258601882	0.080204259	-0.058190225	0.138394484	0.109299371	0.814774345	0.904059836	0.773290092	0.749297341	0.858875963	1	0.852619553	0.806145302	4.592618439	4.574696042	4.281318602	4.341787259	3.921942823	4.294275298	3.528792728
TRINITY_DN113301_c0_g1_i1	ID=Xetrov90000512mgName=tada2b]TAD2B_XENLATAD2B_XENLAQ	Chr01	20365262	20365262	3.467466792	-6.707182574	-0.444318089	-6.262864485	-6.485023529	3.49E-44	0.531864269	4.90E-16	1.72E-35	4.71E-42	1	6.08E-14	2.27E-33	4.798350683	-1.414456174	-2.035260235	-1.403122831	-1.89047762	4.437699672	4.725127618
TRINITY_DN113304_c0_g1_i3	ID=Xetrov90003496mgName=ccnb1]CCNB1_XENLACCNB1_XENLAQ	Chr01	173679416	173679416	6.609703758	-11.03290971	-1.145297909	-9.887611797	-10.46026075	1.09E-107	0.145596531	3.53E-36	1.39E-80	1.10E-104	1	2.15E-33	9.66E-78	8.030998957	-2.644120386	-2.311937256	-1.789488759	-3.496494718	7.662411368	7.771543561
TRINITY_DN113310_c0_g1_i1	ID=Xetrov90000713mgName=gtf2e12]T2EA_PONABT2EA_PONABQ	Chr01	33481882	33481882	3.65554796	-6.478348083	0.260718991	-6.739067074	-6.608707578	1.24E-37	0.727877512	4.37E-15	3.61E-31	1.37E-35	1	4.78E-13	3.79E-29	5.021472945	-3.010340152	-0.828102308	-1.648886008	-1.402067921	4.717359463	4.798065121
TRINITY_DN113378_c0_g1_i2	ID=Xetrov90000775mgName=spata4-like]SPAT4_PANTRSPAT4_PANTRQ	Chr01	38573353	38573353	2.451841162	-1.272306936	-0.322541051	-0.949765885	-1.11103641	0.010827015	0.639235862	0.197027052	0.027162511	0.028778953	1	0.340365788	0.059022148	2.647585629	1.295857383	2.107617688	2.059498783	1.69599101	3.805358355	1.911600327
TRINITY_DN113380_c0_g1_i1	ID=Xetrov90002939mgName=Xetrov90002939mg]GTR11_HUMANGTR11_HUMANQ	Chr01	144645843	144645843	2.740567012	2.560444243	1.6237994	0.936644843	1.748544543	1.43E-05	0.062799248	0.217155033	0.002299054	8.94E-05	1	0.363923843	0.008094896	1.332148572	4.42617731	3.627174311	1.996657762	1.45041864	0.885042205	0.9734508
TRINITY_DN113392_c2_g2_i1	ID=Xetrov90002206mgName=plgrkt]PLRKT_RATPLRKT_RATQ	Chr01	114840949	114840949	4.665763798	0.288390485	-0.104876269	0.393266754	0.34082862	0.300152981	0.788488979	0.306952894	0.219781432	0.392421491	1	0.460481451	0.306430037	4.232230932	4.957646557	4.757255796	4.870343619	4.553887729	4.529968701	4.64052335
TRINITY_DN113402_c0_g1_i1	ID=Xetrov90002658mgName=zp32]ZP3_FELCAZP3_FELCAQ	Chr01	131851113	131851113	6.547055206	-8.922986698	0.731853691	-9.654840389	-9.288913543	2.42E-94	0.264340096	1.49E-36	1.19E-74	1.24E-91	1	9.92E-34	6.45E-72	7.905532183	-1.050677685	-0.673161681	-1.648886008	-1.547242199	7.581053518	7.789981601
TRINITY_DN113491_c0_g1_i1	ID=Xetrov90000511mgName=grpel1]GRPE1_BOVINGRPE1_BOVINQ	Chr01	20357492	20357492	4.585018785	-0.551065943	0.243840171	-0.794906114	-0.672986029	0.078543905	0.587472447	0.086746341	0.033112241	0.136346696	1	0.195707975	0.068994247	5.119735517	4.784483692	4.262240538	4.106616257	3.851285591	4.674555272	4.870821673
TRINITY_DN113503_c0_g2_i3	ID=Xetrov90003565mgName=ankrd55]ANR55_HUMANANR55_HUMANQ	Chr01	178335970	178335970	1.021713841	-3.21307699	0.159787335	-3.372864325	-3.292970658	5.87E-05	0.885149878	0.009198842	0.000108241	0.000323082	1	0.040643934	0.000575857	3.150967901	-1.414456174	-1.064550898	-1.19319483	-0.747284863	-0.997146211	1.506100546
TRINITY_DN113512_c0_g1_i2	ID=Xetrov90000645mgName=nipal1]NIPA3_MOUSENIPA3_MOUSEQ	Chr01	29602560	29602560	1.666546248	1.280273047	0.203843469	1.076429578	1.178351312	0.002936907	0.73500813	0.059777939	0.005932886	0.009845489	1	0.152518619	0.017559216	1.147885449	2.488311474	2.034539668	1.919706871	1.743584909	0.885042205	0.486897952
TRINITY_DN113516_c0_g1_i1	ID=Xetrov90003000mgName=cdc45-like]CDC45_XENLACDC45_XENLAQ	Chr01	145780872	145780872	5.301007751	-3.900726481	0.321803203	-4.222529683	-4.061628082	1.19E-38	0.421591027	2.32E-17	3.51E-35	1.37E-36	1	3.28E-15	4.48E-33	6.242215647	2.551455024	2.681945795	2.196285738	2.273157876	6.353006371	6.594275644
TRINITY_DN113545_c0_g1_i2	ID=Xetrov90001468mgName=LOC101734868]	Chr01	81165752	81165752	0.099530134	-3.506627526	-2.205744302	-1.300883224	-2.403755375	6.63E-05	0.039584013	0.270664575	0.004498271	0.000360995	1	0.42216842	0.014054661	-0.848084198	-1.720591352	-2.654574258	-0.282287565	-2.341741922	2.255035926	-0.930855426
TRINITY_DN113585_c0_g1_i1	ID=Xetrov90000451mgName=qdpr]DHPR_BOVINDHPR_BOVINQ	Chr01	16477747	16477747	5.574090467	1.255115181	1.158956426	0.096158755	0.675636968	0.00030753	0.026170127	0.842107731	0.04908572	0.001423182	1	0.900280735	0.094049922	4.958666772	6.833222589	5.750733887	4.989437486	5.485028556	5.045961123	4.645716036
TRINITY_DN113599_c0_g1_i1	ID=Xetrov90000497mgName=Xetrov90000497mg]CYTL1_HUMANCYTL1_HUMANQ	Chr01	18982421	18982421	0.85610296	1.142021196	-0.228168321	1.370189518	1.256105357	0.127031983	0.824213408	0.162490562	0.092488461	0.198199052	1	0.299132782	0.15430896	0.52207533	-1.414456174	2.056854354	1.410457819	1.177583631	0.527004082	-1.738380505
TRINITY_DN113659_c0_g1_i1	ID=Xetrov90003713mgName=cplx4]CPLX4_HUMANCPLX4_HUMANQ	Chr01	188143676	188143676	1.910444665	1.011381732	-0.259736538	1.27111827	1.141250001	0.020274494	0.663659595	0.026852318	0.008578701	0.047325004	1	0.08802271	0.023656683	1.258210306	1.37778025	2.465491871	2.467424369	2.52089295	1.251493469	1.129858584
TRINITY_DN113684_c0_g2_i4	ID=Xetrov90001494mgName=palm]PALM_CHICKPALM_CHICKQ	Chr01	81998606	81998606	3.336640445	0.814010598	-0.001491545	0.815502143	0.814756371	0.027536856	0.997702486	0.101539197	0.026805446	0.060358753	1	0.21769309	0.058400648	3.234319143	3.229105797	3.741798453	3.632324394	3.847660236	2.459374447	2.656031513
TRINITY_DN113742_c2_g1_i7	ID=Xetrov90001329mgName=c19orf10]MYDGF_HUMANMYDGF_HUMANQ	Chr01	74713978	74713978	4.605135292	-0.116137182	0.096758746	-0.212895928	-0.164516555	0.680984602	0.809981573	0.598870665	0.560882969	0.748701796	1	0.718372347	0.643184866	4.529587296	4.793840203	4.605310827	4.470690591	4.25044383	4.764610303	4.743407879
TRINITY_DN113752_c0_g1_i3	ID=Xetrov90001372mgName=prdm8]PRDM8_HUMANPRDM8_HUMANQ	Chr01	76503565	76503565	2.070562591	-0.942050233	-0.135367338	-0.806682896	-0.874366564	0.068909275	0.852010275	0.289832139	0.093439626	0.122948672	1	0.442803277	0.155572797	3.377392741	1.043156324	1.660056805	1.713723051	1.905779866	2.061885315	1.349432638
TRINITY_DN113783_c5_g3_i2	ID=Xetrov90000660mgName=rasl11b]RSLBB_XENLARSLBB_XENLAQ	Chr01	30238664	30238664	4.88796691	0.886597141	-0.372293274	1.258890415	1.072743778	0.001015379	0.314391786	0.0004069	6.80E-05	0.004006544	1	0.003416313	0.000378223	4.21669877	4.836115398	5.170173713	5.502354659	5.340324933	4.257687072	4.262010295
TRINITY_DN113865_c7_g1_i3	ID=Xetrov90001865mgName=hsdl2]HSDL2_XENTRHSDL2_XENTRQ	Chr01	96084504	96084504	6.253680466	0.090897991	0.013703125	0.077194866	0.084046428	0.750842743	0.973024769	0.848128999	0.768931786	0.806491991	1	0.903885038	0.822191585	6.197912651	6.479114227	6.487594378	6.280288565	5.81801145	6.099775497	6.304495179
TRINITY_DN113876_c0_g1_i3	ID=Xetrov90003080mgName=ccdc92]CCD92_HUMANCCD92_HUMANQ	Chr01	152187591	152187591	2.702938319	-1.514290099	-0.134107007	-1.380183092	-1.447236596	0.00019456	0.812716107	0.024364884	0.000451205	0.000951058	1	0.081959035	0.002004199	3.320401528	1.116578618	2.223938423	1.985912894	1.987121187	3.288691342	3.450841688
TRINITY_DN113927_c0_g1_i1	ID=Xetrov90003017mgName=LOC100135405]COMT_RATCOMT_RATQ	Chr01	146451221	146451221	2.72288423	1.878959561	-0.042838256	1.921797817	1.900378689	7.70E-06	0.939971722	0.000296478	5.47E-06	5.06E-05	1	0.002637041	3.82E-05	1.521036983	3.789095718	2.62334334	3.296348752	3.116601858	1.238490505	1.41171889
TRINITY_DN113969_c4_g2_i2	ID=Xetrov90002894mgName=pisd-like1]PISD_PONABPISD_PONABQ	Chr01	143615120	143615120	5.032953744	-2.019081687	-0.08196722	-1.937114467	-1.978098077	2.12E-13	0.827729861	5.01E-06	2.69E-12	3.96E-12	1	8.43E-05	4.96E-11	5.884375035	3.807689297	3.988108229	3.904648413	3.649531909	5.777898181	5.850541696
TRINITY_DN113981_c0_g2_i1	ID=Xetrov90001611mgName=LOC100493989]PRAM_HUMANPRAM_HUMANQ	Chr01	85597755	85597755	1.845607093	0.576372365	-0.195571374	0.771943739	0.674158052	0.184482204	0.745828387	0.18911172	0.119045207	0.266605031	1	0.331278222	0.18833994	1.710386934	1.919215982	1.660056805	2.223982982	2.417088437	1.674753169	0.852911854
TRINITY_DN113992_c3_g1_i1	ID=Xetrov90001289mgName=polr2b]RPB2_HUMANRPB2_HUMANQ	Chr01	73166937	73166937	6.386517077	-1.105573585	0.075095215	-1.1806688	-1.143121192	4.33E-05	0.843437754	0.003722932	3.08E-05	0.000245618	1	0.020242193	0.000184441	6.955673891	5.823872487	5.900141767	5.739912275	5.714330898	6.909224525	6.893920084
TRINITY_DN114031_c0_g1_i3	ID=Xetrov90003428mgName=xrcc4]XRCC4_HUMANXRCC4_HUMANQ	Chr01	168535733	168535733	3.046676898	-1.197302717	0.344828017	-1.542130734	-1.369716726	0.001221084	0.518534631	0.006878826	0.000295168	0.004693526	1	0.032593279	0.001385564	3.33845431	2.694196014	2.361764223	2.099921854	2.22925222	3.617257321	3.885524188
TRINITY_DN114080_c2_g1_i5	ID=Xetrov90001732mgName=hsd17b11]DHB11_PONABDHB11_PONABQ	Chr01	88820066	88820066	2.210083811	0.975542407	0.12075687	0.854785537	0.915163972	0.016025088	0.832108734	0.116942933	0.023274107	0.039246089	1	0.239848148	0.052246276	1.508335123	2.881373933	2.729025998	2.451892072	1.933406358	1.532852661	1.766601916
