gid	dnds	dn	ds	chr	bias
TRINITY_DN117492_c1_g1_i3	0.0355	0.0297	0.8352	Chr01	unbias
TRINITY_DN115074_c3_g1_i2	0.1502	0.1255	0.8352	Chr01	unbias
TRINITY_DN117731_c8_g4_i2	0.0526	0.0439	0.836	Chr01	unbias
TRINITY_DN116211_c0_g1_i2	0.1114	0.0933	0.8376	Chr01	unbias
TRINITY_DN140380_c1_g1_i1	0.0131	0.011	0.8388	Chr01	unbias
TRINITY_DN142208_c1_g2_i1	0.0438	0.0367	0.8391	Chr01	unbias
TRINITY_DN117101_c2_g1_i5	0.0648	0.0546	0.8428	Chr01	unbias
TRINITY_DN123604_c2_g2_i1	0.0124	0.0106	0.8566	Chr01	unbias
TRINITY_DN116841_c3_g4_i4	0.0419	0.0359	0.8567	Chr01	unbias
TRINITY_DN131466_c2_g1_i3	0.0396	0.0341	0.8591	Chr01	unbias
TRINITY_DN137553_c0_g1_i4	0.0467	0.0405	0.866	Chr01	unbias
TRINITY_DN123634_c3_g1_i2	0.0046	0.004	0.8693	Chr01	unbias
TRINITY_DN120867_c6_g2_i2	0.0791	0.0689	0.8712	Chr01	unbias
TRINITY_DN132132_c5_g1_i5	0.0344	0.0302	0.8784	Chr01	unbias
TRINITY_DN129896_c1_g2_i2	0.0896	0.0788	0.8803	Chr01	unbias
TRINITY_DN117781_c1_g1_i20	0.0089	0.0079	0.8826	Chr01	unbias
TRINITY_DN126124_c2_g1_i1	0.2212	0.2015	0.9111	Chr01	unbias
TRINITY_DN135371_c0_g3_i5	0.2322	0.2127	0.9163	Chr01	unbias
TRINITY_DN120566_c0_g1_i3	0.0209	0.0193	0.919	Chr01	unbias
TRINITY_DN130057_c5_g4_i3	0.0249	0.0229	0.9192	Chr01	unbias
TRINITY_DN139384_c2_g1_i4	0.1668	0.1541	0.9241	Chr01	unbias
TRINITY_DN118445_c4_g3_i9	0.0108	0.01	0.9255	Chr01	unbias
TRINITY_DN126047_c1_g1_i7	0.0615	0.0571	0.9285	Chr01	unbias
TRINITY_DN123446_c4_g1_i1	0.0477	0.0443	0.9304	Chr01	unbias
TRINITY_DN129444_c3_g1_i3	0.0611	0.0569	0.9312	Chr01	unbias
TRINITY_DN136611_c2_g2_i5	0.0072	0.0068	0.9336	Chr01	unbias
TRINITY_DN135456_c5_g1_i6	0.0165	0.0154	0.9349	Chr01	unbias
TRINITY_DN123930_c2_g1_i2	0.0287	0.0271	0.9428	Chr01	unbias
TRINITY_DN137799_c3_g1_i1	0.1627	0.1534	0.9428	Chr01	unbias
TRINITY_DN119646_c0_g1_i1	0.0908	0.0857	0.9434	Chr01	unbias
TRINITY_DN125315_c6_g2_i1	0.0197	0.0186	0.9457	Chr01	unbias
TRINITY_DN116201_c2_g2_i2	0.0978	0.0926	0.9463	Chr01	unbias
TRINITY_DN120364_c6_g1_i4	0.087	0.0826	0.9497	Chr01	unbias
TRINITY_DN126132_c7_g2_i3	0.1893	0.1802	0.9518	Chr01	unbias
TRINITY_DN124895_c1_g1_i4	0.1494	0.1432	0.958	Chr01	unbias
TRINITY_DN136743_c12_g1_i1	0.0826	0.0792	0.9582	Chr01	unbias
TRINITY_DN144402_c2_g1_i1	0.009	0.0086	0.9587	Chr01	unbias
TRINITY_DN142581_c1_g1_i8	0.0396	0.038	0.9608	Chr01	unbias
TRINITY_DN117941_c1_g1_i1	0.0642	0.0617	0.9615	Chr01	unbias
TRINITY_DN127766_c3_g1_i9	0.1279	0.1241	0.9702	Chr01	unbias
TRINITY_DN140804_c3_g1_i1	0.0217	0.0211	0.9717	Chr01	unbias
TRINITY_DN128584_c3_g1_i2	0.0313	0.0305	0.9746	Chr01	unbias
TRINITY_DN137356_c5_g2_i3	0.0349	0.034	0.9752	Chr01	unbias
TRINITY_DN127988_c6_g1_i1	0.0059	0.0057	0.9759	Chr01	unbias
TRINITY_DN129840_c1_g3_i4	0.0468	0.0458	0.9784	Chr01	unbias
TRINITY_DN134662_c1_g1_i3	0.0207	0.0204	0.9819	Chr01	unbias
TRINITY_DN141818_c1_g1_i2	0.0385	0.0381	0.9903	Chr01	unbias
TRINITY_DN123423_c0_g1_i10	0.2716	0.269	0.9905	Chr01	unbias
TRINITY_DN140254_c5_g2_i3	0.0277	0.0276	0.9943	Chr01	unbias
TRINITY_DN118689_c6_g1_i5	0.0053	0.0053	1.0002	Chr01	unbias
TRINITY_DN139112_c1_g1_i1	0.0711	0.0713	1.0026	Chr01	unbias
TRINITY_DN123418_c5_g2_i1	0.0023	0.0023	1.0031	Chr01	unbias
TRINITY_DN115186_c5_g2_i1	0.0878	0.0882	1.0045	Chr01	unbias
TRINITY_DN126736_c3_g2_i5	0.1408	0.1415	1.0051	Chr01	unbias
TRINITY_DN132279_c2_g1_i1	0.0141	0.0142	1.0078	Chr01	unbias
TRINITY_DN124830_c1_g2_i3	0.1254	0.1264	1.0084	Chr01	unbias
TRINITY_DN144187_c2_g1_i7	0.0095	0.0096	1.011	Chr01	unbias
TRINITY_DN129244_c1_g1_i2	0.3509	0.3551	1.0121	Chr01	unbias
TRINITY_DN133538_c6_g1_i5	0.0025	0.0026	1.0125	Chr01	unbias
TRINITY_DN117519_c2_g2_i4	0.0757	0.0768	1.0153	Chr01	unbias
TRINITY_DN131255_c1_g1_i2	0.0569	0.0582	1.024	Chr01	unbias
TRINITY_DN124894_c7_g1_i2	0.0662	0.0679	1.0258	Chr01	unbias
TRINITY_DN143406_c1_g1_i3	0.2344	0.2419	1.0324	Chr01	unbias
TRINITY_DN117694_c5_g3_i1	0.0843	0.087	1.0328	Chr01	unbias
TRINITY_DN129381_c1_g1_i2	0.1435	0.1482	1.0328	Chr01	unbias
TRINITY_DN132035_c1_g1_i3	0.0386	0.04	1.0344	Chr01	unbias
TRINITY_DN128884_c3_g1_i6	0.1928	0.2002	1.0388	Chr01	unbias
TRINITY_DN141240_c5_g1_i2	0.0868	0.0902	1.0395	Chr01	unbias
TRINITY_DN136947_c0_g1_i1	0.0395	0.0411	1.0398	Chr01	unbias
TRINITY_DN124776_c4_g1_i1	0.0819	0.0858	1.0475	Chr01	unbias
TRINITY_DN115548_c4_g3_i2	0.0739	0.0775	1.0476	Chr01	unbias
TRINITY_DN127124_c0_g1_i6	0.0523	0.055	1.0512	Chr01	unbias
TRINITY_DN127710_c1_g2_i3	0.0496	0.0522	1.0531	Chr01	unbias
TRINITY_DN135657_c3_g2_i1	0.0203	0.0213	1.0532	Chr01	unbias
TRINITY_DN135531_c2_g1_i4	0.0838	0.0887	1.0579	Chr01	unbias
TRINITY_DN111437_c1_g1_i3	0.1135	0.1202	1.0585	Chr01	unbias
TRINITY_DN117402_c3_g2_i1	0.001	0.0011	1.0593	Chr01	unbias
TRINITY_DN139011_c0_g3_i6	0.0231	0.0245	1.0596	Chr01	unbias
TRINITY_DN141084_c3_g1_i42	0.0373	0.0397	1.0636	Chr01	unbias
TRINITY_DN127587_c0_g2_i9	0.1075	0.1145	1.0644	Chr01	unbias
TRINITY_DN127956_c0_g2_i8	0.0424	0.0453	1.0693	Chr01	unbias
TRINITY_DN124645_c0_g1_i1	0.2235	0.2395	1.0715	Chr01	unbias
TRINITY_DN140620_c0_g3_i3	0.0266	0.0285	1.0732	Chr01	unbias
TRINITY_DN125698_c3_g1_i4	0.038	0.0409	1.0757	Chr01	unbias
TRINITY_DN129404_c0_g3_i3	0.0481	0.0517	1.0757	Chr01	unbias
TRINITY_DN121316_c1_g1_i4	0.0481	0.0518	1.0762	Chr01	unbias
TRINITY_DN115877_c2_g2_i3	0.0149	0.016	1.0776	Chr01	unbias
TRINITY_DN140622_c1_g2_i2	0.0639	0.0688	1.0776	Chr01	unbias
TRINITY_DN134179_c1_g1_i13	0.0417	0.045	1.0793	Chr01	unbias
TRINITY_DN128239_c6_g1_i2	0.2769	0.299	1.0799	Chr01	unbias
TRINITY_DN122069_c4_g2_i4	0.0626	0.0677	1.0813	Chr01	unbias
TRINITY_DN138363_c2_g1_i10	0.0385	0.0416	1.0831	Chr01	unbias
TRINITY_DN118823_c4_g1_i6	0.0442	0.0479	1.0832	Chr01	unbias
TRINITY_DN121841_c3_g2_i5	0.0693	0.0751	1.0845	Chr01	unbias
TRINITY_DN135330_c1_g2_i2	0.05	0.0545	1.0898	Chr01	unbias
TRINITY_DN136755_c6_g1_i1	0.0054	0.0059	1.0914	Chr01	unbias
TRINITY_DN137514_c0_g1_i1	0.0284	0.031	1.0918	Chr01	unbias
TRINITY_DN125897_c0_g1_i2	0.042	0.0459	1.0927	Chr01	unbias
TRINITY_DN130249_c5_g1_i12	0.0085	0.0093	1.0946	Chr01	unbias
TRINITY_DN117537_c0_g1_i7	0.0446	0.0488	1.0962	Chr01	unbias
TRINITY_DN135627_c1_g3_i1	0.0056	0.0061	1.0975	Chr01	unbias
TRINITY_DN123477_c6_g1_i1	0.0395	0.0433	1.0976	Chr01	unbias
TRINITY_DN123776_c2_g1_i6	0.0555	0.061	1.0991	Chr01	unbias
TRINITY_DN130541_c6_g1_i1	0.0511	0.0562	1.1006	Chr01	unbias
TRINITY_DN133356_c2_g2_i1	0.0355	0.0391	1.1018	Chr01	unbias
TRINITY_DN121768_c0_g1_i4	0.0157	0.0173	1.1025	Chr01	unbias
TRINITY_DN116075_c2_g1_i4	0.1221	0.135	1.1057	Chr01	unbias
TRINITY_DN138344_c0_g2_i4	0.0317	0.0351	1.1059	Chr01	unbias
TRINITY_DN133248_c3_g2_i5	0.0073	0.0081	1.1069	Chr01	unbias
TRINITY_DN115613_c0_g1_i1	0.0985	0.1091	1.1075	Chr01	unbias
TRINITY_DN122651_c4_g1_i3	0.0103	0.0114	1.1081	Chr01	unbias
TRINITY_DN114397_c1_g2_i1	0.0424	0.0471	1.1103	Chr01	unbias
TRINITY_DN139567_c2_g1_i4	0.0591	0.0657	1.1118	Chr01	unbias
TRINITY_DN139903_c7_g1_i1	0.0822	0.0914	1.1126	Chr01	unbias
TRINITY_DN116752_c2_g1_i2	0.0271	0.0302	1.1143	Chr01	unbias
TRINITY_DN127363_c1_g1_i5	0.0039	0.0043	1.1144	Chr01	unbias
TRINITY_DN125484_c0_g1_i6	0.0446	0.0497	1.1144	Chr01	unbias
TRINITY_DN143071_c2_g1_i1	0.0679	0.0756	1.1144	Chr01	unbias
TRINITY_DN118173_c1_g1_i2	0.0819	0.0913	1.1148	Chr01	unbias
TRINITY_DN131046_c0_g1_i3	0.0573	0.0639	1.115	Chr01	unbias
TRINITY_DN137701_c1_g1_i3	0.0665	0.0744	1.1183	Chr01	unbias
TRINITY_DN114616_c3_g1_i5	0.0152	0.017	1.1188	Chr01	unbias
TRINITY_DN115726_c2_g2_i1	0.0838	0.0938	1.1191	Chr01	unbias
TRINITY_DN121240_c5_g1_i5	0.7265	0.8133	1.1196	Chr01	unbias
TRINITY_DN123461_c2_g3_i1	0.0387	0.0433	1.1199	Chr01	unbias
TRINITY_DN134802_c1_g3_i6	0.8765	0.9828	1.1213	Chr01	unbias
TRINITY_DN140932_c1_g1_i4	0.1173	0.1316	1.1218	Chr01	unbias
TRINITY_DN124514_c0_g1_i2	0.0854	0.0958	1.1221	Chr01	unbias
TRINITY_DN135008_c2_g1_i4	0.012	0.0134	1.1234	Chr01	unbias
TRINITY_DN125358_c4_g1_i1	0.0537	0.0603	1.1239	Chr01	unbias
TRINITY_DN139487_c1_g4_i1	0.1228	0.1383	1.1267	Chr01	unbias
TRINITY_DN117817_c3_g3_i1	0.0271	0.0306	1.13	Chr01	unbias
TRINITY_DN122911_c3_g1_i2	0.0352	0.0398	1.1305	Chr01	unbias
TRINITY_DN143156_c2_g1_i3	0.0352	0.0398	1.1306	Chr01	unbias
TRINITY_DN117499_c5_g1_i2	0.1547	0.1749	1.1306	Chr01	unbias
TRINITY_DN113074_c0_g1_i1	0.1021	0.1154	1.1307	Chr01	unbias
TRINITY_DN130407_c0_g1_i2	0.0242	0.0274	1.1324	Chr01	unbias
TRINITY_DN132114_c3_g3_i1	0.0138	0.0157	1.1359	Chr01	unbias
TRINITY_DN140748_c5_g1_i1	0.0542	0.0616	1.1364	Chr01	unbias
TRINITY_DN122447_c1_g1_i1	0.0796	0.0906	1.1371	Chr01	unbias
TRINITY_DN123911_c8_g1_i1	0.0619	0.0704	1.1381	Chr01	unbias
TRINITY_DN139426_c2_g2_i6	0.1129	0.1285	1.1391	Chr01	unbias
TRINITY_DN139075_c0_g1_i2	0.0337	0.0384	1.1393	Chr01	unbias
TRINITY_DN117250_c1_g1_i3	0.0488	0.0557	1.1407	Chr01	unbias
TRINITY_DN121488_c0_g1_i1	0.6997	0.7992	1.1422	Chr01	unbias
TRINITY_DN125262_c1_g1_i1	0.0563	0.0644	1.1434	Chr01	unbias
TRINITY_DN132397_c0_g2_i2	0.0451	0.0517	1.146	Chr01	unbias
TRINITY_DN129216_c4_g1_i3	0.0147	0.0168	1.1472	Chr01	unbias
TRINITY_DN142618_c1_g1_i4	0.0528	0.0606	1.1482	Chr01	unbias
TRINITY_DN116469_c0_g1_i2	0.0633	0.0727	1.1485	Chr01	unbias
TRINITY_DN118467_c5_g2_i4	0.0046	0.0053	1.149	Chr01	unbias
TRINITY_DN131952_c1_g2_i1	0.0229	0.0264	1.1505	Chr01	unbias
TRINITY_DN123190_c4_g1_i1	0.1557	0.1792	1.1512	Chr01	unbias
TRINITY_DN134926_c0_g1_i5	0.1048	0.1207	1.1516	Chr01	unbias
TRINITY_DN138305_c3_g5_i3	0.0492	0.0567	1.1517	Chr01	unbias
TRINITY_DN119094_c2_g2_i1	0.0898	0.1035	1.1528	Chr01	unbias
TRINITY_DN127497_c0_g1_i1	0.1759	0.203	1.1543	Chr01	unbias
TRINITY_DN130596_c6_g1_i2	0.0312	0.036	1.1557	Chr01	unbias
TRINITY_DN135987_c4_g1_i5	0.0674	0.0779	1.1559	Chr01	unbias
TRINITY_DN117669_c6_g1_i11	0.0775	0.0896	1.1559	Chr01	unbias
TRINITY_DN128391_c4_g1_i4	0.0684	0.079	1.156	Chr01	unbias
TRINITY_DN118982_c1_g1_i1	0.1101	0.1274	1.1564	Chr01	unbias
TRINITY_DN134705_c1_g1_i16	0.0483	0.0561	1.1597	Chr01	unbias
TRINITY_DN124746_c4_g1_i8	0.1236	0.1436	1.1618	Chr01	unbias
TRINITY_DN144380_c7_g1_i1	0.0959	0.1115	1.1623	Chr01	unbias
TRINITY_DN119810_c0_g1_i3	0.0347	0.0403	1.1629	Chr01	unbias
TRINITY_DN114477_c0_g2_i2	0.1439	0.1673	1.1631	Chr01	unbias
TRINITY_DN127462_c2_g2_i4	0.2871	0.3343	1.1641	Chr01	unbias
TRINITY_DN117710_c2_g2_i6	0.001	0.0012	1.165	Chr01	unbias
TRINITY_DN117876_c7_g3_i2	0.3306	0.3853	1.1656	Chr01	unbias
TRINITY_DN133271_c0_g1_i10	0.0043	0.005	1.1669	Chr01	unbias
TRINITY_DN137645_c0_g1_i1	0.0459	0.0536	1.1678	Chr01	unbias
TRINITY_DN136052_c0_g1_i21	0.062	0.0725	1.1689	Chr01	unbias
TRINITY_DN119850_c0_g2_i3	0.0414	0.0485	1.1709	Chr01	unbias
TRINITY_DN112860_c0_g1_i1	0.0304	0.0357	1.1749	Chr01	unbias
TRINITY_DN133181_c0_g2_i3	0.0369	0.0434	1.1775	Chr01	unbias
TRINITY_DN132539_c0_g1_i1	0.0426	0.0502	1.1782	Chr01	unbias
TRINITY_DN134795_c0_g2_i6	0.0597	0.0704	1.1783	Chr01	unbias
TRINITY_DN127023_c1_g1_i8	0.1584	0.1868	1.1794	Chr01	unbias
TRINITY_DN120568_c1_g1_i2	0.001	0.0012	1.1813	Chr01	unbias
TRINITY_DN143768_c3_g2_i3	0.027	0.0319	1.1825	Chr01	unbias
TRINITY_DN130445_c2_g2_i5	0.1268	0.1505	1.1864	Chr01	unbias
TRINITY_DN122608_c0_g1_i3	0.0387	0.046	1.1872	Chr01	unbias
TRINITY_DN133027_c3_g1_i1	0.1841	0.2192	1.1903	Chr01	unbias
TRINITY_DN126543_c3_g1_i1	0.1829	0.218	1.1923	Chr01	unbias
TRINITY_DN129600_c3_g1_i2	0.034	0.0406	1.1958	Chr01	unbias
TRINITY_DN119329_c3_g1_i3	0.043	0.0515	1.1969	Chr01	unbias
TRINITY_DN138087_c0_g1_i3	0.0641	0.0769	1.2	Chr01	unbias
TRINITY_DN127603_c3_g1_i6	0.0138	0.0166	1.2004	Chr01	unbias
TRINITY_DN142243_c0_g1_i6	0.0442	0.0531	1.2012	Chr01	unbias
TRINITY_DN115953_c0_g2_i1	0.0053	0.0064	1.2022	Chr01	unbias
TRINITY_DN126242_c3_g2_i2	0.0302	0.0365	1.2102	Chr01	unbias
TRINITY_DN128813_c0_g1_i1	0.0156	0.0189	1.2107	Chr01	unbias
TRINITY_DN133139_c1_g1_i2	0.0942	0.1141	1.2109	Chr01	unbias
TRINITY_DN132047_c0_g1_i1	0.0802	0.0972	1.2124	Chr01	unbias
TRINITY_DN128740_c6_g5_i1	0.058	0.0704	1.213	Chr01	unbias
TRINITY_DN126205_c0_g2_i7	0.2548	0.3092	1.2136	Chr01	unbias
TRINITY_DN120830_c3_g1_i2	0.1629	0.1978	1.2139	Chr01	unbias
TRINITY_DN138466_c1_g2_i2	0.0976	0.1186	1.2152	Chr01	unbias
TRINITY_DN114958_c2_g1_i5	0.1505	0.1831	1.2167	Chr01	unbias
TRINITY_DN120184_c2_g2_i2	0.0458	0.0558	1.2172	Chr01	unbias
TRINITY_DN117957_c4_g2_i3	0.0308	0.0375	1.2182	Chr01	unbias
TRINITY_DN139415_c6_g2_i1	0.0707	0.0861	1.2189	Chr01	unbias
TRINITY_DN136545_c2_g2_i4	0.0549	0.067	1.2207	Chr01	unbias
TRINITY_DN123794_c0_g1_i2	0.0277	0.0338	1.2225	Chr01	unbias
TRINITY_DN118087_c2_g3_i4	0.0476	0.0582	1.2243	Chr01	unbias
TRINITY_DN137235_c4_g1_i1	0.5112	0.6259	1.2245	Chr01	unbias
TRINITY_DN126314_c0_g1_i1	0.0558	0.0683	1.2246	Chr01	unbias
TRINITY_DN117154_c4_g1_i2	0.3333	0.4085	1.2255	Chr01	unbias
TRINITY_DN133496_c2_g1_i2	0.0563	0.0691	1.2276	Chr01	unbias
TRINITY_DN125116_c3_g2_i6	0.0261	0.0321	1.2278	Chr01	unbias
TRINITY_DN124655_c0_g1_i6	0.2255	0.2772	1.2293	Chr01	unbias
TRINITY_DN129667_c0_g1_i4	0.1604	0.1974	1.2306	Chr01	unbias
TRINITY_DN127902_c0_g1_i1	0.0506	0.0625	1.2343	Chr01	unbias
TRINITY_DN131972_c6_g1_i1	0.0814	0.1007	1.2365	Chr01	unbias
TRINITY_DN143554_c2_g2_i3	0.136	0.1683	1.2369	Chr01	unbias
TRINITY_DN115743_c0_g1_i1	0.1591	0.1968	1.2371	Chr01	unbias
TRINITY_DN114719_c2_g3_i4	0.0412	0.051	1.2374	Chr01	unbias
TRINITY_DN120386_c6_g1_i2	0.075	0.093	1.2412	Chr01	unbias
TRINITY_DN127747_c1_g1_i3	0.0325	0.0403	1.2423	Chr01	unbias
TRINITY_DN130808_c4_g1_i8	0.0181	0.0225	1.2428	Chr01	unbias
TRINITY_DN123043_c1_g1_i4	0.0783	0.0974	1.2436	Chr01	unbias
TRINITY_DN116023_c1_g2_i3	0.1014	0.1262	1.2439	Chr01	unbias
TRINITY_DN138731_c5_g1_i6	0.0451	0.0562	1.2446	Chr01	unbias
TRINITY_DN140484_c4_g2_i4	0.0201	0.025	1.2454	Chr01	unbias
TRINITY_DN106998_c0_g1_i1	0.0604	0.0753	1.2479	Chr01	unbias
TRINITY_DN132782_c0_g1_i3	0.0221	0.0276	1.2489	Chr01	unbias
TRINITY_DN144378_c16_g1_i1	0.0678	0.0846	1.2491	Chr01	unbias
TRINITY_DN118823_c5_g3_i1	0.0389	0.0485	1.2495	Chr01	unbias
TRINITY_DN115787_c5_g1_i1	0.1289	0.1613	1.2508	Chr01	unbias
TRINITY_DN136208_c3_g1_i1	0.0202	0.0253	1.2513	Chr01	unbias
TRINITY_DN120620_c6_g1_i1	0.059	0.0739	1.2514	Chr01	unbias
TRINITY_DN140217_c0_g1_i1	0.0445	0.0557	1.2517	Chr01	unbias
TRINITY_DN114571_c5_g1_i10	0.1192	0.1492	1.2518	Chr01	unbias
TRINITY_DN115072_c0_g1_i1	0.0665	0.0832	1.252	Chr01	unbias
TRINITY_DN116597_c0_g1_i1	0.0442	0.0554	1.2534	Chr01	unbias
TRINITY_DN113392_c2_g2_i1	0.1803	0.2261	1.2542	Chr01	unbias
TRINITY_DN134281_c0_g1_i7	0.0262	0.033	1.2578	Chr01	unbias
TRINITY_DN142439_c2_g1_i4	0.0234	0.0295	1.2586	Chr01	unbias
TRINITY_DN129512_c3_g1_i2	0.0233	0.0294	1.2591	Chr01	unbias
TRINITY_DN131304_c6_g1_i4	0.1432	0.1803	1.2592	Chr01	unbias
TRINITY_DN133399_c1_g1_i5	0.0308	0.0389	1.2597	Chr01	unbias
TRINITY_DN118799_c2_g1_i1	0.0244	0.0308	1.2633	Chr01	unbias
TRINITY_DN118251_c3_g4_i2	0.0306	0.0387	1.2645	Chr01	unbias
TRINITY_DN117376_c2_g1_i12	0.0684	0.0865	1.2645	Chr01	unbias
TRINITY_DN136477_c1_g2_i1	0.0133	0.0169	1.2646	Chr01	unbias
TRINITY_DN132346_c0_g1_i5	0.0328	0.0415	1.2649	Chr01	unbias
TRINITY_DN134314_c1_g7_i2	0.0173	0.0218	1.2652	Chr01	unbias
TRINITY_DN122892_c0_g2_i1	0.0697	0.0882	1.2653	Chr01	unbias
TRINITY_DN120568_c1_g4_i2	0.1034	0.1311	1.2686	Chr01	unbias
TRINITY_DN131785_c3_g2_i6	0.0618	0.0785	1.2694	Chr01	unbias
TRINITY_DN111771_c0_g1_i1	0.2175	0.2766	1.2716	Chr01	unbias
TRINITY_DN141461_c0_g1_i2	0.0082	0.0105	1.2725	Chr01	unbias
TRINITY_DN120131_c4_g1_i1	0.0622	0.0791	1.2726	Chr01	unbias
TRINITY_DN142996_c2_g1_i2	0.001	0.0013	1.2738	Chr01	unbias
TRINITY_DN117348_c1_g1_i6	0.0692	0.0882	1.2758	Chr01	unbias
TRINITY_DN124951_c2_g1_i3	0.096	0.1227	1.2772	Chr01	unbias
TRINITY_DN132972_c0_g3_i1	0.0943	0.1205	1.2778	Chr01	unbias
TRINITY_DN139185_c0_g3_i4	0.0114	0.0146	1.2798	Chr01	unbias
TRINITY_DN135911_c0_g2_i1	0.1282	0.1642	1.281	Chr01	unbias
