ID_fa	ID_trans	dNdS	dN	dS
RBH_pair_10071.fa	TRINITY_D115006_c4_g2_i1	0.0457	0.0391	0.854
RBH_pair_10472.fa	TRINITY_D127713_c4_g1_i1	0.0115	0.0098	0.8542
RBH_pair_2459.fa	TRINITY_D115919_c1_g1_i9	0.001	0.0009	0.855
RBH_pair_4987.fa	TRINITY_D107984_c0_g1_i2	0.1515	0.1297	0.8562
RBH_pair_5111.fa	TRINITY_D123604_c2_g2_i1	0.0124	0.0106	0.8566
RBH_pair_8705.fa	TRINITY_D116841_c3_g4_i4	0.0419	0.0359	0.8567
RBH_pair_1750.fa	TRINITY_D131466_c2_g1_i3	0.0396	0.0341	0.8591
RBH_pair_2692.fa	TRINITY_D120134_c0_g3_i5	0.0389	0.0334	0.8597
RBH_pair_4905.fa	TRINITY_D135081_c2_g1_i6	0.0067	0.0058	0.8641
RBH_pair_9665.fa	TRINITY_D121215_c1_g1_i2	0.0361	0.0313	0.8651
RBH_pair_9544.fa	TRINITY_D137553_c0_g1_i4	0.0467	0.0405	0.866
RBH_pair_4549.fa	TRINITY_D115214_c0_g1_i2	0.0408	0.0353	0.8674
RBH_pair_4094.fa	TRINITY_D127942_c3_g1_i9	0.0148	0.0129	0.8676
RBH_pair_8505.fa	TRINITY_D128806_c4_g1_i13	0.0166	0.0144	0.8688
RBH_pair_3796.fa	TRINITY_D123634_c3_g1_i2	0.0046	0.004	0.8693
RBH_pair_8819.fa	TRINITY_D132345_c3_g1_i2	0.1038	0.0902	0.8698
RBH_pair_8006.fa	TRINITY_D109970_c0_g2_i2	0.1054	0.0917	0.8704
RBH_pair_6932.fa	TRINITY_D120867_c6_g2_i2	0.0791	0.0689	0.8712
RBH_pair_9114.fa	TRINITY_D138574_c2_g1_i5	0.0972	0.0847	0.8717
RBH_pair_6227.fa	TRINITY_D127844_c5_g1_i3	0.0484	0.0422	0.8731
RBH_pair_6081.fa	TRINITY_D122147_c0_g1_i1	0.0061	0.0053	0.8755
RBH_pair_10550.fa	TRINITY_D139271_c1_g1_i1	0.0431	0.0378	0.8769
RBH_pair_3682.fa	TRINITY_D132132_c5_g1_i5	0.0344	0.0302	0.8784
RBH_pair_6658.fa	TRINITY_D130743_c2_g1_i1	0.1042	0.0917	0.88
RBH_pair_6304.fa	TRINITY_D129896_c1_g2_i2	0.0896	0.0788	0.8803
RBH_pair_96.fa	TRINITY_D114153_c0_g1_i1	0.0454	0.04	0.8823
RBH_pair_3114.fa	TRINITY_D117781_c1_g1_i20	0.0089	0.0079	0.8826
RBH_pair_9437.fa	TRINITY_D142278_c8_g1_i1	0.0413	0.0365	0.8835
RBH_pair_116.fa	TRINITY_D137475_c5_g1_i5	0.1602	0.1416	0.8835
RBH_pair_8304.fa	TRINITY_D122071_c2_g3_i2	0.0185	0.0164	0.8858
RBH_pair_6042.fa	TRINITY_D140169_c4_g3_i4	0.0152	0.0135	0.8885
RBH_pair_6496.fa	TRINITY_D141238_c7_g2_i5	0.1541	0.137	0.8889
RBH_pair_10380.fa	TRINITY_D122276_c5_g1_i11	0.0345	0.031	0.8977
RBH_pair_10225.fa	TRINITY_D136174_c0_g4_i1	0.0066	0.006	0.8988
RBH_pair_8315.fa	TRINITY_D132419_c7_g1_i1	0.0645	0.058	0.8996
RBH_pair_6264.fa	TRINITY_D131189_c0_g3_i1	0.0041	0.0037	0.9022
RBH_pair_2699.fa	TRINITY_D130434_c0_g1_i3	0.0357	0.0323	0.9033
RBH_pair_8825.fa	TRINITY_D120742_c2_g3_i9	0.1104	0.0999	0.9044
RBH_pair_2409.fa	TRINITY_D119615_c2_g2_i2	0.0216	0.0196	0.9079
RBH_pair_8831.fa	TRINITY_D122908_c3_g5_i1	0.0249	0.0226	0.9088
RBH_pair_8209.fa	TRINITY_D138145_c4_g1_i8	0.023	0.0209	0.9089
RBH_pair_8097.fa	TRINITY_D142085_c0_g1_i1	0.001	0.0009	0.9094
RBH_pair_3248.fa	TRINITY_D126124_c2_g1_i1	0.2212	0.2015	0.9111
RBH_pair_2066.fa	TRINITY_D134802_c1_g1_i2	2.8533	2.6033	0.9124
RBH_pair_8572.fa	TRINITY_D138636_c6_g1_i1	0.2274	0.2077	0.9134
RBH_pair_6950.fa	TRINITY_D117056_c2_g1_i3	0.0368	0.0337	0.9145
RBH_pair_9478.fa	TRINITY_D138315_c1_g2_i4	0.0636	0.0582	0.9146
RBH_pair_7819.fa	TRINITY_D130024_c3_g2_i2	0.0083	0.0076	0.9163
RBH_pair_6400.fa	TRINITY_D135371_c0_g3_i5	0.2322	0.2127	0.9163
RBH_pair_10052.fa	TRINITY_D133135_c0_g1_i6	0.0371	0.034	0.9168
RBH_pair_9338.fa	TRINITY_D136312_c0_g1_i6	0.0088	0.0081	0.9185
RBH_pair_3714.fa	TRINITY_D120566_c0_g1_i3	0.0209	0.0193	0.919
RBH_pair_3584.fa	TRINITY_D130057_c5_g4_i3	0.0249	0.0229	0.9192
RBH_pair_7727.fa	TRINITY_D137509_c2_g1_i1	0.0385	0.0354	0.9199
RBH_pair_8229.fa	TRINITY_D138772_c3_g1_i2	0.0119	0.011	0.9232
RBH_pair_8471.fa	TRINITY_D134948_c3_g1_i2	0.0435	0.0402	0.9238
RBH_pair_10081.fa	TRINITY_D139384_c2_g1_i4	0.1668	0.1541	0.9241
RBH_pair_4737.fa	TRINITY_D119370_c1_g1_i1	0.083	0.0768	0.9252
RBH_pair_8148.fa	TRINITY_D118445_c4_g3_i9	0.0108	0.01	0.9255
RBH_pair_5199.fa	TRINITY_D120694_c4_g2_i8	0.0524	0.0486	0.9261
RBH_pair_6643.fa	TRINITY_D118150_c0_g1_i5	0.1438	0.1333	0.9264
RBH_pair_5766.fa	TRINITY_D125945_c2_g3_i1	0.1708	0.1582	0.9264
RBH_pair_7069.fa	TRINITY_D129155_c0_g2_i6	0.0045	0.0041	0.9273
RBH_pair_8401.fa	TRINITY_D115896_c0_g1_i1	0.0257	0.0239	0.9277
RBH_pair_10681.fa	TRINITY_D130397_c5_g1_i1	0.0715	0.0663	0.9282
RBH_pair_8070.fa	TRINITY_D126047_c1_g1_i7	0.0615	0.0571	0.9285
RBH_pair_5444.fa	TRINITY_D126551_c10_g2_i5	0.0898	0.0834	0.9295
RBH_pair_292.fa	TRINITY_D123446_c4_g1_i1	0.0477	0.0443	0.9304
RBH_pair_6743.fa	TRINITY_D134462_c4_g1_i2	0.1028	0.0956	0.9304
RBH_pair_10661.fa	TRINITY_D129444_c3_g1_i3	0.0611	0.0569	0.9312
RBH_pair_1699.fa	TRINITY_D139175_c1_g1_i4	0.0092	0.0086	0.933
RBH_pair_6990.fa	TRINITY_D116648_c2_g3_i2	0.0172	0.0161	0.933
RBH_pair_8094.fa	TRINITY_D136611_c2_g2_i5	0.0072	0.0068	0.9336
RBH_pair_4325.fa	TRINITY_D118697_c2_g1_i1	0.078	0.0729	0.934
RBH_pair_7978.fa	TRINITY_D116208_c7_g1_i2	0.2196	0.2051	0.934
RBH_pair_3960.fa	TRINITY_D124877_c1_g1_i1	0.1132	0.1058	0.9348
RBH_pair_1563.fa	TRINITY_D135456_c5_g1_i6	0.0165	0.0154	0.9349
RBH_pair_8358.fa	TRINITY_D109051_c0_g1_i1	0.0458	0.0429	0.9361
RBH_pair_6006.fa	TRINITY_D121095_c4_g2_i5	0.001	0.0009	0.9378
RBH_pair_7250.fa	TRINITY_D116464_c0_g5_i3	0.0119	0.0112	0.9396
RBH_pair_1909.fa	TRINITY_D135369_c1_g1_i2	0.2108	0.1983	0.9408
RBH_pair_6475.fa	TRINITY_D119966_c0_g1_i5	0.0761	0.0716	0.9411
RBH_pair_10671.fa	TRINITY_D137561_c5_g1_i1	0.0895	0.0844	0.9423
RBH_pair_6982.fa	TRINITY_D123930_c2_g1_i2	0.0287	0.0271	0.9428
RBH_pair_6334.fa	TRINITY_D137799_c3_g1_i1	0.1627	0.1534	0.9428
RBH_pair_5167.fa	TRINITY_D119646_c0_g1_i1	0.0908	0.0857	0.9434
RBH_pair_8778.fa	TRINITY_D126731_c1_g1_i2	0.0342	0.0323	0.9448
RBH_pair_9192.fa	TRINITY_D125656_c1_g3_i1	0.0413	0.039	0.9449
RBH_pair_10595.fa	TRINITY_D133446_c1_g1_i3	1.2156	1.1492	0.9454
RBH_pair_8723.fa	TRINITY_D133576_c3_g1_i6	0.0024	0.0022	0.9457
RBH_pair_5800.fa	TRINITY_D125315_c6_g2_i1	0.0197	0.0186	0.9457
RBH_pair_4656.fa	TRINITY_D130782_c1_g1_i1	0.0292	0.0276	0.946
RBH_pair_6783.fa	TRINITY_D116201_c2_g2_i2	0.0978	0.0926	0.9463
RBH_pair_4957.fa	TRINITY_D127919_c5_g4_i1	0.2367	0.224	0.9464
RBH_pair_9633.fa	TRINITY_D143435_c2_g1_i9	0.0178	0.0169	0.9473
RBH_pair_8220.fa	TRINITY_D133214_c5_g1_i8	0.0253	0.024	0.9477
RBH_pair_5451.fa	TRINITY_D120815_c1_g1_i1	0.0361	0.0342	0.9477
RBH_pair_4396.fa	TRINITY_D131819_c4_g2_i3	0.1762	0.167	0.9477
RBH_pair_3810.fa	TRINITY_D130206_c1_g1_i1	0.1177	0.1115	0.9478
