chr	logFC.XY46.XX46	sexb
Chr10	4.618958004	Famale
Chr08	4.616133074	Famale
Chr08	4.61021771	Famale
Chr10	4.61010047	Famale
Chr05	4.595683743	Famale
Chr04	4.588275472	Famale
Chr07	4.587718913	Famale
Chr03	4.579002747	Famale
Chr10	4.557649543	Famale
Chr02	4.55580248	Famale
Chr05	4.555171276	Famale
Chr03	4.553460553	Famale
Chr01	4.553379473	Famale
Chr03	4.544191635	Famale
Chr02	4.543879706	Famale
Chr10	4.540062018	Famale
Chr01	4.533041509	Famale
Chr02	4.516367878	Famale
Chr03	4.516189514	Famale
Chr01	4.514638716	Famale
Chr08	4.511298014	Famale
Chr03	4.505826178	Famale
Chr01	4.501241925	Famale
Chr02	4.497931015	Famale
Chr02	4.497016411	Famale
Chr05	4.494726643	Famale
Chr03	4.490037181	Famale
Chr05	4.486067437	Famale
Chr01	4.48155361	Famale
Chr03	4.480009464	Famale
Chr03	4.474838603	Famale
Chr03	4.471989778	Famale
Chr01	4.462437087	Famale
Chr01	4.442903247	Famale
Chr07	4.441116729	Famale
Chr09	4.438802425	Famale
Chr02	4.437693234	Famale
Chr02	4.433822475	Famale
Chr04	4.43035229	Famale
Chr02	4.420589124	Famale
Chr10	4.418493687	Famale
Chr04	4.416338008	Famale
Chr03	4.411050301	Famale
Chr04	4.403145742	Famale
Chr06	4.40119456	Famale
Chr07	4.393648068	Famale
Chr02	4.391741516	Famale
Chr04	4.388765478	Famale
Chr06	4.385225659	Famale
Chr08	4.381575792	Famale
Chr05	4.376467919	Famale
Chr03	4.372434246	Famale
Chr02	4.368573899	Famale
Chr04	4.354611845	Famale
Chr06	4.342444002	Famale
Chr04	4.34206796	Famale
Chr08	4.340835927	Famale
Chr03	4.329603655	Famale
Chr05	4.316120129	Famale
Chr04	4.279774895	Famale
Chr04	4.278322639	Famale
Chr03	4.271761343	Famale
Chr02	4.268146091	Famale
Chr04	4.257316477	Famale
Chr06	4.256569169	Famale
Chr02	4.256369292	Famale
Chr01	4.255123095	Famale
Chr07	4.252228949	Famale
Chr02	4.244056042	Famale
Chr04	4.238747767	Famale
Chr08	4.237854123	Famale
Chr02	4.235648446	Famale
Chr07	4.233726384	Famale
Chr02	4.213788372	Famale
Chr07	4.212781781	Famale
Chr05	4.208382429	Famale
Chr10	4.179379908	Famale
Chr08	4.169645801	Famale
Chr02	4.16722701	Famale
Chr01	4.165659298	Famale
Chr06	4.161731311	Famale
Chr01	4.160961477	Famale
Chr04	4.153026891	Famale
Chr03	4.144564414	Famale
Chr10	4.140251989	Famale
Chr08	4.134547393	Famale
Chr07	4.127398413	Famale
Chr06	4.126606677	Famale
Chr06	4.123854174	Famale
Chr02	4.117825479	Famale
Chr01	4.116690772	Famale
Chr05	4.111537459	Famale
Chr06	4.110726331	Famale
Chr02	4.110573361	Famale
Chr07	4.104760837	Famale
Chr07	4.104394761	Famale
Chr04	4.099233695	Famale
Chr10	4.08050756	Famale
Chr09	4.07391317	Famale
Chr04	4.058598817	Famale
Chr07	4.051672143	Famale
Chr01	4.048099306	Famale
Chr01	4.045797253	Famale
Chr04	4.045298269	Famale
Chr01	4.043301704	Famale
Chr02	4.040483818	Famale
Chr08	4.039195611	Famale
Chr01	4.034332585	Famale
Chr01	4.029371891	Famale
Chr06	4.023797558	Famale
Chr03	4.014073299	Famale
Chr02	4.008610523	Famale
Chr03	4.007626927	Famale
Chr05	4.006920298	Famale
Chr09	4.003485531	Famale
Chr04	3.999806419	Famale
Chr02	3.996884561	Famale
Chr03	3.987809954	Famale
Chr05	3.980387043	Famale
Chr09	3.975937404	Famale
Chr01	3.970410471	Famale
Chr01	3.959291562	Famale
Chr09	3.958099283	Famale
Chr01	3.952455619	Famale
Chr04	3.950780321	Famale
Chr07	3.942534469	Famale
Chr04	3.941515654	Famale
Chr03	3.941481069	Famale
Chr02	3.93651898	Famale
Chr03	3.931563034	Famale
Chr04	3.929772819	Famale
Chr01	3.929363778	Famale
Chr03	3.929257327	Famale
Chr02	3.92790252	Famale
Chr01	3.927051896	Famale
Chr04	3.920296774	Famale
Chr03	3.919095996	Famale
Chr05	3.917877625	Famale
Chr04	3.916437485	Famale
Chr03	3.912312219	Famale
Chr04	3.911196232	Famale
Chr03	3.908802187	Famale
Chr04	3.902155325	Famale
Chr06	3.902150586	Famale
Chr01	3.900447339	Famale
Chr08	3.900356533	Famale
Chr02	3.892378301	Famale
Chr04	3.884398704	Famale
Chr09	3.877835345	Famale
Chr07	3.866255691	Famale
Chr07	3.861500641	Famale
Chr08	3.854401562	Famale
Chr02	3.853772965	Famale
Chr10	3.851728241	Famale
Chr06	3.845757817	Famale
Chr05	3.845437754	Famale
Chr08	3.844690697	Famale
Chr02	3.844597748	Famale
Chr03	3.842896591	Famale
Chr02	3.84236891	Famale
Chr02	3.840330436	Famale
Chr02	3.838110947	Famale
Chr10	3.834447783	Famale
Chr08	3.827053846	Famale
Chr02	3.824968996	Famale
Chr01	3.823994131	Famale
Chr09	3.814923964	Famale
Chr09	3.813480877	Famale
Chr08	3.81131472	Famale
Chr08	3.807069855	Famale
Chr03	3.805976313	Famale
Chr01	3.805886411	Famale
Chr02	3.793406151	Famale
Chr05	3.793381137	Famale
Chr05	3.789208377	Famale
Chr09	3.786173923	Famale
Chr10	3.784773424	Famale
Chr08	3.783388359	Famale
Chr02	3.782173323	Famale
Chr05	3.782048117	Famale
Chr01	3.772536194	Famale
Chr05	3.770609586	Famale
Chr03	3.761085791	Famale
Chr04	3.753806192	Famale
Chr03	3.752356243	Famale
Chr02	3.738837056	Famale
Chr02	3.727721541	Famale
Chr04	3.722229934	Famale
Chr01	3.720147181	Famale
Chr05	3.715597668	Famale
Chr01	3.715206402	Famale
Chr09	3.714084577	Famale
Chr08	3.710073413	Famale
Chr03	3.707806142	Famale
Chr10	3.707132628	Famale
Chr04	3.706352642	Famale
Chr07	3.705554344	Famale
Chr01	3.702313329	Famale
Chr07	3.69605365	Famale
Chr04	3.691076144	Famale
Chr06	3.687566733	Famale
Chr04	3.686590496	Famale
Chr06	3.685949799	Famale
Chr05	3.685759938	Famale
Chr01	3.682072537	Famale
Chr01	3.676932467	Famale
Chr04	3.675591974	Famale
Chr01	3.669694662	Famale
Chr02	3.668385586	Famale
Chr04	3.664067997	Famale
Chr03	3.663934837	Famale
Chr02	3.662537996	Famale
Chr03	3.661073585	Famale
Chr01	3.660953429	Famale
Chr01	3.659146882	Famale
Chr04	3.652599134	Famale
Chr01	3.635379836	Famale
Chr05	3.63507951	Famale
Chr06	3.626365454	Famale
Chr06	3.626205351	Famale
Chr03	3.62601903	Famale
Chr05	3.624346462	Famale
Chr09	3.623370978	Famale
Chr05	3.619578423	Famale
Chr03	3.619269882	Famale
Chr03	3.618418616	Famale
Chr09	3.615717878	Famale
Chr01	3.615035808	Famale
Chr01	3.613000031	Famale
Chr09	3.607802552	Famale
Chr03	3.606523275	Famale
Chr02	3.604702225	Famale
Chr08	3.600628487	Famale
Chr02	3.600206588	Famale
Chr07	3.597657676	Famale
Chr01	3.594748162	Famale
Chr06	3.594356489	Famale
Chr03	3.592761305	Famale
Chr06	3.59203321	Famale
Chr08	3.589889128	Famale
Chr01	3.589446115	Famale
Chr04	3.586258342	Famale
Chr01	3.582844377	Famale
Chr05	3.581417461	Famale
Chr06	3.575876939	Famale
Chr05	3.571357588	Famale
Chr03	3.570265698	Famale
Chr01	3.568180845	Famale
Chr07	3.56713967	Famale
Chr05	3.56251474	Famale
Chr06	3.56119826	Famale
Chr04	3.561133148	Famale
Chr01	3.556313841	Famale
Chr10	3.548692609	Famale
Chr04	3.543460629	Famale
Chr04	3.541620059	Famale
Chr02	3.541105235	Famale
Chr08	3.539961925	Famale
Chr02	3.535435402	Famale
Chr09	3.533623126	Famale
Chr06	3.533248602	Famale
Chr01	3.532983917	Famale
Chr02	3.532414583	Famale
Chr02	3.532271347	Famale
Chr06	3.531868036	Famale
Chr03	3.53130987	Famale
Chr08	3.528664739	Famale
Chr06	3.527297016	Famale
Chr08	3.526567644	Famale
Chr06	3.521757468	Famale
Chr03	3.521326265	Famale
Chr02	3.518747096	Famale
Chr06	3.518639136	Famale
Chr01	3.518598222	Famale
Chr01	3.518108132	Famale
Chr06	3.51769962	Famale
Chr02	3.515407956	Famale
Chr09	3.515261217	Famale
Chr01	3.513572128	Famale
Chr07	3.509275126	Famale
Chr01	3.498257036	Famale
Chr06	3.49816592	Famale
Chr01	3.49643521	Famale
Chr05	3.495882076	Famale
Chr02	3.494487533	Famale
Chr09	3.493846529	Famale
Chr07	3.49368465	Famale
Chr02	3.491246223	Famale
Chr06	3.489025397	Famale
Chr08	3.488058891	Famale
Chr01	3.487933201	Famale
Chr03	3.487367263	Famale
Chr07	3.484759652	Famale
Chr01	3.478872245	Famale
Chr03	3.477818716	Famale
Chr08	3.477614701	Famale
Chr02	3.477450582	Famale
Chr03	3.477202261	Famale
Chr03	3.476066674	Famale
Chr05	3.472501194	Famale
Chr09	3.471881196	Famale
Chr01	3.471167561	Famale
Chr08	3.465740992	Famale
Chr07	3.452872581	Famale
Chr02	3.452556148	Famale
Chr03	3.44525868	Famale
Chr03	3.437830512	Famale
Chr08	3.436615672	Famale
Chr08	3.436445931	Famale
Chr02	3.436143312	Famale
Chr05	3.435349382	Famale
Chr01	3.434103527	Famale
Chr01	3.433667245	Famale
Chr04	3.432629663	Famale
Chr09	3.431378314	Famale
Chr01	3.429032072	Famale
Chr06	3.4242513	Famale
Chr05	3.422978734	Famale
Chr09	3.422474596	Famale
Chr05	3.421546655	Famale
Chr02	3.41889903	Famale
Chr04	3.418365917	Famale
Chr02	3.417389697	Famale
Chr07	3.417085538	Famale
Chr02	3.413532813	Famale
Chr03	3.410226425	Famale
Chr04	3.408514284	Famale
Chr05	3.408472696	Famale
Chr05	3.407834312	Famale
Chr02	3.407166658	Famale
Chr02	3.404892209	Famale
Chr01	3.404357696	Famale
Chr06	3.403804796	Famale
Chr02	3.397650225	Famale
Chr03	3.397448361	Famale
Chr04	3.396449033	Famale
Chr05	3.396052084	Famale
Chr08	3.395763302	Famale
Chr01	3.392347225	Famale
Chr04	3.388078404	Famale
Chr04	3.383362974	Famale
Chr05	3.380662015	Famale
Chr05	3.379207858	Famale
Chr06	3.377421203	Famale
Chr07	3.373346359	Famale
Chr07	3.373225107	Famale
Chr04	3.369211911	Famale
Chr01	3.367666519	Famale
Chr01	3.364322232	Famale
Chr04	3.361645905	Famale
Chr09	3.355890313	Famale
Chr02	3.352345018	Famale
Chr02	3.352196464	Famale
Chr02	3.347089971	Famale
Chr01	3.345663057	Famale
Chr09	3.343906672	Famale
Chr02	3.341530731	Famale
Chr07	3.337759317	Famale
Chr06	3.335442102	Famale
Chr07	3.334378168	Famale
Chr05	3.332142148	Famale
Chr05	3.331407733	Famale
Chr02	3.329539692	Famale
Chr01	3.325653679	Famale
Chr03	3.321745604	Famale
Chr10	3.320772132	Famale
Chr06	3.318463351	Famale
Chr01	3.31721347	Famale
Chr05	3.307892795	Famale
Chr05	3.290036126	Famale
Chr04	3.285876629	Famale
Chr04	3.285460807	Famale
Chr05	3.283139669	Famale
Chr02	3.283133164	Famale
Chr03	3.281378747	Famale
Chr02	3.279645471	Famale
Chr01	3.274915802	Famale
Chr06	3.272532697	Famale
Chr06	3.270600473	Famale
Chr02	3.269002206	Famale
Chr08	3.267397891	Famale
Chr02	3.266202746	Famale
Chr08	3.264702972	Famale
Chr03	3.260289072	Famale
Chr08	3.258840471	Famale
Chr02	3.2569309	Famale
Chr08	3.253088662	Famale
Chr06	3.252403978	Famale
Chr01	3.251194185	Famale
Chr03	3.251042176	Famale
Chr01	3.247208953	Famale
Chr06	3.242932774	Famale
Chr03	3.242188454	Famale
Chr02	3.241288752	Famale
Chr02	3.235171037	Famale
Chr07	3.234644728	Famale
Chr08	3.228107884	Famale
Chr04	3.227480025	Famale
Chr04	3.225369447	Famale
Chr06	3.22517264	Famale
Chr04	3.224800351	Famale
Chr02	3.220868058	Famale
Chr07	3.220770062	Famale
Chr02	3.216995847	Famale
Chr03	3.216415052	Famale
Chr08	3.214784165	Famale
Chr05	3.211003224	Famale
Chr01	3.207037999	Famale
Chr05	3.205713435	Famale
Chr07	3.204651329	Famale
Chr03	3.204497265	Famale
Chr06	3.19786692	Famale
Chr02	3.196435409	Famale
Chr03	3.195133124	Famale
Chr06	3.189009818	Famale
Chr09	3.185995261	Famale
Chr08	3.183249332	Famale
Chr02	3.181693919	Famale
Chr08	3.18081392	Famale
Chr02	3.179740847	Famale
Chr04	3.179155386	Famale
Chr01	3.173314407	Famale
Chr03	3.173037033	Famale
Chr02	3.169790367	Famale
Chr04	3.16973724	Famale
Chr08	3.169273795	Famale
Chr02	3.167894351	Famale
Chr02	3.166932612	Famale
Chr01	3.16461134	Famale
Chr02	3.164245208	Famale
Chr04	3.164077549	Famale
Chr09	3.160610301	Famale
Chr05	3.155828779	Famale
Chr03	3.155738358	Famale
Chr10	3.153248094	Famale
Chr05	3.152172237	Famale
Chr05	3.15170953	Famale
Chr02	3.149912703	Famale
Chr02	3.149895027	Famale
Chr10	3.148241975	Famale
Chr04	3.14681363	Famale
Chr08	3.141457145	Famale
Chr03	3.140077045	Famale
Chr05	3.138487917	Famale
Chr04	3.136722098	Famale
Chr09	3.136091078	Famale
Chr06	3.127462039	Famale
Chr01	3.125922306	Famale
Chr02	3.120223152	Famale
Chr09	3.118258007	Famale
Chr04	3.117978569	Famale
Chr02	3.117305386	Famale
Chr06	3.113686263	Famale
Chr02	3.111964516	Famale
Chr08	3.111392977	Famale
Chr04	3.110915235	Famale
Chr08	3.110198348	Famale
Chr08	3.109679655	Famale
Chr01	3.106113689	Famale
Chr04	3.10530149	Famale
Chr01	3.10461804	Famale
Chr03	3.100523957	Famale
Chr05	3.099782418	Famale
Chr09	3.097973896	Famale
Chr01	3.094803897	Famale
Chr02	3.093702815	Famale
Chr10	3.089497323	Famale
Chr06	3.08931782	Famale
Chr03	3.089091181	Famale
Chr09	3.088727782	Famale
Chr01	3.088368274	Famale
Chr04	3.088292504	Famale
Chr05	3.084402055	Famale
Chr09	3.080956654	Famale
Chr04	3.079377256	Famale
Chr08	3.079219768	Famale
Chr03	3.07857719	Famale
Chr05	3.078559806	Famale
Chr06	3.073681744	Famale
Chr02	3.072435615	Famale
Chr01	3.066304948	Famale
Chr01	3.066304578	Famale
Chr10	3.066126004	Famale
Chr02	3.06265136	Famale
Chr02	3.060366399	Famale
Chr01	3.058426756	Famale
Chr09	3.057353646	Famale
Chr01	3.055769084	Famale
Chr08	3.055410953	Famale
Chr06	3.049125126	Famale
Chr02	3.046857633	Famale
Chr03	3.046558157	Famale
Chr08	3.046142152	Famale
Chr01	3.045941923	Famale
Chr05	3.043710127	Famale
Chr08	3.041961959	Famale
Chr09	3.041806675	Famale
Chr05	3.041071252	Famale
Chr10	3.035801888	Famale
Chr08	3.030538444	Famale
Chr09	3.030174828	Famale
Chr08	3.029749359	Famale
Chr02	3.025074203	Famale
Chr03	3.024449697	Famale
Chr02	3.022020363	Famale
Chr01	3.020140013	Famale
Chr10	3.018820362	Famale
Chr02	3.01795282	Famale
Chr08	3.015265097	Famale
Chr01	3.013487463	Famale
Chr08	3.011789935	Famale
Chr09	3.011341275	Famale
Chr08	3.008224152	Famale
Chr06	3.00521914	Famale
Chr02	3.004088112	Famale
Chr10	3.002300048	Famale
Chr08	3.000610497	Famale
Chr09	2.999846392	Famale
Chr08	2.997156304	Famale
Chr04	2.993785486	Famale
Chr03	2.991190817	Famale
Chr08	2.990385119	Famale
Chr09	2.986996531	Famale
Chr03	2.985694818	Famale
Chr09	2.985674022	Famale
Chr08	2.982058151	Famale
Chr05	2.980267844	Famale
Chr03	2.976766981	Famale
Chr02	2.975516362	Famale
Chr03	2.972859832	Famale
Chr01	2.97220199	Famale
Chr04	2.969829888	Famale
Chr08	2.968532326	Famale
Chr09	2.968094376	Famale
Chr08	2.965209286	Famale
Chr01	2.964753013	Famale
Chr07	2.963907068	Famale
Chr10	2.961081844	Famale
Chr01	2.959837904	Famale
Chr02	2.959713675	Famale
Chr01	2.959412397	Famale
Chr06	2.959106363	Famale
Chr10	2.957334699	Famale
Chr09	2.956376269	Famale
Chr01	2.956274959	Famale
Chr08	2.956210782	Famale
Chr02	2.95550532	Famale
Chr09	2.955390919	Famale
Chr04	2.955214288	Famale
Chr04	2.953180928	Famale
Chr08	2.951414903	Famale
Chr05	2.950856178	Famale
Chr01	2.950632339	Famale
Chr10	2.950263475	Famale
Chr02	2.949356298	Famale
Chr02	2.946631406	Famale
Chr01	2.946162902	Famale
Chr03	2.946145704	Famale
Chr06	2.943765598	Famale
Chr10	2.942791235	Famale
Chr03	2.94229259	Famale
Chr03	2.942270889	Famale
Chr08	2.937854482	Famale
Chr02	2.936760704	Famale
Chr10	2.936045583	Famale
Chr02	2.935671471	Famale
Chr04	2.930440546	Famale
Chr01	2.929065427	Famale
Chr07	2.928692586	Famale
Chr03	2.926388704	Famale
Chr08	2.92420695	Famale
Chr07	2.923619647	Famale
Chr01	2.922783623	Famale
Chr01	2.921438596	Famale
Chr10	2.921366485	Famale
Chr10	2.919667239	Famale
Chr08	2.917729013	Famale
Chr02	2.91659921	Famale
Chr03	2.915495294	Famale
Chr06	2.915402262	Famale
Chr01	2.913873271	Famale
Chr06	2.910424893	Famale
Chr02	2.909807906	Famale
Chr02	2.906029145	Famale
Chr08	2.904158527	Famale
Chr01	2.903984074	Famale
Chr04	2.903192237	Famale
Chr07	2.903177532	Famale
Chr03	2.901438107	Famale
Chr08	2.898907548	Famale
Chr06	2.89884011	Famale
Chr03	2.896905444	Famale
Chr04	2.895695785	Famale
Chr04	2.894765835	Famale
Chr10	2.893624734	Famale
Chr02	2.893313818	Famale
Chr03	2.893275332	Famale
Chr04	2.892880221	Famale
Chr02	2.890729527	Famale
Chr07	2.890294058	Famale
Chr01	2.888816882	Famale
Chr02	2.887478402	Famale
Chr05	2.886560441	Famale
Chr02	2.885790224	Famale
Chr02	2.885401231	Famale
Chr05	2.883860967	Famale
Chr01	2.882519503	Famale
Chr04	2.879888119	Famale
Chr06	2.879304551	Famale
Chr01	2.879104094	Famale
Chr09	2.879008332	Famale
Chr04	2.877678836	Famale
Chr03	2.876442254	Famale
Chr09	2.876120561	Famale
Chr04	2.875335137	Famale
Chr05	2.875240418	Famale
Chr05	2.87239505	Famale
Chr09	2.871653471	Famale
Chr01	2.871144231	Famale
Chr02	2.869489094	Famale
Chr06	2.868227985	Famale
Chr01	2.867394183	Famale
Chr03	2.865056089	Famale
Chr04	2.864676701	Famale
Chr03	2.864501874	Famale
Chr08	2.861745975	Famale
Chr07	2.861486487	Famale
Chr08	2.86013901	Famale
Chr05	2.859832336	Famale
Chr08	2.859644762	Famale
Chr02	2.858789428	Famale
Chr06	2.85797315	Famale
Chr04	2.857858745	Famale
Chr10	2.85654545	Famale
Chr04	2.856459367	Famale
Chr04	2.855609228	Famale
Chr03	2.855133463	Famale
Chr08	2.852956997	Famale
Chr01	2.852703659	Famale
Chr05	2.852247439	Famale
Chr10	2.852156091	Famale
Chr02	2.850567251	Famale
Chr01	2.85043964	Famale
Chr06	2.85015347	Famale
Chr10	2.847887301	Famale
Chr07	2.847370444	Famale
Chr03	2.845636691	Famale
Chr10	2.844829305	Famale
Chr05	2.843219057	Famale
Chr02	2.842158499	Famale
Chr06	2.842154038	Famale
Chr01	2.841090166	Famale
Chr05	2.837295676	Famale
Chr08	2.83645219	Famale
Chr10	2.834964246	Famale
Chr01	2.833746671	Famale
Chr04	2.832585604	Famale
Chr04	2.830949865	Famale
Chr03	2.827011416	Famale
Chr03	2.823283669	Famale
Chr05	2.822286792	Famale
Chr01	2.821726591	Famale
Chr09	2.818872254	Famale
Chr02	2.818281819	Famale
Chr04	2.817174396	Famale
Chr04	2.816969667	Famale
Chr02	2.815158733	Famale
Chr09	2.814994735	Famale
Chr03	2.813048545	Famale
Chr07	2.812038649	Famale
Chr08	2.81119416	Famale
Chr08	2.809760737	Famale
Chr02	2.808851535	Famale
Chr05	2.808453518	Famale
Chr06	2.807264095	Famale
Chr02	2.805477217	Famale
Chr09	2.804772888	Famale
Chr01	2.802034009	Famale
Chr08	2.801580693	Famale
Chr02	2.800896319	Famale
Chr02	2.799521193	Famale
Chr05	2.799127817	Famale
Chr10	2.799045446	Famale
Chr06	2.79756432	Famale
Chr01	2.794801999	Famale
Chr10	2.789865067	Famale
Chr01	2.788702053	Famale
Chr04	2.787364655	Famale
Chr01	2.785793861	Famale
Chr08	2.783082531	Famale
Chr07	2.780084227	Famale
Chr02	2.780062211	Famale
Chr06	2.779864767	Famale
Chr05	2.779526658	Famale
