gid	dnds	dn	ds	chr	bias
TRINITY_DN126794_c1_g1_i3	0.0239	0.0382	1.6037	Chr01	female
TRINITY_DN128528_c3_g1_i3	0.024	0.0383	1.5999	Chr01	female
TRINITY_DN137629_c0_g1_i2	0.0246	0.0375	1.5238	Chr01	female
TRINITY_DN136840_c0_g1_i1	0.025	0.0474	1.8995	Chr01	female
TRINITY_DN114635_c0_g2_i2	0.025	0.0506	2.0248	Chr01	female
TRINITY_DN130354_c0_g1_i4	0.0251	0.0387	1.5431	Chr01	female
TRINITY_DN115896_c0_g1_i1	0.0257	0.0239	0.9277	Chr01	female
TRINITY_DN133740_c2_g1_i11	0.0268	0.0465	1.7329	Chr01	female
TRINITY_DN118300_c2_g1_i1	0.0283	0.0221	0.7825	Chr01	female
TRINITY_DN128265_c3_g3_i5	0.0283	0.054	1.9077	Chr01	female
TRINITY_DN117027_c1_g3_i1	0.0305	0.0341	1.1168	Chr01	female
TRINITY_DN134323_c3_g1_i1	0.0305	0.0445	1.4588	Chr01	female
TRINITY_DN140785_c0_g1_i2	0.0306	0.0573	1.8726	Chr01	female
TRINITY_DN136388_c3_g1_i1	0.031	0.0517	1.6666	Chr01	female
TRINITY_DN129549_c4_g1_i4	0.0319	0.0628	1.9711	Chr01	female
TRINITY_DN129263_c2_g1_i5	0.032	0.0664	2.0719	Chr01	female
TRINITY_DN135284_c0_g1_i1	0.0323	0.0619	1.9139	Chr01	female
TRINITY_DN116622_c5_g6_i1	0.0324	0.0515	1.5905	Chr01	female
TRINITY_DN135908_c0_g2_i6	0.0327	0.0644	1.9675	Chr01	female
TRINITY_DN117909_c9_g2_i1	0.0328	0.0497	1.5156	Chr01	female
TRINITY_DN144336_c0_g2_i1	0.0333	0.0393	1.1802	Chr01	female
TRINITY_DN127170_c2_g1_i2	0.0333	0.0473	1.4222	Chr01	female
TRINITY_DN143429_c4_g1_i2	0.0333	0.062	1.8608	Chr01	female
TRINITY_DN138640_c1_g2_i3	0.0335	0.0492	1.4668	Chr01	female
TRINITY_DN133511_c1_g3_i4	0.0336	0.0672	2	Chr01	female
TRINITY_DN120410_c4_g2_i1	0.0337	0.0658	1.9525	Chr01	female
TRINITY_DN122535_c2_g4_i1	0.0338	0.0686	2.0297	Chr01	female
TRINITY_DN129666_c1_g1_i2	0.0341	0.0624	1.8288	Chr01	female
TRINITY_DN122090_c5_g1_i9	0.036	0.0749	2.083	Chr01	female
TRINITY_DN127918_c1_g1_i1	0.0362	0.0577	1.5927	Chr01	female
TRINITY_DN126884_c5_g1_i1	0.0363	0.0513	1.4136	Chr01	female
TRINITY_DN126327_c1_g2_i14	0.0365	0.0415	1.1374	Chr01	female
TRINITY_DN129979_c0_g1_i2	0.0366	0.0606	1.6582	Chr01	female
TRINITY_DN119006_c0_g1_i9	0.0368	0.0751	2.0405	Chr01	female
TRINITY_DN127093_c1_g1_i1	0.0384	0.0498	1.297	Chr01	female
TRINITY_DN116332_c0_g3_i2	0.0384	0.0532	1.3855	Chr01	female
TRINITY_DN112349_c1_g1_i2	0.0388	0.0402	1.0368	Chr01	female
TRINITY_DN118111_c0_g1_i1	0.0393	0.0495	1.2604	Chr01	female
TRINITY_DN136911_c5_g2_i2	0.0394	0.0809	2.0548	Chr01	female
TRINITY_DN127389_c6_g1_i1	0.0395	0.0542	1.3727	Chr01	female
TRINITY_DN126158_c1_g1_i2	0.0398	0.0687	1.726	Chr01	female
TRINITY_DN129042_c0_g1_i7	0.0398	0.0805	2.0229	Chr01	female
TRINITY_DN140036_c2_g1_i3	0.0403	0.0797	1.9756	Chr01	female
TRINITY_DN110003_c0_g1_i1	0.0405	0.0628	1.55	Chr01	female
TRINITY_DN114780_c0_g1_i2	0.0407	0.0597	1.4673	Chr01	female
TRINITY_DN135324_c2_g1_i12	0.0409	0.0394	0.9626	Chr01	female
TRINITY_DN114546_c0_g1_i2	0.0411	0.064	1.5564	Chr01	female
TRINITY_DN119266_c1_g1_i3	0.0419	0.0864	2.06	Chr01	female
TRINITY_DN131460_c0_g3_i1	0.0422	0.0689	1.6346	Chr01	female
TRINITY_DN126728_c3_g1_i2	0.0423	0.0638	1.5067	Chr01	female
TRINITY_DN126301_c1_g2_i3	0.0424	0.0666	1.5713	Chr01	female
TRINITY_DN133899_c4_g2_i3	0.0427	0.0636	1.4891	Chr01	female
TRINITY_DN120239_c0_g4_i1	0.0428	0.0829	1.9347	Chr01	female
TRINITY_DN121916_c5_g1_i2	0.0434	0.0666	1.5344	Chr01	female
TRINITY_DN141837_c2_g1_i1	0.0434	0.0808	1.8601	Chr01	female
TRINITY_DN131478_c2_g2_i3	0.0437	0.0532	1.2191	Chr01	female
TRINITY_DN113503_c0_g2_i3	0.044	0.0794	1.804	Chr01	female
TRINITY_DN141284_c1_g1_i1	0.0447	0.0763	1.7057	Chr01	female
TRINITY_DN143200_c8_g2_i6	0.0449	0.0697	1.5525	Chr01	female
TRINITY_DN125904_c7_g1_i2	0.0451	0.0642	1.4219	Chr01	female
TRINITY_DN120800_c0_g1_i5	0.0452	0.0813	1.7993	Chr01	female
TRINITY_DN142305_c0_g2_i2	0.0458	0.0906	1.9782	Chr01	female
TRINITY_DN142957_c5_g1_i8	0.0459	0.0586	1.2762	Chr01	female
TRINITY_DN136089_c3_g2_i2	0.0466	0.07	1.5025	Chr01	female
TRINITY_DN131347_c0_g1_i1	0.0474	0.0885	1.8673	Chr01	female
TRINITY_DN120966_c0_g1_i2	0.0478	0.0478	0.9998	Chr01	female
TRINITY_DN134852_c7_g1_i2	0.0479	0.0677	1.4135	Chr01	female
TRINITY_DN143225_c1_g1_i2	0.0481	0.0769	1.5995	Chr01	female
TRINITY_DN138679_c0_g1_i3	0.0482	0.0686	1.4226	Chr01	female
TRINITY_DN137846_c1_g1_i2	0.0482	0.0914	1.8947	Chr01	female
TRINITY_DN117432_c1_g1_i1	0.0487	0.0792	1.6258	Chr01	female
TRINITY_DN133563_c10_g1_i1	0.0487	0.0868	1.781	Chr01	female
TRINITY_DN125010_c2_g1_i1	0.0492	0.0933	1.8975	Chr01	female
TRINITY_DN118168_c4_g1_i2	0.0495	0.0868	1.7529	Chr01	female
TRINITY_DN124639_c4_g2_i1	0.0501	0.0629	1.2552	Chr01	female
TRINITY_DN109029_c0_g1_i1	0.0501	0.0943	1.8824	Chr01	female
TRINITY_DN130064_c1_g1_i2	0.0504	0.087	1.7264	Chr01	female
TRINITY_DN120926_c2_g2_i4	0.0506	0.0804	1.5877	Chr01	female
TRINITY_DN126954_c2_g1_i1	0.0507	0.083	1.6377	Chr01	female
TRINITY_DN138653_c4_g1_i1	0.0511	0.1036	2.0276	Chr01	female
TRINITY_DN124643_c3_g3_i1	0.0515	0.0658	1.2778	Chr01	female
TRINITY_DN137194_c0_g1_i10	0.0516	0.0502	0.9727	Chr01	female
TRINITY_DN119046_c2_g2_i7	0.0522	0.0843	1.6149	Chr01	female
TRINITY_DN118988_c1_g1_i9	0.0527	0.0349	0.6637	Chr01	female
TRINITY_DN126491_c1_g1_i2	0.0531	0.1064	2.0016	Chr01	female
TRINITY_DN116115_c6_g1_i2	0.0534	0.1028	1.9232	Chr01	female
TRINITY_DN137136_c7_g3_i3	0.0535	0.1013	1.8945	Chr01	female
TRINITY_DN139877_c3_g1_i2	0.0551	0.0737	1.3391	Chr01	female
TRINITY_DN127111_c3_g1_i6	0.0554	0.1067	1.9268	Chr01	female
TRINITY_DN115015_c6_g1_i3	0.0557	0.1099	1.9715	Chr01	female
TRINITY_DN125554_c3_g1_i1	0.0565	0.0743	1.3156	Chr01	female
TRINITY_DN119600_c0_g3_i12	0.0567	0.1023	1.8055	Chr01	female
TRINITY_DN129959_c1_g7_i2	0.057	0.0925	1.6236	Chr01	female
TRINITY_DN118251_c3_g2_i4	0.0574	0.1037	1.8058	Chr01	female
TRINITY_DN117759_c0_g1_i1	0.0575	0.0811	1.4091	Chr01	female
TRINITY_DN129829_c0_g1_i2	0.0575	0.0974	1.6935	Chr01	female
TRINITY_DN129247_c0_g1_i1	0.0576	0.0618	1.0731	Chr01	female
TRINITY_DN116201_c1_g1_i1	0.0583	0.0909	1.5588	Chr01	female
TRINITY_DN133874_c5_g1_i1	0.0586	0.0747	1.2746	Chr01	female
TRINITY_DN141790_c2_g2_i2	0.0587	0.1174	2.0016	Chr01	female
TRINITY_DN137108_c1_g1_i2	0.0592	0.1241	2.0945	Chr01	female
TRINITY_DN121843_c2_g1_i4	0.0593	0.1025	1.7291	Chr01	female
TRINITY_DN115485_c2_g5_i2	0.0598	0.0966	1.6137	Chr01	female
TRINITY_DN126394_c6_g1_i5	0.0601	0.0947	1.5738	Chr01	female
TRINITY_DN124966_c4_g1_i3	0.0611	0.114	1.8642	Chr01	female
TRINITY_DN127591_c3_g1_i1	0.0613	0.1083	1.7679	Chr01	female
TRINITY_DN130865_c6_g1_i5	0.0613	0.1142	1.863	Chr01	female
TRINITY_DN131241_c0_g1_i11	0.0619	0.1188	1.9182	Chr01	female
TRINITY_DN141740_c5_g1_i2	0.0628	0.0967	1.5399	Chr01	female
TRINITY_DN127546_c6_g3_i2	0.0628	0.1224	1.9484	Chr01	female
TRINITY_DN124902_c1_g3_i2	0.0631	0.1218	1.9295	Chr01	female
TRINITY_DN134460_c0_g1_i1	0.0635	0.1264	1.9898	Chr01	female
TRINITY_DN121742_c0_g1_i1	0.0638	0.1117	1.7502	Chr01	female
TRINITY_DN132825_c4_g1_i2	0.0639	0.091	1.4249	Chr01	female
TRINITY_DN120964_c0_g2_i5	0.0643	0.1249	1.9418	Chr01	female
TRINITY_DN138588_c0_g1_i4	0.0651	0.1025	1.5756	Chr01	female
TRINITY_DN140494_c0_g1_i1	0.0658	0.137	2.0832	Chr01	female
TRINITY_DN129559_c2_g2_i1	0.0663	0.0708	1.0668	Chr01	female
TRINITY_DN128745_c1_g3_i3	0.0673	0.1297	1.9268	Chr01	female
TRINITY_DN120000_c4_g1_i3	0.0677	0.1094	1.6152	Chr01	female
TRINITY_DN131060_c0_g1_i1	0.068	0.0967	1.4231	Chr01	female
TRINITY_DN130536_c1_g3_i4	0.0684	0.1269	1.8563	Chr01	female
TRINITY_DN125799_c1_g1_i6	0.069	0.1265	1.8318	Chr01	female
TRINITY_DN143193_c0_g1_i4	0.0696	0.1195	1.7166	Chr01	female
TRINITY_DN123308_c0_g3_i5	0.0705	0.1016	1.4416	Chr01	female
TRINITY_DN119624_c3_g1_i1	0.0711	0.139	1.9555	Chr01	female
TRINITY_DN129949_c0_g1_i1	0.0715	0.0986	1.3784	Chr01	female
TRINITY_DN132953_c2_g4_i1	0.0718	0.1303	1.814	Chr01	female
TRINITY_DN135457_c0_g1_i3	0.0722	0.1019	1.4109	Chr01	female
TRINITY_DN125065_c1_g2_i2	0.0729	0.1232	1.6912	Chr01	female
TRINITY_DN119202_c0_g1_i2	0.0735	0.1526	2.076	Chr01	female
TRINITY_DN134777_c2_g1_i2	0.0747	0.1011	1.3532	Chr01	female
TRINITY_DN134154_c3_g1_i1	0.0748	0.1299	1.7366	Chr01	female
TRINITY_DN133652_c0_g1_i3	0.0754	0.1227	1.6282	Chr01	female
TRINITY_DN135952_c2_g1_i4	0.0758	0.1489	1.9647	Chr01	female
TRINITY_DN124228_c0_g1_i6	0.0764	0.1388	1.8171	Chr01	female
TRINITY_DN129005_c0_g1_i6	0.0774	0.1206	1.5588	Chr01	female
TRINITY_DN139136_c1_g3_i1	0.0781	0.1351	1.7301	Chr01	female
TRINITY_DN120635_c0_g2_i2	0.0784	0.1258	1.6043	Chr01	female
TRINITY_DN124924_c2_g1_i1	0.0799	0.1304	1.6329	Chr01	female
TRINITY_DN120153_c5_g1_i1	0.0807	0.147	1.8219	Chr01	female
TRINITY_DN141149_c3_g1_i1	0.0812	0.1327	1.6343	Chr01	female
TRINITY_DN140361_c0_g1_i4	0.082	0.1025	1.2505	Chr01	female
TRINITY_DN127403_c4_g1_i3	0.0824	0.1519	1.8425	Chr01	female
TRINITY_DN119370_c1_g1_i1	0.083	0.0768	0.9252	Chr01	female
TRINITY_DN141835_c5_g1_i2	0.0837	0.1423	1.7009	Chr01	female
TRINITY_DN128198_c6_g1_i5	0.0847	0.1213	1.432	Chr01	female
TRINITY_DN142158_c2_g2_i1	0.086	0.1171	1.3625	Chr01	female
TRINITY_DN121411_c1_g1_i4	0.0868	0.1665	1.9178	Chr01	female
TRINITY_DN116895_c1_g3_i1	0.0871	0.1135	1.302	Chr01	female
TRINITY_DN133070_c6_g4_i3	0.0873	0.1802	2.065	Chr01	female
TRINITY_DN126308_c0_g1_i1	0.0874	0.1694	1.9382	Chr01	female
TRINITY_DN121209_c0_g1_i1	0.0878	0.1548	1.7621	Chr01	female
TRINITY_DN115825_c6_g1_i1	0.0896	0.1371	1.5306	Chr01	female
TRINITY_DN131705_c1_g1_i4	0.0898	0.1495	1.6651	Chr01	female
TRINITY_DN119137_c6_g1_i5	0.0905	0.1721	1.9013	Chr01	female
TRINITY_DN124132_c4_g1_i1	0.0914	0.0906	0.9906	Chr01	female
TRINITY_DN139676_c7_g1_i4	0.0927	0.1092	1.1783	Chr01	female
TRINITY_DN130075_c7_g1_i1	0.0939	0.1567	1.669	Chr01	female
TRINITY_DN123500_c4_g1_i2	0.0945	0.1587	1.6788	Chr01	female
TRINITY_DN142797_c7_g1_i1	0.0955	0.1999	2.0925	Chr01	female
TRINITY_DN131098_c9_g1_i4	0.0959	0.119	1.2411	Chr01	female
TRINITY_DN134516_c1_g1_i3	0.0969	0.1789	1.847	Chr01	female
TRINITY_DN131674_c6_g1_i1	0.0976	0.1732	1.7753	Chr01	female
TRINITY_DN115761_c6_g2_i3	0.0977	0.1649	1.6877	Chr01	female
TRINITY_DN122212_c0_g1_i1	0.0982	0.1489	1.5159	Chr01	female
TRINITY_DN119200_c2_g1_i6	0.0988	0.1793	1.8153	Chr01	female
TRINITY_DN138101_c5_g1_i5	0.1005	0.2039	2.0296	Chr01	female
TRINITY_DN130757_c4_g4_i3	0.1012	0.1983	1.9603	Chr01	female
TRINITY_DN136564_c0_g1_i3	0.1018	0.1353	1.3294	Chr01	female
TRINITY_DN135916_c0_g1_i3	0.102	0.1719	1.6852	Chr01	female
TRINITY_DN130332_c6_g1_i1	0.1021	0.2092	2.0487	Chr01	female
TRINITY_DN120890_c6_g1_i1	0.1022	0.2105	2.0593	Chr01	female
TRINITY_DN118680_c3_g2_i3	0.1024	0.2015	1.9688	Chr01	female
TRINITY_DN136030_c2_g1_i1	0.1027	0.2067	2.0115	Chr01	female
TRINITY_DN132345_c3_g1_i2	0.1038	0.0902	0.8698	Chr01	female
TRINITY_DN127391_c4_g1_i2	0.1038	0.1446	1.3936	Chr01	female
TRINITY_DN132510_c1_g1_i3	0.1039	0.2162	2.0804	Chr01	female
TRINITY_DN114206_c0_g1_i6	0.1075	0.1961	1.8235	Chr01	female
TRINITY_DN119652_c1_g3_i5	0.1084	0.2186	2.0163	Chr01	female
TRINITY_DN133315_c0_g1_i1	0.1087	0.144	1.3253	Chr01	female
TRINITY_DN117736_c0_g1_i5	0.1109	0.2254	2.0328	Chr01	female
TRINITY_DN135111_c3_g1_i2	0.1127	0.2279	2.0226	Chr01	female
TRINITY_DN141684_c1_g1_i5	0.1142	0.1938	1.6972	Chr01	female
TRINITY_DN134464_c0_g1_i4	0.1174	0.2315	1.9721	Chr01	female
TRINITY_DN132765_c11_g2_i3	0.1192	0.2172	1.8223	Chr01	female
TRINITY_DN139907_c2_g1_i7	0.1192	0.244	2.0474	Chr01	female
TRINITY_DN132083_c4_g1_i2	0.1196	0.1637	1.3688	Chr01	female
TRINITY_DN137061_c1_g1_i2	0.1214	0.2106	1.7345	Chr01	female
TRINITY_DN127414_c0_g1_i3	0.1232	0.2517	2.0436	Chr01	female
TRINITY_DN135941_c6_g3_i3	0.1238	0.223	1.8011	Chr01	female
TRINITY_DN139790_c2_g1_i3	0.1255	0.1498	1.1941	Chr01	female
TRINITY_DN117181_c1_g4_i1	0.127	0.2524	1.9867	Chr01	female
TRINITY_DN122709_c0_g1_i2	0.1281	0.2013	1.5715	Chr01	female
TRINITY_DN118359_c2_g1_i1	0.1309	0.2371	1.8107	Chr01	female
TRINITY_DN128541_c5_g2_i1	0.1313	0.2128	1.62	Chr01	female
TRINITY_DN132926_c3_g1_i3	0.1318	0.2752	2.0887	Chr01	female
TRINITY_DN142310_c1_g1_i5	0.1329	0.219	1.6473	Chr01	female
TRINITY_DN139196_c4_g1_i4	0.1349	0.235	1.7427	Chr01	female
TRINITY_DN116126_c0_g1_i1	0.1359	0.2306	1.6966	Chr01	female
TRINITY_DN117955_c4_g1_i6	0.1391	0.2289	1.6458	Chr01	female
TRINITY_DN139179_c3_g2_i1	0.14	0.2429	1.7348	Chr01	female
TRINITY_DN123245_c1_g1_i8	0.1408	0.263	1.868	Chr01	female
TRINITY_DN137819_c0_g1_i9	0.1441	0.166	1.1525	Chr01	female
TRINITY_DN142776_c1_g1_i1	0.1574	0.2376	1.5097	Chr01	female
TRINITY_DN136062_c6_g1_i1	0.1592	0.2768	1.7382	Chr01	female
TRINITY_DN142307_c1_g2_i11	0.1611	0.2666	1.6553	Chr01	female
TRINITY_DN138212_c2_g1_i2	0.1612	0.3035	1.8826	Chr01	female
TRINITY_DN116035_c0_g1_i2	0.1613	0.1245	0.7718	Chr01	female
TRINITY_DN131918_c5_g1_i3	0.165	0.2958	1.7926	Chr01	female
TRINITY_DN113126_c0_g1_i5	0.1724	0.3365	1.9516	Chr01	female
TRINITY_DN120399_c7_g2_i7	0.1764	0.3556	2.0163	Chr01	female
TRINITY_DN121350_c0_g1_i1	0.1803	0.2341	1.2984	Chr01	female
TRINITY_DN98016_c0_g1_i1	0.1864	0.3653	1.9601	Chr01	female
TRINITY_DN116208_c7_g1_i2	0.2196	0.2051	0.934	Chr01	female
TRINITY_DN136209_c2_g2_i4	0.2334	0.3568	1.529	Chr01	female
TRINITY_DN114725_c3_g4_i2	0.2368	0.4207	1.7764	Chr01	female
TRINITY_DN139378_c0_g1_i3	0.2855	0.3944	1.3817	Chr01	female
TRINITY_DN142602_c1_g1_i1	0.312	0.6053	1.9398	Chr01	female
TRINITY_DN131334_c0_g2_i12	0.3213	0.4654	1.4485	Chr01	female
TRINITY_DN119065_c5_g2_i2	0.4857	0.9959	2.0503	Chr01	female
TRINITY_DN130518_c4_g1_i4	0.0027	0.0043	1.5929	Chr02	female
TRINITY_DN124740_c5_g1_i4	0.0028	0.005	1.7538	Chr02	female
TRINITY_DN115403_c0_g1_i3	0.0037	0.0058	1.5566	Chr02	female
TRINITY_DN119748_c2_g1_i1	0.0066	0.0117	1.7701	Chr02	female
TRINITY_DN123806_c4_g1_i2	0.0069	0.0094	1.3558	Chr02	female
TRINITY_DN123378_c3_g1_i6	0.0089	0.0174	1.9595	Chr02	female
TRINITY_DN123562_c1_g1_i1	0.0098	0.0202	2.049	Chr02	female
TRINITY_DN133419_c0_g1_i1	0.01	0.0117	1.1721	Chr02	female
TRINITY_DN122501_c3_g1_i1	0.01	0.0145	1.451	Chr02	female
TRINITY_DN139886_c2_g1_i1	0.0105	0.0209	1.9807	Chr02	female
TRINITY_DN83495_c0_g1_i2	0.0119	0.0152	1.2803	Chr02	female
TRINITY_DN116785_c1_g1_i9	0.0123	0.0195	1.5899	Chr02	female
TRINITY_DN134434_c1_g1_i2	0.0135	0.0191	1.4171	Chr02	female
TRINITY_DN141881_c6_g2_i2	0.0136	0.0265	1.9429	Chr02	female
TRINITY_DN134544_c2_g3_i5	0.0138	0.0245	1.7724	Chr02	female
TRINITY_DN143398_c1_g1_i2	0.014	0.0071	0.5088	Chr02	female
TRINITY_DN123166_c2_g1_i1	0.0142	0.026	1.8288	Chr02	female
TRINITY_DN127942_c3_g1_i9	0.0148	0.0129	0.8676	Chr02	female
TRINITY_DN117965_c3_g1_i1	0.015	0.0182	1.218	Chr02	female
TRINITY_DN121027_c5_g1_i3	0.0151	0.0093	0.615	Chr02	female
TRINITY_DN133142_c0_g2_i8	0.0154	0.0218	1.4115	Chr02	female
TRINITY_DN117779_c3_g3_i1	0.0155	0.0307	1.9765	Chr02	female
TRINITY_DN130169_c0_g1_i8	0.0156	0.024	1.5429	Chr02	female
TRINITY_DN113048_c0_g1_i2	0.0171	0.0305	1.7812	Chr02	female
TRINITY_DN116932_c5_g1_i5	0.0171	0.0317	1.8469	Chr02	female
TRINITY_DN125385_c1_g1_i2	0.018	0.0293	1.6339	Chr02	female
TRINITY_DN112760_c0_g1_i1	0.0183	0.0327	1.7827	Chr02	female
TRINITY_DN137823_c2_g1_i1	0.0185	0.0179	0.9677	Chr02	female
TRINITY_DN131532_c0_g1_i3	0.0188	0.0298	1.58	Chr02	female
TRINITY_DN122788_c2_g1_i2	0.0203	0.0351	1.7276	Chr02	female
TRINITY_DN119852_c2_g1_i1	0.0206	0.0239	1.1591	Chr02	female
TRINITY_DN134463_c1_g1_i1	0.0208	0.0405	1.9442	Chr02	female
TRINITY_DN139742_c1_g1_i7	0.0215	0.0208	0.9683	Chr02	female
TRINITY_DN113816_c0_g1_i2	0.0224	0.0321	1.4305	Chr02	female
TRINITY_DN139150_c3_g2_i3	0.0237	0.0413	1.7411	Chr02	female
TRINITY_DN117640_c1_g2_i3	0.0238	0.0332	1.3952	Chr02	female
TRINITY_DN132555_c3_g2_i2	0.0238	0.0363	1.521	Chr02	female
TRINITY_DN119676_c3_g1_i3	0.0244	0.0287	1.1757	Chr02	female
TRINITY_DN132428_c1_g2_i2	0.0244	0.0295	1.2116	Chr02	female
TRINITY_DN127543_c4_g2_i3	0.0244	0.0481	1.9698	Chr02	female
TRINITY_DN143439_c3_g1_i6	0.0247	0.0397	1.6074	Chr02	female
TRINITY_DN132204_c6_g1_i2	0.0275	0.0405	1.4732	Chr02	female
TRINITY_DN135488_c8_g1_i6	0.0278	0.0434	1.5614	Chr02	female
TRINITY_DN129296_c1_g2_i2	0.0281	0.0408	1.4516	Chr02	female
TRINITY_DN116018_c0_g1_i1	0.0281	0.0559	1.9918	Chr02	female
TRINITY_DN118978_c1_g1_i1	0.0284	0.0505	1.779	Chr02	female
TRINITY_DN115541_c0_g1_i6	0.0299	0.0479	1.5994	Chr02	female
TRINITY_DN117049_c1_g1_i10	0.0316	0.0465	1.4719	Chr02	female
TRINITY_DN139717_c5_g1_i1	0.0316	0.0494	1.5625	Chr02	female
TRINITY_DN119030_c3_g2_i5	0.0318	0.0579	1.8166	Chr02	female
TRINITY_DN131673_c3_g2_i1	0.0333	0.0416	1.2495	Chr02	female
TRINITY_DN138809_c0_g1_i3	0.0334	0.0683	2.0429	Chr02	female
TRINITY_DN130038_c2_g3_i1	0.034	0.0516	1.5169	Chr02	female
TRINITY_DN122460_c2_g1_i5	0.0345	0.0502	1.455	Chr02	female
TRINITY_DN127396_c2_g1_i5	0.0348	0.0671	1.9274	Chr02	female
TRINITY_DN123730_c2_g1_i1	0.0359	0.0588	1.6398	Chr02	female
TRINITY_DN129596_c2_g3_i3	0.0362	0.0493	1.3624	Chr02	female
TRINITY_DN115732_c4_g3_i1	0.0367	0.0606	1.651	Chr02	female
TRINITY_DN130739_c8_g1_i2	0.0373	0.0608	1.6295	Chr02	female
TRINITY_DN138183_c5_g2_i4	0.0378	0.06	1.588	Chr02	female
TRINITY_DN126165_c0_g1_i5	0.0397	0.0806	2.0281	Chr02	female
TRINITY_DN140177_c0_g1_i1	0.04	0.0684	1.7115	Chr02	female
TRINITY_DN127882_c8_g1_i4	0.0403	0.0672	1.6673	Chr02	female
TRINITY_DN121290_c3_g1_i1	0.0403	0.0717	1.7799	Chr02	female
TRINITY_DN116399_c1_g2_i3	0.0409	0.068	1.6612	Chr02	female
